Pose,Real_Class,CNN-Score
BDB13749_size_20_001,Active,0.78698
BDB13749_size_20_002,Active,0.53409
BDB13749_size_20_003,Active,0.4521
BDB13749_size_20_004,Active,0.60005
BDB13749_size_20_005,Active,0.70414
BDB13749_size_20_006,Active,0.6091
BDB28369_size_20_001,Active,0.49304
BDB28369_size_20_002,Active,0.35558
BDB28369_size_20_003,Active,0.45518
BDB28369_size_20_004,Active,0.16348
BDB28369_size_20_005,Active,0.31092
BDB29839_size_20_001,Active,0.7882
BDB29839_size_20_002,Active,0.46962
BDB29839_size_20_003,Active,0.3433
BDB29839_size_20_004,Active,0.38339
BDB29839_size_20_005,Active,0.50138
BDB29839_size_20_006,Active,0.22186
BDB29843_size_20_001,Active,0.89523
BDB29843_size_20_002,Active,0.44897
BDB29860_size_20_001,Active,0.54739
BDB29860_size_20_002,Active,0.5245
BDB29864_size_20_001,Active,0.38645
BDB29864_size_20_002,Active,0.57917
BDB50174285_size_20_001,Active,0.60396
BDB50174285_size_20_002,Active,0.28787
BDB50174285_size_20_003,Active,0.4444
BDB50174285_size_20_004,Active,0.17546
BDB50174285_size_20_005,Active,0.45383
BDB50174285_size_20_006,Active,0.10413
BDB50174290_size_20_001,Active,0.2177
BDB50174290_size_20_002,Active,0.15923
BDB50174295_size_20_001,Active,0.12254
BDB50174295_size_20_002,Active,0.1113
BDB50174295_size_20_003,Active,0.03314
BDB50192686_size_20_001,Active,0.77012
BDB50192686_size_20_002,Active,0.27588
BDB50195483_size_20_001,Active,0.34923
BDB50195483_size_20_002,Active,0.31347
BDB50195483_size_20_003,Active,0.15757
BDB50195483_size_20_004,Active,0.32044
BDB50195483_size_20_005,Active,0.13958
BDB50195483_size_20_006,Active,0.32071
BDB50195486_size_20_001,Active,0.35901
BDB50195486_size_20_002,Active,0.4252
BDB50195486_size_20_003,Active,0.08181
BDB50195486_size_20_004,Active,0.05361
BDB50195497_size_20_001,Active,0.0962
BDB50195497_size_20_002,Active,0.1147
BDB50195499_size_20_001,Active,0.19687
BDB50195499_size_20_002,Active,0.32634
BDB50195506_size_20_001,Active,0.71749
BDB50195506_size_20_002,Active,0.7242
BDB50195506_size_20_003,Active,0.37475
BDB50195506_size_20_004,Active,0.24925
BDB50195506_size_20_005,Active,0.2884
BDB50202105_size_20_001,Active,0.21713
BDB50210886_size_20_001,Active,0.44127
BDB50210886_size_20_002,Active,0.3408
BDB50210890_size_20_001,Active,0.3562
BDB50210892_size_20_001,Active,0.25409
BDB50216916_size_20_001,Active,0.42257
BDB50216916_size_20_002,Active,0.33776
BDB50216916_size_20_003,Active,0.37543
BDB50216916_size_20_004,Active,0.29087
BDB50216916_size_20_005,Active,0.42547
BDB50216916_size_20_006,Active,0.54721
BDB50216916_size_20_007,Active,0.11172
BDB50216916_size_20_008,Active,0.30543
BDB50216916_size_20_009,Active,0.2067
BDB50216916_size_20_010,Active,0.32576
BDB50216916_size_20_011,Active,0.28618
BDB50216917_size_20_001,Active,0.49666
BDB50216917_size_20_002,Active,0.64772
BDB50216917_size_20_003,Active,0.5768
BDB50216917_size_20_004,Active,0.46199
BDB50216917_size_20_005,Active,0.32753
BDB50216917_size_20_006,Active,0.34288
BDB50216917_size_20_007,Active,0.50419
BDB50216917_size_20_008,Active,0.26687
BDB50216917_size_20_009,Active,0.29922
BDB50216921_size_20_001,Active,0.36538
BDB50216921_size_20_002,Active,0.36302
BDB50224219_size_20_001,Active,0.50178
BDB50224219_size_20_002,Active,0.63956
BDB50224219_size_20_003,Active,0.57029
BDB50224219_size_20_004,Active,0.53607
BDB50224219_size_20_005,Active,0.67699
BDB50224219_size_20_006,Active,0.38672
BDB50239407_size_20_001,Active,0.61899
BDB50239407_size_20_002,Active,0.75941
BDB50239407_size_20_003,Active,0.49508
BDB50239407_size_20_004,Active,0.14555
BDB50239407_size_20_005,Active,0.17542
BDB50239407_size_20_006,Active,0.25932
BDB50239407_size_20_007,Active,0.17171
BDB50248426_size_20_001,Active,0.38972
BDB50248426_size_20_002,Active,0.21836
BDB50248426_size_20_003,Active,0.1661
BDB50248569_size_20_001,Active,0.15991
BDB50260967_size_20_001,Active,0.44671
BDB50260967_size_20_002,Active,0.46217
BDB50260967_size_20_003,Active,0.09793
BDB50263346_size_20_001,Active,0.28201
BDB50263346_size_20_002,Active,0.17914
BDB50273861_size_20_001,Active,0.28297
BDB50273861_size_20_002,Active,0.25478
BDB50294771_size_20_001,Active,0.24562
BDB50294771_size_20_002,Active,0.37282
BDB50294771_size_20_003,Active,0.12309
BDB50294781_size_20_001,Active,0.67882
BDB50294781_size_20_002,Active,0.24277
BDB50294781_size_20_003,Active,0.15739
BDB50295378_size_20_001,Active,0.09091
BDB50297909_size_20_001,Active,0.1859
BDB50297909_size_20_002,Active,0.12504
BDB50297909_size_20_003,Active,0.22326
BDB50297909_size_20_004,Active,0.1165
BDB50297909_size_20_005,Active,0.13955
BDB50297909_size_20_006,Active,0.29566
BDB50306416_size_20_001,Active,0.32519
BDB50309943_size_20_001,Active,0.3577
BDB50309943_size_20_002,Active,0.46605
BDB50313286_size_20_001,Active,0.4076
BDB50313286_size_20_002,Active,0.1861
BDB50313286_size_20_003,Active,0.1979
BDB50313286_size_20_004,Active,0.22338
BDB50317220_size_20_001,Active,0.32286
BDB50317220_size_20_002,Active,0.51197
BDB50317220_size_20_003,Active,0.24776
BDB50317223_size_20_001,Active,0.66972
BDB50317223_size_20_002,Active,0.50029
BDB50317223_size_20_003,Active,0.5031
BDB50317223_size_20_004,Active,0.31655
BDB50319660_size_20_001,Active,0.71432
BDB50319660_size_20_002,Active,0.53051
BDB50319660_size_20_003,Active,0.59407
BDB50319660_size_20_004,Active,0.36418
BDB50319660_size_20_005,Active,0.2548
BDB50319665_size_20_001,Active,0.59519
BDB50319665_size_20_002,Active,0.46774
BDB50319665_size_20_003,Active,0.47511
BDB50319665_size_20_004,Active,0.40516
ZINC00000574_size_20_001,Inactive,0.60471
ZINC00036460_size_20_001,Inactive,0.4963
ZINC00036460_size_20_002,Inactive,0.57588
ZINC00036460_size_20_003,Inactive,0.6079
ZINC00036460_size_20_004,Inactive,0.54717
ZINC00036460_size_20_005,Inactive,0.49881
ZINC00037993_size_20_001,Inactive,0.52105
ZINC00037993_size_20_002,Inactive,0.93722
ZINC00037993_size_20_003,Inactive,0.81267
ZINC00037993_size_20_004,Inactive,0.68625
ZINC00037993_size_20_005,Inactive,0.58064
ZINC00038274_size_20_001,Inactive,0.41542
ZINC00038274_size_20_002,Inactive,0.44899
ZINC00038274_size_20_003,Inactive,0.32174
ZINC00040425_size_20_001,Inactive,0.43681
ZINC00040425_size_20_002,Inactive,0.3268
ZINC00040425_size_20_003,Inactive,0.4598
ZINC00040425_size_20_004,Inactive,0.40955
ZINC00040425_size_20_005,Inactive,0.20798
ZINC00040425_size_20_006,Inactive,0.13694
ZINC00040425_size_20_007,Inactive,0.18526
ZINC00049537_size_20_001,Inactive,0.23605
ZINC00049537_size_20_002,Inactive,0.68735
ZINC00049537_size_20_003,Inactive,0.19189
ZINC00049537_size_20_004,Inactive,0.51216
ZINC00049537_size_20_005,Inactive,0.22857
ZINC00049537_size_20_006,Inactive,0.24328
ZINC00049537_size_20_007,Inactive,0.29562
ZINC00084883_size_20_001,Inactive,0.41884
ZINC00084883_size_20_002,Inactive,0.47264
ZINC00084883_size_20_003,Inactive,0.37813
ZINC00084883_size_20_004,Inactive,0.21251
ZINC00084883_size_20_005,Inactive,0.28525
ZINC00084883_size_20_006,Inactive,0.07793
ZINC00084883_size_20_007,Inactive,0.31201
ZINC00088291_size_20_001,Inactive,0.60991
ZINC00088291_size_20_002,Inactive,0.26269
ZINC00088291_size_20_003,Inactive,0.28015
ZINC00139613_size_20_001,Inactive,0.29988
ZINC00139613_size_20_002,Inactive,0.41923
ZINC00139613_size_20_003,Inactive,0.60691
ZINC00139613_size_20_004,Inactive,0.48246
ZINC00139613_size_20_005,Inactive,0.37828
ZINC00139613_size_20_006,Inactive,0.26144
ZINC00165706_size_20_001,Inactive,0.58414
ZINC00165706_size_20_002,Inactive,0.21381
ZINC00165706_size_20_003,Inactive,0.53351
ZINC00172303_size_20_001,Inactive,0.73811
ZINC00172303_size_20_002,Inactive,0.69803
ZINC00215850_size_20_001,Inactive,0.51421
ZINC00215850_size_20_002,Inactive,0.48285
ZINC00215850_size_20_003,Inactive,0.29492
ZINC00215850_size_20_004,Inactive,0.28549
ZINC00215850_size_20_005,Inactive,0.12998
ZINC00215850_size_20_006,Inactive,0.15335
