Pose,Real_Class,Docking_score
BDB13749_size_20_001,Active,-9.5
BDB13749_size_20_002,Active,-9.4
BDB13749_size_20_003,Active,-9.3
BDB13749_size_20_004,Active,-9.2
BDB13749_size_20_005,Active,-8.4
BDB13749_size_20_006,Active,-8.3
BDB28369_size_20_001,Active,-3.5
BDB28369_size_20_002,Active,-3.1
BDB28369_size_20_003,Active,-2.9
BDB28369_size_20_004,Active,-2.9
BDB28369_size_20_005,Active,-2.6
BDB29839_size_20_001,Active,-10.6
BDB29839_size_20_002,Active,-10.2
BDB29839_size_20_003,Active,-10
BDB29839_size_20_004,Active,-9.8
BDB29839_size_20_005,Active,-8.9
BDB29839_size_20_006,Active,-8
BDB29843_size_20_001,Active,-11.5
BDB29843_size_20_002,Active,-9.5
BDB29860_size_20_001,Active,-7.6
BDB29860_size_20_002,Active,-6.6
BDB29864_size_20_001,Active,-7.4
BDB29864_size_20_002,Active,-7.2
BDB50174285_size_20_001,Active,-10.1
BDB50174285_size_20_002,Active,-8.6
BDB50174285_size_20_003,Active,-8
BDB50174285_size_20_004,Active,-7.8
BDB50174285_size_20_005,Active,-7.4
BDB50174285_size_20_006,Active,-7.3
BDB50174290_size_20_001,Active,21.7
BDB50174290_size_20_002,Active,22.1
BDB50174295_size_20_001,Active,22.9
BDB50174295_size_20_002,Active,23.7
BDB50174295_size_20_003,Active,24.7
BDB50192686_size_20_001,Active,-10.7
BDB50192686_size_20_002,Active,-8
BDB50195483_size_20_001,Active,-9.4
BDB50195483_size_20_002,Active,-9
BDB50195483_size_20_003,Active,-8.3
BDB50195483_size_20_004,Active,-8
BDB50195483_size_20_005,Active,-7.8
BDB50195483_size_20_006,Active,-7.2
BDB50195486_size_20_001,Active,-7
BDB50195486_size_20_002,Active,-6.6
BDB50195486_size_20_003,Active,-5.1
BDB50195486_size_20_004,Active,-4.5
BDB50195497_size_20_001,Active,-4.7
BDB50195497_size_20_002,Active,-4
BDB50195499_size_20_001,Active,-6.8
BDB50195499_size_20_002,Active,-6.6
BDB50195506_size_20_001,Active,-10.8
BDB50195506_size_20_002,Active,-10.8
BDB50195506_size_20_003,Active,-9.3
BDB50195506_size_20_004,Active,-9.2
BDB50195506_size_20_005,Active,-9
BDB50202105_size_20_001,Active,-6.2
BDB50210886_size_20_001,Active,-8.3
BDB50210886_size_20_002,Active,-6.2
BDB50210890_size_20_001,Active,-6.6
BDB50210892_size_20_001,Active,-4.9
BDB50216916_size_20_001,Active,-9.3
BDB50216916_size_20_002,Active,-9
BDB50216916_size_20_003,Active,-8.9
BDB50216916_size_20_004,Active,-8.7
BDB50216916_size_20_005,Active,-8.2
BDB50216916_size_20_006,Active,-7.9
BDB50216916_size_20_007,Active,-7.8
BDB50216916_size_20_008,Active,-7.8
BDB50216916_size_20_009,Active,-7.3
BDB50216916_size_20_010,Active,-7.3
BDB50216916_size_20_011,Active,-7.2
BDB50216917_size_20_001,Active,-9.3
BDB50216917_size_20_002,Active,-9.1
BDB50216917_size_20_003,Active,-8.7
BDB50216917_size_20_004,Active,-8.3
BDB50216917_size_20_005,Active,-8.2
BDB50216917_size_20_006,Active,-8.2
BDB50216917_size_20_007,Active,-8.1
BDB50216917_size_20_008,Active,-8
BDB50216917_size_20_009,Active,-7.2
BDB50216921_size_20_001,Active,-9.6
BDB50216921_size_20_002,Active,-9.6
BDB50224219_size_20_001,Active,-8.3
BDB50224219_size_20_002,Active,-8
BDB50224219_size_20_003,Active,-7.9
BDB50224219_size_20_004,Active,-7.5
BDB50224219_size_20_005,Active,-7.2
BDB50224219_size_20_006,Active,-6
BDB50239407_size_20_001,Active,-10.5
BDB50239407_size_20_002,Active,-9.9
BDB50239407_size_20_003,Active,-9.3
BDB50239407_size_20_004,Active,-8.6
BDB50239407_size_20_005,Active,-8.5
BDB50239407_size_20_006,Active,-8.2
BDB50239407_size_20_007,Active,-7.7
BDB50248426_size_20_001,Active,-1.7
BDB50248426_size_20_002,Active,-1.5
BDB50248426_size_20_003,Active,-1.4
BDB50248569_size_20_001,Active,-5.9
BDB50260967_size_20_001,Active,-3
BDB50260967_size_20_002,Active,-2.4
BDB50260967_size_20_003,Active,-0.4
BDB50263346_size_20_001,Active,-7.1
BDB50263346_size_20_002,Active,-5.2
BDB50273861_size_20_001,Active,-4.2
BDB50273861_size_20_002,Active,-2.5
BDB50294771_size_20_001,Active,-9.5
BDB50294771_size_20_002,Active,-8.7
BDB50294771_size_20_003,Active,-7.3
BDB50294781_size_20_001,Active,-9.9
BDB50294781_size_20_002,Active,-7.8
BDB50294781_size_20_003,Active,-6.9
BDB50295378_size_20_001,Active,-3.8
BDB50297909_size_20_001,Active,-7
BDB50297909_size_20_002,Active,-6.9
BDB50297909_size_20_003,Active,-6.5
BDB50297909_size_20_004,Active,-6.3
BDB50297909_size_20_005,Active,-6
BDB50297909_size_20_006,Active,-5.8
BDB50306416_size_20_001,Active,-11.2
BDB50309943_size_20_001,Active,2.8
BDB50309943_size_20_002,Active,2.9
BDB50313286_size_20_001,Active,-8.4
BDB50313286_size_20_002,Active,-7.7
BDB50313286_size_20_003,Active,-7.6
BDB50313286_size_20_004,Active,-6.9
BDB50317220_size_20_001,Active,-7.2
BDB50317220_size_20_002,Active,-7.1
BDB50317220_size_20_003,Active,-6.2
BDB50317223_size_20_001,Active,-10.4
BDB50317223_size_20_002,Active,-10.1
