Pose,Real_Class,Average_Good_Pose_Prob
BDB13749_size_20_001,Active,0.130203498260196
BDB13749_size_20_002,Active,0.452045417669545
BDB13749_size_20_003,Active,0.371016059927949
BDB13749_size_20_004,Active,0.2140986309257
BDB13749_size_20_005,Active,0.113392498272226
BDB13749_size_20_006,Active,0.168081011686571
BDB28369_size_20_001,Active,0.596594400073638
BDB28369_size_20_002,Active,0.540220524340465
BDB28369_size_20_003,Active,0.554266226737827
BDB28369_size_20_004,Active,0.595305392426052
BDB28369_size_20_005,Active,0.625274824083961
BDB29839_size_20_001,Active,0.931851445705942
BDB29839_size_20_002,Active,0.908453808623584
BDB29839_size_20_003,Active,0.76835922643204
BDB29839_size_20_004,Active,0.819937068700895
BDB29839_size_20_005,Active,0.877270575606491
BDB29839_size_20_006,Active,0.965700453464409
BDB29843_size_20_001,Active,0.960365781823477
BDB29843_size_20_002,Active,0.934057599976222
BDB29860_size_20_001,Active,0.889593853140582
BDB29860_size_20_002,Active,0.908389045575082
BDB29864_size_20_001,Active,0.559910129602237
BDB29864_size_20_002,Active,0.65177419581004
BDB50174285_size_20_001,Active,0.892266170891413
BDB50174285_size_20_002,Active,0.877106262075741
BDB50174285_size_20_003,Active,0.911325061479442
BDB50174285_size_20_004,Active,0.835535264839807
BDB50174285_size_20_005,Active,0.847880404307221
BDB50174285_size_20_006,Active,0.822066219851169
BDB50174290_size_20_001,Active,0.583478344512029
BDB50174290_size_20_002,Active,0.590341120769372
BDB50174295_size_20_001,Active,0.783129799854945
BDB50174295_size_20_002,Active,0.789584640815632
BDB50174295_size_20_003,Active,0.787046812099687
BDB50192686_size_20_001,Active,0.643384073360398
BDB50192686_size_20_002,Active,0.569592093188698
BDB50195483_size_20_001,Active,0.425546880657259
BDB50195483_size_20_002,Active,0.481245375882043
BDB50195483_size_20_003,Active,0.550002248501294
BDB50195483_size_20_004,Active,0.541613100690227
BDB50195483_size_20_005,Active,0.593065196440044
BDB50195483_size_20_006,Active,0.590469054635248
BDB50195486_size_20_001,Active,0.147113948043903
BDB50195486_size_20_002,Active,0.339043009363955
BDB50195486_size_20_003,Active,0.5045422166289
BDB50195486_size_20_004,Active,0.343335305151643
BDB50195497_size_20_001,Active,0.68346016367049
BDB50195497_size_20_002,Active,0.638222431819271
BDB50195499_size_20_001,Active,0.555092049193104
BDB50195499_size_20_002,Active,0.447912771585787
BDB50195506_size_20_001,Active,0.505568512373753
BDB50195506_size_20_002,Active,0.620762219972039
BDB50195506_size_20_003,Active,0.442558036280934
BDB50195506_size_20_004,Active,0.27731833662916
BDB50195506_size_20_005,Active,0.546375371275875
BDB50202105_size_20_001,Active,0.564274507519095
BDB50210886_size_20_001,Active,0.399154714229075
BDB50210886_size_20_002,Active,0.381135195318159
