Pose,Real_Class,RF-Score-VS
BDB13749_size_20_001,Active,6.12186162626
BDB13749_size_20_002,Active,6.09246454142
BDB13749_size_20_003,Active,6.13882071022
BDB13749_size_20_004,Active,6.09911000179
BDB13749_size_20_005,Active,6.13705673155
BDB13749_size_20_006,Active,6.10347802338
BDB28369_size_20_001,Active,6.27541490859
BDB28369_size_20_002,Active,6.33344713468
BDB28369_size_20_003,Active,6.28222918818
BDB28369_size_20_004,Active,6.29477355906
BDB28369_size_20_005,Active,6.21067571524
BDB29839_size_20_001,Active,6.19795610314
BDB29839_size_20_002,Active,6.21870554494
BDB29839_size_20_003,Active,6.26003128943
BDB29839_size_20_004,Active,6.13262758772
BDB29839_size_20_005,Active,6.16176599075
BDB29839_size_20_006,Active,6.20321529676
BDB29843_size_20_001,Active,6.14532886957
BDB29843_size_20_002,Active,6.14038612006
BDB29860_size_20_001,Active,6.11497913401
BDB29860_size_20_002,Active,6.11994764486
BDB29864_size_20_001,Active,6.1449767059
BDB29864_size_20_002,Active,6.14582044394
BDB50174285_size_20_001,Active,6.41576811152
BDB50174285_size_20_002,Active,6.31761480614
BDB50174285_size_20_003,Active,6.42875025113
BDB50174285_size_20_004,Active,6.36001060161
BDB50174285_size_20_005,Active,6.22365915127
BDB50174285_size_20_006,Active,6.28211627103
BDB50174290_size_20_001,Active,6.48023849902
BDB50174290_size_20_002,Active,6.35431285327
BDB50174295_size_20_001,Active,6.60869015274
BDB50174295_size_20_002,Active,6.63410866513
BDB50174295_size_20_003,Active,6.60903955039
BDB50192686_size_20_001,Active,6.18560444696
BDB50192686_size_20_002,Active,6.18155773666
BDB50195483_size_20_001,Active,6.20768369405
BDB50195483_size_20_002,Active,6.16905948123
BDB50195483_size_20_003,Active,6.17495311576
BDB50195483_size_20_004,Active,6.24041172394
BDB50195483_size_20_005,Active,6.17183788438
BDB50195483_size_20_006,Active,6.52802732286
BDB50195486_size_20_001,Active,6.34678241968
BDB50195486_size_20_002,Active,6.22634957825
BDB50195486_size_20_003,Active,6.17621223682
BDB50195486_size_20_004,Active,6.15740870364
BDB50195497_size_20_001,Active,6.59442030877
BDB50195497_size_20_002,Active,6.5943611607
BDB50195499_size_20_001,Active,6.59263447887
BDB50195499_size_20_002,Active,6.44278930279
BDB50195506_size_20_001,Active,6.215545779
BDB50195506_size_20_002,Active,6.1832632585
BDB50195506_size_20_003,Active,6.15371083462
BDB50195506_size_20_004,Active,6.12165561927
BDB50195506_size_20_005,Active,6.19529299685
BDB50202105_size_20_001,Active,6.40598847477
BDB50210886_size_20_001,Active,6.12938066174
BDB50210886_size_20_002,Active,6.15133676486
BDB50210890_size_20_001,Active,6.14387795849
BDB50210892_size_20_001,Active,6.11733432205
BDB50216916_size_20_001,Active,6.08855194939
BDB50216916_size_20_002,Active,6.06400996345
BDB50216916_size_20_003,Active,6.09074331423
BDB50216916_size_20_004,Active,6.12871223361
BDB50216916_size_20_005,Active,6.12080376982
BDB50216916_size_20_006,Active,6.10321200071
BDB50216916_size_20_007,Active,6.07719650969
BDB50216916_size_20_008,Active,6.14767914665
BDB50216916_size_20_009,Active,6.14647571739
BDB50216916_size_20_010,Active,6.15252401356
BDB50216916_size_20_011,Active,6.14907755954
BDB50216917_size_20_001,Active,6.05650330868
BDB50216917_size_20_002,Active,6.05442432861
BDB50216917_size_20_003,Active,6.08223174188
BDB50216917_size_20_004,Active,6.06697437097
BDB50216917_size_20_005,Active,6.02436258687
BDB50216917_size_20_006,Active,6.05363292838
BDB50216917_size_20_007,Active,6.06505312315
BDB50216917_size_20_008,Active,6.07874814297
BDB50216917_size_20_009,Active,6.12009554563
BDB50216921_size_20_001,Active,6.085958521
BDB50216921_size_20_002,Active,6.1870741956
BDB50224219_size_20_001,Active,6.04034377278
BDB50224219_size_20_002,Active,6.02979686398
BDB50224219_size_20_003,Active,6.04619318855
BDB50224219_size_20_004,Active,6.02547334213
BDB50224219_size_20_005,Active,6.01377867458
BDB50224219_size_20_006,Active,6.0505158218
BDB50239407_size_20_001,Active,6.28259778069
BDB50239407_size_20_002,Active,6.37523103462
BDB50239407_size_20_003,Active,6.35055642102
BDB50239407_size_20_004,Active,6.2618057956
BDB50239407_size_20_005,Active,6.43731886889
BDB50239407_size_20_006,Active,6.29284297964
BDB50239407_size_20_007,Active,6.32532243129
BDB50248426_size_20_001,Active,6.07284404798
BDB50248426_size_20_002,Active,6.09619457508
BDB50248426_size_20_003,Active,6.06412432462
BDB50248569_size_20_001,Active,6.42952336196
BDB50260967_size_20_001,Active,6.87542136966
BDB50260967_size_20_002,Active,6.91236406071
BDB50260967_size_20_003,Active,6.87409492484
BDB50263346_size_20_001,Active,6.48564522913
BDB50263346_size_20_002,Active,6.4459530018
BDB50273861_size_20_001,Active,6.06970412759
BDB50273861_size_20_002,Active,6.08750073138
BDB50294771_size_20_001,Active,6.09495014
BDB50294771_size_20_002,Active,6.05581481343
BDB50294771_size_20_003,Active,6.03141328093
BDB50294781_size_20_001,Active,6.08149648613
BDB50294781_size_20_002,Active,6.12380349782
BDB50294781_size_20_003,Active,6.21707196634
BDB50295378_size_20_001,Active,6.66492681258
BDB50297909_size_20_001,Active,6.12984551808
BDB50297909_size_20_002,Active,6.09234062732
BDB50297909_size_20_003,Active,6.11460539655
BDB50297909_size_20_004,Active,6.14035000186
BDB50297909_size_20_005,Active,6.15493656982
