Pose,Real_Class,CNN-Score
BDB13216_size_20_001,Active,0.07318
BDB13216_size_20_002,Active,0.0294
BDB13216_size_20_003,Active,0.03174
BDB13216_size_20_004,Active,0.04272
BDB13216_size_20_005,Active,0.02649
BDB13216_size_20_006,Active,0.03166
BDB16673_size_20_001,Active,0.12138
BDB16673_size_20_002,Active,0.23476
BDB16673_size_20_003,Active,0.1193
BDB16673_size_20_004,Active,0.17254
BDB16673_size_20_005,Active,0.06589
BDB16673_size_20_006,Active,0.23421
BDB16673_size_20_007,Active,0.13259
BDB16673_size_20_008,Active,0.12005
BDB16673_size_20_009,Active,0.17177
BDB16673_size_20_010,Active,0.15965
BDB16673_size_20_011,Active,0.09428
BDB16673_size_20_012,Active,0.17241
BDB16673_size_20_013,Active,0.22288
BDB16673_size_20_014,Active,0.10827
BDB24773_size_20_001,Active,0.61473
BDB24773_size_20_002,Active,0.28884
BDB24773_size_20_003,Active,0.18041
BDB24773_size_20_004,Active,0.06027
BDB24773_size_20_005,Active,0.14676
BDB24773_size_20_006,Active,0.09017
BDB24773_size_20_007,Active,0.11954
BDB24773_size_20_008,Active,0.09108
BDB24773_size_20_009,Active,0.12057
BDB2579_size_20_001,Active,0.15004
BDB2579_size_20_002,Active,0.1796
BDB2579_size_20_003,Active,0.01999
BDB3096_size_20_001,Active,0.2183
BDB3096_size_20_002,Active,0.30483
BDB3096_size_20_003,Active,0.06765
BDB3096_size_20_004,Active,0.06435
BDB3096_size_20_005,Active,0.07442
BDB3096_size_20_006,Active,0.08533
BDB3096_size_20_007,Active,0.11646
BDB3096_size_20_008,Active,0.40005
BDB3096_size_20_009,Active,0.08826
BDB3096_size_20_010,Active,0.13192
BDB3096_size_20_011,Active,0.24173
BDB3096_size_20_012,Active,0.05194
BDB3096_size_20_013,Active,0.02893
BDB3429_size_20_001,Active,0.37519
BDB3429_size_20_002,Active,0.38776
BDB3429_size_20_003,Active,0.13808
BDB3429_size_20_004,Active,0.4434
BDB3429_size_20_005,Active,0.48048
BDB3429_size_20_006,Active,0.11538
BDB3429_size_20_007,Active,0.11439
BDB3429_size_20_008,Active,0.04785
BDB3429_size_20_009,Active,0.06409
BDB3429_size_20_010,Active,0.02761
BDB3429_size_20_011,Active,0.05302
BDB3430_size_20_001,Active,0.21137
BDB3430_size_20_002,Active,0.07508
BDB3430_size_20_003,Active,0.06469
BDB3430_size_20_004,Active,0.08348
BDB3430_size_20_005,Active,0.09263
BDB3430_size_20_006,Active,0.07601
BDB3499_size_20_001,Active,0.30772
BDB3499_size_20_002,Active,0.35369
BDB3499_size_20_003,Active,0.55122
BDB3499_size_20_004,Active,0.30593
BDB3499_size_20_005,Active,0.09863
BDB3499_size_20_006,Active,0.02242
BDB3499_size_20_007,Active,0.02325
BDB3499_size_20_008,Active,0.03261
BDB3499_size_20_009,Active,0.02576
BDB3499_size_20_010,Active,0.06644
BDB3823_size_20_001,Active,0.73426
BDB3823_size_20_002,Active,0.31835
BDB3823_size_20_003,Active,0.31795
BDB3823_size_20_004,Active,0.41064
BDB3823_size_20_005,Active,0.10763
BDB3823_size_20_006,Active,0.22698
BDB3823_size_20_007,Active,0.13068
BDB3823_size_20_008,Active,0.1822
BDB3823_size_20_009,Active,0.23934
BDB3877_size_20_001,Active,0.8831
BDB3877_size_20_002,Active,0.35139
BDB3877_size_20_003,Active,0.46069
BDB3877_size_20_004,Active,0.25147
BDB3877_size_20_005,Active,0.11649
BDB3928_size_20_001,Active,0.49572
BDB3928_size_20_002,Active,0.47582
BDB3928_size_20_003,Active,0.23596
BDB3928_size_20_004,Active,0.37627
BDB3928_size_20_005,Active,0.23804
BDB3928_size_20_006,Active,0.32049
BDB3928_size_20_007,Active,0.11574
BDB3928_size_20_008,Active,0.20534
BDB3928_size_20_009,Active,0.09397
BDB3928_size_20_010,Active,0.28534
BDB4068_size_20_001,Active,0.76046
BDB4068_size_20_002,Active,0.84668
BDB4068_size_20_003,Active,0.32682
BDB4068_size_20_004,Active,0.78188
BDB4068_size_20_005,Active,0.4621
BDB4068_size_20_006,Active,0.19487
BDB4068_size_20_007,Active,0.24085
BDB4068_size_20_008,Active,0.17928
BDB4068_size_20_009,Active,0.1566
BDB4182_size_20_001,Active,0.54231
BDB4182_size_20_002,Active,0.2148
BDB4182_size_20_003,Active,0.25629
BDB4182_size_20_004,Active,0.25427
BDB4182_size_20_005,Active,0.28714
BDB4182_size_20_006,Active,0.11714
BDB4182_size_20_007,Active,0.09578
BDB4182_size_20_008,Active,0.06838
BDB4182_size_20_009,Active,0.10688
BDB4367_size_20_001,Active,0.14953
BDB4367_size_20_002,Active,0.13434
BDB4367_size_20_003,Active,0.28481
BDB4367_size_20_004,Active,0.42395
BDB4367_size_20_005,Active,0.41036
BDB4367_size_20_006,Active,0.14396
BDB4367_size_20_007,Active,0.12919
BDB4367_size_20_008,Active,0.12349
BDB4607_size_20_001,Active,0.22179
BDB4607_size_20_002,Active,0.40007
BDB4607_size_20_003,Active,0.37626
BDB4607_size_20_004,Active,0.26639
BDB4607_size_20_005,Active,0.26406
BDB4607_size_20_006,Active,0.20237
BDB4607_size_20_007,Active,0.15182
BDB4607_size_20_008,Active,0.14344
BDB4607_size_20_009,Active,0.06245
BDB4607_size_20_010,Active,0.53412
BDB4607_size_20_011,Active,0.52368
BDB4607_size_20_012,Active,0.3548
BDB4607_size_20_013,Active,0.36596
BDB4607_size_20_014,Active,0.18365
BDB4607_size_20_015,Active,0.17017
BDB4627_size_20_001,Active,0.89947
BDB4627_size_20_002,Active,0.29464
BDB4627_size_20_003,Active,0.28123
BDB4627_size_20_004,Active,0.11668
BDB4627_size_20_005,Active,0.16317
BDB4627_size_20_006,Active,0.08068
BDB4627_size_20_007,Active,0.11474
BDB4634_size_20_001,Active,0.13519
BDB4634_size_20_002,Active,0.39414
BDB4634_size_20_003,Active,0.15035
BDB4634_size_20_004,Active,0.12849
BDB4634_size_20_005,Active,0.04204
BDB4634_size_20_006,Active,0.04757
BDB4634_size_20_007,Active,0.10723
BDB4634_size_20_008,Active,0.06385
BDB4820_size_20_001,Active,0.40106
BDB4820_size_20_002,Active,0.4707
BDB4820_size_20_003,Active,0.38644
