Pose,Real_Class,Docking_score
BDB13216_size_20_001,Active,-8.1
BDB13216_size_20_002,Active,-7.9
BDB13216_size_20_003,Active,-7.4
BDB13216_size_20_004,Active,-7.1
BDB13216_size_20_005,Active,-6.7
BDB13216_size_20_006,Active,-6.1
BDB16673_size_20_001,Active,-8.3
BDB16673_size_20_002,Active,-8
BDB16673_size_20_003,Active,-7.9
BDB16673_size_20_004,Active,-7.8
BDB16673_size_20_005,Active,-7.5
BDB16673_size_20_006,Active,-7.4
BDB16673_size_20_007,Active,-7
BDB16673_size_20_008,Active,-6.9
BDB16673_size_20_009,Active,-6.7
BDB16673_size_20_010,Active,-6.7
BDB16673_size_20_011,Active,-6.7
BDB16673_size_20_012,Active,-6.3
BDB16673_size_20_013,Active,-5.7
BDB16673_size_20_014,Active,-5.5
BDB24773_size_20_001,Active,-8.9
BDB24773_size_20_002,Active,-8.8
BDB24773_size_20_003,Active,-7.8
BDB24773_size_20_004,Active,-7.7
BDB24773_size_20_005,Active,-7.3
BDB24773_size_20_006,Active,-7.2
BDB24773_size_20_007,Active,-7
BDB24773_size_20_008,Active,-6.8
BDB24773_size_20_009,Active,-6.7
BDB2579_size_20_001,Active,-10.1
BDB2579_size_20_002,Active,-9.8
BDB2579_size_20_003,Active,-9
BDB3096_size_20_001,Active,-8.4
BDB3096_size_20_002,Active,-8.4
BDB3096_size_20_003,Active,-8.1
BDB3096_size_20_004,Active,-8.1
BDB3096_size_20_005,Active,-7.7
BDB3096_size_20_006,Active,-7.5
BDB3096_size_20_007,Active,-7.4
BDB3096_size_20_008,Active,-7.3
BDB3096_size_20_009,Active,-7
BDB3096_size_20_010,Active,-6.7
BDB3096_size_20_011,Active,-6.6
BDB3096_size_20_012,Active,-6.3
BDB3096_size_20_013,Active,-5.8
BDB3429_size_20_001,Active,-8.1
BDB3429_size_20_002,Active,-8.1
BDB3429_size_20_003,Active,-7.9
BDB3429_size_20_004,Active,-7
BDB3429_size_20_005,Active,-7
BDB3429_size_20_006,Active,-7
BDB3429_size_20_007,Active,-7
BDB3429_size_20_008,Active,-6.8
BDB3429_size_20_009,Active,-6.7
BDB3429_size_20_010,Active,-6.2
BDB3429_size_20_011,Active,-5.9
BDB3430_size_20_001,Active,-7.4
BDB3430_size_20_002,Active,-6.6
BDB3430_size_20_003,Active,-6.4
BDB3430_size_20_004,Active,-5.8
BDB3430_size_20_005,Active,-5.3
BDB3430_size_20_006,Active,-5.3
BDB3499_size_20_001,Active,-8.1
BDB3499_size_20_002,Active,-7.7
BDB3499_size_20_003,Active,-7.5
BDB3499_size_20_004,Active,-7.2
BDB3499_size_20_005,Active,-7
BDB3499_size_20_006,Active,-6.8
BDB3499_size_20_007,Active,-6.6
