Pose,Real_Class,Average_Good_Pose_Prob
BDB13216_size_20_001,Active,0.019840736963635
BDB13216_size_20_002,Active,0.014503669313803
BDB13216_size_20_003,Active,0.0036052919245
BDB13216_size_20_004,Active,0.008231896640404
BDB13216_size_20_005,Active,0.006053555086266
BDB13216_size_20_006,Active,0.014405817521926
BDB16673_size_20_001,Active,0.00898025599512
BDB16673_size_20_002,Active,0.043779473648517
BDB16673_size_20_003,Active,0.041157230534513
BDB16673_size_20_004,Active,0.105069989370181
BDB16673_size_20_005,Active,0.151694379316655
BDB16673_size_20_006,Active,0.060724263298997
BDB16673_size_20_007,Active,0.060352480076039
BDB16673_size_20_008,Active,0.129435071801288
BDB16673_size_20_009,Active,0.025935779407228
BDB16673_size_20_010,Active,0.08271762143133
BDB16673_size_20_011,Active,0.080055249490492
BDB16673_size_20_012,Active,0.052209899118645
BDB16673_size_20_013,Active,0.079651441844766
BDB16673_size_20_014,Active,0.004032493682458
BDB24773_size_20_001,Active,0.045172994319334
BDB24773_size_20_002,Active,0.011242751102872
BDB24773_size_20_003,Active,0.015132212324049
BDB24773_size_20_004,Active,0.001620356830326
BDB24773_size_20_005,Active,0.010301523391668
BDB24773_size_20_006,Active,0.006864108945326
BDB24773_size_20_007,Active,0.034649787277155
BDB24773_size_20_008,Active,0.008655368099726
BDB24773_size_20_009,Active,0.016281248353652
BDB2579_size_20_001,Active,0.043935594657355
BDB2579_size_20_002,Active,0.061481342135484
BDB2579_size_20_003,Active,0.004677092346877
BDB3096_size_20_001,Active,0.262106091297158
BDB3096_size_20_002,Active,0.387267140742536
BDB3096_size_20_003,Active,0.113773884975414
BDB3096_size_20_004,Active,0.096077165409132
BDB3096_size_20_005,Active,0.081953789968017
BDB3096_size_20_006,Active,0.095584646326747
BDB3096_size_20_007,Active,0.085090012431429
BDB3096_size_20_008,Active,0.109008054912099
BDB3096_size_20_009,Active,0.080665929593365
BDB3096_size_20_010,Active,0.053312437655133
BDB3096_size_20_011,Active,0.035162562863019
BDB3096_size_20_012,Active,0.040435401714687
BDB3096_size_20_013,Active,0.001238302604177
BDB3429_size_20_001,Active,0.103030694064066
BDB3429_size_20_002,Active,0.094952192126261
BDB3429_size_20_003,Active,0.035937879775256
BDB3429_size_20_004,Active,0.013537060108637
BDB3429_size_20_005,Active,0.016400944012969
BDB3429_size_20_006,Active,0.006907462527555
BDB3429_size_20_007,Active,0.008405160744185
BDB3429_size_20_008,Active,0.018115087803893
BDB3429_size_20_009,Active,0.026448511175531
BDB3429_size_20_010,Active,0.026925409927199
BDB3429_size_20_011,Active,0.003399329828392
BDB3430_size_20_001,Active,0.087978413088926
BDB3430_size_20_002,Active,0.056644607811729
BDB3430_size_20_003,Active,0.0548132907523
BDB3430_size_20_004,Active,0.028881448342551
BDB3430_size_20_005,Active,0.029174680543762
BDB3430_size_20_006,Active,0.031596968153793
BDB3499_size_20_001,Active,0.252644983461212
BDB3499_size_20_002,Active,0.245631161277082
BDB3499_size_20_003,Active,0.257718540366496
BDB3499_size_20_004,Active,0.328397384660771
BDB3499_size_20_005,Active,0.092982409790751
BDB3499_size_20_006,Active,0.029192702044255
BDB3499_size_20_007,Active,0.002303001721958
BDB3499_size_20_008,Active,0.006658558398707
BDB3499_size_20_009,Active,0.005003870283454
BDB3499_size_20_010,Active,0.012133672917239
BDB3823_size_20_001,Active,0.129225290222146
BDB3823_size_20_002,Active,0.007879195477491
BDB3823_size_20_003,Active,0.060999634871452
BDB3823_size_20_004,Active,0.013915646719724
BDB3823_size_20_005,Active,0.003052406817691
BDB3823_size_20_006,Active,0.001205084471071
BDB3823_size_20_007,Active,0.002373994097685
BDB3823_size_20_008,Active,0.000702213665206
BDB3823_size_20_009,Active,0.00271079917466
BDB3877_size_20_001,Active,0.636311139134694
BDB3877_size_20_002,Active,0.240032650920975
BDB3877_size_20_003,Active,0.356283191804896
BDB3877_size_20_004,Active,0.071140701750209
BDB3877_size_20_005,Active,0.029483948484656
BDB3928_size_20_001,Active,0.067403611684465
BDB3928_size_20_002,Active,0.018964490401256
BDB3928_size_20_003,Active,0.022241476711923
BDB3928_size_20_004,Active,0.008927180629428
BDB3928_size_20_005,Active,0.009832164463075
BDB3928_size_20_006,Active,0.007007947759154
BDB3928_size_20_007,Active,0.002093871858884
BDB3928_size_20_008,Active,0.003288976045981
BDB3928_size_20_009,Active,0.001926920328908
BDB3928_size_20_010,Active,0.002984707032574
BDB4068_size_20_001,Active,0.258062789769456
BDB4068_size_20_002,Active,0.236014812632061
BDB4068_size_20_003,Active,0.239413936921658
BDB4068_size_20_004,Active,0.071955075021163
BDB4068_size_20_005,Active,0.071814549291676
BDB4068_size_20_006,Active,0.016185566909483
BDB4068_size_20_007,Active,0.019194954116053
BDB4068_size_20_008,Active,0.013188012577818
BDB4068_size_20_009,Active,0.008332632447635
BDB4182_size_20_001,Active,0.305700230325017
BDB4182_size_20_002,Active,0.11071711350785
BDB4182_size_20_003,Active,0.027688910860397
BDB4182_size_20_004,Active,0.063276551340601
BDB4182_size_20_005,Active,0.065356577374586
BDB4182_size_20_006,Active,0.03828906753769
BDB4182_size_20_007,Active,0.01392980972215
BDB4182_size_20_008,Active,0.00467794592495
BDB4182_size_20_009,Active,0.003623373709995
BDB4367_size_20_001,Active,0.114364635248785
BDB4367_size_20_002,Active,0.021952529898879
BDB4367_size_20_003,Active,0.048815887588528
BDB4367_size_20_004,Active,0.04322851202729
BDB4367_size_20_005,Active,0.019588877161636
BDB4367_size_20_006,Active,0.004000793588547
BDB4367_size_20_007,Active,0.001388803491027
BDB4367_size_20_008,Active,0.000712610396079
BDB4607_size_20_001,Active,0.157057903490559
BDB4607_size_20_002,Active,0.040850150772037
BDB4607_size_20_003,Active,0.032677206199248
BDB4607_size_20_004,Active,0.006112675847647
BDB4607_size_20_005,Active,0.006250596263244
BDB4607_size_20_006,Active,0.007200962525787
BDB4607_size_20_007,Active,0.02571251146251
BDB4607_size_20_008,Active,0.029438156188357
BDB4607_size_20_009,Active,0.090643568467686
BDB4607_size_20_010,Active,0.049142715968557
BDB4607_size_20_011,Active,0.049744254321019
BDB4607_size_20_012,Active,0.010325555482647
BDB4607_size_20_013,Active,0.009470322676153
BDB4607_size_20_014,Active,0.004138922844202
BDB4607_size_20_015,Active,0.002609994208138
BDB4627_size_20_001,Active,0.134958028821494
BDB4627_size_20_002,Active,0.018292349865957
BDB4627_size_20_003,Active,0.005232963409774
BDB4627_size_20_004,Active,0.010559980379012
BDB4627_size_20_005,Active,0.017387577216382
BDB4627_size_20_006,Active,0.008794017840848
BDB4627_size_20_007,Active,0.006656640549154
BDB4634_size_20_001,Active,0.091907996395326
BDB4634_size_20_002,Active,0.080895078108368
BDB4634_size_20_003,Active,0.015151656590978
BDB4634_size_20_004,Active,0.009785506887152
BDB4634_size_20_005,Active,0.015208101165412
BDB4634_size_20_006,Active,0.005486692326209
BDB4634_size_20_007,Active,0.004710907130878
BDB4634_size_20_008,Active,0.002384045054122
BDB4820_size_20_001,Active,0.055566578711533
BDB4820_size_20_002,Active,0.064982975895691
BDB4820_size_20_003,Active,0.043967709116997
BDB4820_size_20_004,Active,0.014222500211991
BDB4820_size_20_005,Active,0.010203108097387
BDB4820_size_20_006,Active,0.003503988523227
BDB4882_size_20_001,Active,0.132757051790746
BDB4882_size_20_002,Active,0.04444472676006
BDB4882_size_20_003,Active,0.029516932627452
BDB4882_size_20_004,Active,0.002312906155122
BDB50121980_size_20_001,Active,0.042348753017919
BDB50121980_size_20_002,Active,0.111370624121564
BDB50121980_size_20_003,Active,0.017288495545102
BDB50121980_size_20_004,Active,0.068229272859607
BDB50121980_size_20_005,Active,0.067567995856324
BDB50121980_size_20_006,Active,0.009524994280301
BDB50121980_size_20_007,Active,0.009202140072983
BDB50137576_size_20_001,Active,0.144328328670474
BDB50137576_size_20_002,Active,0.019154977013932
BDB50137576_size_20_003,Active,0.025053595641718
BDB50137576_size_20_004,Active,0.015299676802681
BDB50137576_size_20_005,Active,0.003178790048187
BDB50137576_size_20_006,Active,0.024238107222762
BDB50137576_size_20_007,Active,0.04245225042257
BDB50178490_size_20_001,Active,0.16663589187229
BDB50178490_size_20_002,Active,0.121572408854732
BDB50178490_size_20_003,Active,0.026762374911061
BDB50178490_size_20_004,Active,0.018766759731769
BDB50178490_size_20_005,Active,0.007520293995058
BDB50178490_size_20_006,Active,0.041760123063105
BDB50178490_size_20_007,Active,0.010940630017655
BDB50178490_size_20_008,Active,0.012632288781107
BDB50181304_size_20_001,Active,0.098387881522032
