Pose,Real_Class,RF-Score-VS
BDB13216_size_20_001,Active,5.9851020147
BDB13216_size_20_002,Active,6.03047641678
BDB13216_size_20_003,Active,5.97538314803
BDB13216_size_20_004,Active,5.96041315011
BDB13216_size_20_005,Active,5.98459835139
BDB13216_size_20_006,Active,6.00490966546
BDB16673_size_20_001,Active,5.99229032401
BDB16673_size_20_002,Active,5.96671233643
BDB16673_size_20_003,Active,6.00242369994
BDB16673_size_20_004,Active,5.97246288859
BDB16673_size_20_005,Active,5.95790897558
BDB16673_size_20_006,Active,5.99351999688
BDB16673_size_20_007,Active,5.9566452072
BDB16673_size_20_008,Active,6.02463976668
BDB16673_size_20_009,Active,5.96193745646
BDB16673_size_20_010,Active,6.03451699115
BDB16673_size_20_011,Active,6.02307756944
BDB16673_size_20_012,Active,5.99471166425
BDB16673_size_20_013,Active,6.00575430789
BDB16673_size_20_014,Active,5.95070205999
BDB24773_size_20_001,Active,6.07061056964
BDB24773_size_20_002,Active,6.03903175454
BDB24773_size_20_003,Active,6.02967852767
BDB24773_size_20_004,Active,5.99582734783
BDB24773_size_20_005,Active,6.0400154895
BDB24773_size_20_006,Active,6.02012877192
BDB24773_size_20_007,Active,5.9784542828
BDB24773_size_20_008,Active,5.9682401839
BDB24773_size_20_009,Active,5.97640426718
BDB2579_size_20_001,Active,6.00822946839
BDB2579_size_20_002,Active,5.97193592517
BDB2579_size_20_003,Active,5.9821627022
BDB3096_size_20_001,Active,6.26776591147
BDB3096_size_20_002,Active,6.34751251705
BDB3096_size_20_003,Active,6.14161359703
BDB3096_size_20_004,Active,6.09667886981
BDB3096_size_20_005,Active,6.05740361564
BDB3096_size_20_006,Active,6.01265820194
BDB3096_size_20_007,Active,5.99776694183
BDB3096_size_20_008,Active,6.06663858927
BDB3096_size_20_009,Active,6.02154390171
BDB3096_size_20_010,Active,6.03944912061
BDB3096_size_20_011,Active,6.01676162786
BDB3096_size_20_012,Active,6.04890544338
BDB3096_size_20_013,Active,5.9592450164
BDB3429_size_20_001,Active,5.97196254984
BDB3429_size_20_002,Active,5.97574181836
BDB3429_size_20_003,Active,5.99417907351
BDB3429_size_20_004,Active,5.98675526457
BDB3429_size_20_005,Active,6.00822638708
BDB3429_size_20_006,Active,5.98756731898
BDB3429_size_20_007,Active,5.97033244553
BDB3429_size_20_008,Active,5.97639411616
BDB3429_size_20_009,Active,5.97962914927
BDB3429_size_20_010,Active,5.98337294172
BDB3429_size_20_011,Active,5.9755726244
BDB3430_size_20_001,Active,6.10168810552
BDB3430_size_20_002,Active,6.17099856224
BDB3430_size_20_003,Active,6.02000383251
BDB3430_size_20_004,Active,6.01201040697
BDB3430_size_20_005,Active,6.03746104109
BDB3430_size_20_006,Active,6.00564874354
BDB3499_size_20_001,Active,6.52050103323
BDB3499_size_20_002,Active,6.45915247551
BDB3499_size_20_003,Active,6.43007593965
BDB3499_size_20_004,Active,6.4482015312
BDB3499_size_20_005,Active,6.19441610367
BDB3499_size_20_006,Active,6.34908006565
BDB3499_size_20_007,Active,6.19508628182
BDB3499_size_20_008,Active,6.14032307831
BDB3499_size_20_009,Active,6.07246406942
BDB3499_size_20_010,Active,6.12676718742
BDB3823_size_20_001,Active,5.95276799331
BDB3823_size_20_002,Active,5.95630617997
BDB3823_size_20_003,Active,5.95070205999
BDB3823_size_20_004,Active,5.96354537519
BDB3823_size_20_005,Active,5.9546436975
BDB3823_size_20_006,Active,5.95445302976
BDB3823_size_20_007,Active,5.95
BDB3823_size_20_008,Active,5.94215673179
BDB3823_size_20_009,Active,5.95
BDB3877_size_20_001,Active,5.95046091213
BDB3877_size_20_002,Active,5.95940411998
BDB3877_size_20_003,Active,5.9562
BDB3877_size_20_004,Active,5.96846837397
BDB3877_size_20_005,Active,5.9519721133
BDB3928_size_20_001,Active,5.97742520112
BDB3928_size_20_002,Active,5.98107519796
BDB3928_size_20_003,Active,5.95266799331
BDB3928_size_20_004,Active,5.95551515464
BDB3928_size_20_005,Active,5.95503508542
BDB3928_size_20_006,Active,5.95731233655
BDB3928_size_20_007,Active,5.95563431547
BDB3928_size_20_008,Active,5.95
