Pose,Real_Class,CNN-Score
CHEMBL1164184_size_20_001,Active,0.14155
CHEMBL1164184_size_20_002,Active,0.09615
CHEMBL1164184_size_20_003,Active,0.09622
CHEMBL1164184_size_20_004,Active,0.1565
CHEMBL1164184_size_20_005,Active,0.23034
CHEMBL1164184_size_20_006,Active,0.16621
CHEMBL1164315_size_20_001,Active,0.42817
CHEMBL1164315_size_20_002,Active,0.11675
CHEMBL1164315_size_20_003,Active,0.13086
CHEMBL1164315_size_20_004,Active,0.56882
CHEMBL1164323_size_20_001,Active,0.21333
CHEMBL1164323_size_20_002,Active,0.175
CHEMBL1164323_size_20_003,Active,0.05645
CHEMBL1164323_size_20_004,Active,0.09569
CHEMBL1164578_size_20_001,Active,0.3581
CHEMBL1164578_size_20_002,Active,0.14649
CHEMBL1164578_size_20_003,Active,0.08816
CHEMBL1164578_size_20_004,Active,0.15293
CHEMBL1164790_size_20_001,Active,0.0624
CHEMBL1164790_size_20_002,Active,0.06368
CHEMBL1164790_size_20_003,Active,0.15139
CHEMBL1165042_size_20_001,Active,0.11258
CHEMBL1165284_size_20_001,Active,0.06151
CHEMBL1165284_size_20_002,Active,0.38283
CHEMBL1165284_size_20_003,Active,0.21022
CHEMBL1165284_size_20_004,Active,0.06813
CHEMBL1165284_size_20_005,Active,0.34444
CHEMBL1165284_size_20_006,Active,0.30927
CHEMBL180172_size_20_001,Active,0.14029
CHEMBL180172_size_20_002,Active,0.12433
CHEMBL181943_size_20_001,Active,0.10393
CHEMBL181943_size_20_002,Active,0.17898
CHEMBL181943_size_20_003,Active,0.11046
CHEMBL181943_size_20_004,Active,0.14885
CHEMBL181943_size_20_005,Active,0.14773
CHEMBL191239_size_20_001,Active,0.6231
CHEMBL194102_size_20_001,Active,0.48461
CHEMBL194137_size_20_001,Active,0.68703
CHEMBL194499_size_20_001,Active,0.10618
CHEMBL194499_size_20_002,Active,0.20425
CHEMBL194499_size_20_003,Active,0.07733
CHEMBL195128_size_20_001,Active,0.21115
CHEMBL195128_size_20_002,Active,0.13309
CHEMBL195128_size_20_003,Active,0.1866
CHEMBL195431_size_20_001,Active,0.63549
CHEMBL205627_size_20_001,Active,0.55731
CHEMBL205627_size_20_002,Active,0.42505
CHEMBL205627_size_20_003,Active,0.43148
CHEMBL205816_size_20_001,Active,0.63601
CHEMBL210838_size_20_001,Active,0.6319
CHEMBL371462_size_20_001,Active,0.44328
CHEMBL371462_size_20_002,Active,0.26205
CHEMBL371462_size_20_003,Active,0.12061
CHEMBL371462_size_20_004,Active,0.09775
CHEMBL371462_size_20_005,Active,0.09549
CHEMBL371462_size_20_006,Active,0.14005
CHEMBL372860_size_20_001,Active,0.61665
CHEMBL372860_size_20_002,Active,0.2084
CHEMBL373339_size_20_001,Active,0.65235
CHEMBL373339_size_20_002,Active,0.0973
CHEMBL373364_size_20_001,Active,0.2255
CHEMBL373364_size_20_002,Active,0.37561
CHEMBL373364_size_20_003,Active,0.41994
CHEMBL379153_size_20_001,Active,0.10087
CHEMBL379153_size_20_002,Active,0.20153
CHEMBL379153_size_20_003,Active,0.39449
CHEMBL381434_size_20_001,Active,0.22464
CHEMBL381434_size_20_002,Active,0.16207
CHEMBL381434_size_20_003,Active,0.5293
CHEMBL381434_size_20_004,Active,0.17775
CHEMBL381434_size_20_005,Active,0.11897
CHEMBL381434_size_20_006,Active,0.18884
CHEMBL381434_size_20_007,Active,0.27411
CHEMBL439344_size_20_001,Active,0.53317
CHEMBL439344_size_20_002,Active,0.35063
CHEMBL451084_size_20_001,Active,0.93984
CHEMBL451084_size_20_002,Active,0.32934
CHEMBL475058_size_20_001,Active,0.13597
CHEMBL475058_size_20_002,Active,0.32058
CHEMBL475058_size_20_003,Active,0.30401
CHEMBL475058_size_20_004,Active,0.16364
CHEMBL475058_size_20_005,Active,0.57976
CHEMBL475058_size_20_006,Active,0.15972
CHEMBL480725_size_20_001,Active,0.15209
CHEMBL483817_size_20_001,Active,0.30748
CHEMBL483817_size_20_002,Active,0.28351
CHEMBL483817_size_20_003,Active,0.47171
CHEMBL483817_size_20_004,Active,0.29681
CHEMBL483817_size_20_005,Active,0.38289
CHEMBL483818_size_20_001,Active,0.23783
CHEMBL483818_size_20_002,Active,0.21332
CHEMBL483818_size_20_003,Active,0.1785
CHEMBL489333_size_20_001,Active,0.27619
CHEMBL489333_size_20_002,Active,0.26873
