Pose,Real_Class,Docking_score
CHEMBL1164184_size_20_001,Active,-6.7
CHEMBL1164184_size_20_002,Active,-6
CHEMBL1164184_size_20_003,Active,-5
CHEMBL1164184_size_20_004,Active,-4.8
CHEMBL1164184_size_20_005,Active,-4.1
CHEMBL1164184_size_20_006,Active,-4.1
CHEMBL1164315_size_20_001,Active,-6.9
CHEMBL1164315_size_20_002,Active,-6.5
CHEMBL1164315_size_20_003,Active,-5.6
CHEMBL1164315_size_20_004,Active,-4.9
CHEMBL1164323_size_20_001,Active,-7.7
CHEMBL1164323_size_20_002,Active,-6.9
CHEMBL1164323_size_20_003,Active,-5.8
CHEMBL1164323_size_20_004,Active,-5.1
CHEMBL1164578_size_20_001,Active,-6.8
CHEMBL1164578_size_20_002,Active,-6.7
CHEMBL1164578_size_20_003,Active,-6.6
CHEMBL1164578_size_20_004,Active,-6.4
CHEMBL1164790_size_20_001,Active,-5.5
CHEMBL1164790_size_20_002,Active,-4.2
CHEMBL1164790_size_20_003,Active,-2.5
CHEMBL1165042_size_20_001,Active,-7.1
CHEMBL1165284_size_20_001,Active,-7.1
CHEMBL1165284_size_20_002,Active,-6.9
CHEMBL1165284_size_20_003,Active,-6.6
CHEMBL1165284_size_20_004,Active,-6
CHEMBL1165284_size_20_005,Active,-5.8
CHEMBL1165284_size_20_006,Active,-5.6
CHEMBL180172_size_20_001,Active,-6.5
CHEMBL180172_size_20_002,Active,-6.5
CHEMBL181943_size_20_001,Active,-6.3
CHEMBL181943_size_20_002,Active,-5.7
CHEMBL181943_size_20_003,Active,-5.5
CHEMBL181943_size_20_004,Active,-4.9
CHEMBL181943_size_20_005,Active,-4.5
CHEMBL191239_size_20_001,Active,-7.4
CHEMBL194102_size_20_001,Active,1.4
CHEMBL194137_size_20_001,Active,-7.6
CHEMBL194499_size_20_001,Active,-5.1
CHEMBL194499_size_20_002,Active,-5.1
CHEMBL194499_size_20_003,Active,-4.8
CHEMBL195128_size_20_001,Active,-7.7
CHEMBL195128_size_20_002,Active,-6.5
CHEMBL195128_size_20_003,Active,-6.2
CHEMBL195431_size_20_001,Active,-7.8
CHEMBL205627_size_20_001,Active,-7.1
CHEMBL205627_size_20_002,Active,-5.3
CHEMBL205627_size_20_003,Active,-4.6
CHEMBL205816_size_20_001,Active,-7.5
CHEMBL210838_size_20_001,Active,-6.5
CHEMBL371462_size_20_001,Active,-7.7
CHEMBL371462_size_20_002,Active,-6.7
CHEMBL371462_size_20_003,Active,-6.2
CHEMBL371462_size_20_004,Active,-5.4
CHEMBL371462_size_20_005,Active,-5.4
CHEMBL371462_size_20_006,Active,-4.8
CHEMBL372860_size_20_001,Active,-7.8
CHEMBL372860_size_20_002,Active,-5.1
CHEMBL373339_size_20_001,Active,-7.5
CHEMBL373339_size_20_002,Active,-5.1
CHEMBL373364_size_20_001,Active,-4.6
CHEMBL373364_size_20_002,Active,-3
CHEMBL373364_size_20_003,Active,-2.6
CHEMBL379153_size_20_001,Active,-4.8
CHEMBL379153_size_20_002,Active,-3.5
CHEMBL379153_size_20_003,Active,-2.7
CHEMBL381434_size_20_001,Active,-6.8
CHEMBL381434_size_20_002,Active,-6.1
CHEMBL381434_size_20_003,Active,-5.8
CHEMBL381434_size_20_004,Active,-5.4
CHEMBL381434_size_20_005,Active,-4.8
CHEMBL381434_size_20_006,Active,-4.5
CHEMBL381434_size_20_007,Active,-4
CHEMBL439344_size_20_001,Active,-7.6
CHEMBL439344_size_20_002,Active,-5.8
CHEMBL451084_size_20_001,Active,-7.6
CHEMBL451084_size_20_002,Active,-5.8
CHEMBL475058_size_20_001,Active,-7.7
CHEMBL475058_size_20_002,Active,-7.3
CHEMBL475058_size_20_003,Active,-7
CHEMBL475058_size_20_004,Active,-5.7
CHEMBL475058_size_20_005,Active,-5.1
CHEMBL475058_size_20_006,Active,-5
CHEMBL480725_size_20_001,Active,-5.4
CHEMBL483817_size_20_001,Active,-8.6
CHEMBL483817_size_20_002,Active,-8.2
CHEMBL483817_size_20_003,Active,-7.8
CHEMBL483817_size_20_004,Active,-7.2
CHEMBL483817_size_20_005,Active,-6.4
CHEMBL483818_size_20_001,Active,-8.2
CHEMBL483818_size_20_002,Active,-8.2
CHEMBL483818_size_20_003,Active,-6.7
CHEMBL489333_size_20_001,Active,-8.2
CHEMBL489333_size_20_002,Active,-7.3
CHEMBL489334_size_20_001,Active,-8.2
CHEMBL489334_size_20_002,Active,-7.8
CHEMBL489334_size_20_003,Active,-7.4
CHEMBL489334_size_20_004,Active,-6.1
CHEMBL489334_size_20_005,Active,-6
CHEMBL489334_size_20_006,Active,-5.9
CHEMBL489335_size_20_001,Active,-6.9
CHEMBL489335_size_20_002,Active,-6.4
CHEMBL489335_size_20_003,Active,-5.9
CHEMBL489335_size_20_004,Active,-5.7
CHEMBL489335_size_20_005,Active,-5.4
CHEMBL489335_size_20_006,Active,-5.3
CHEMBL489335_size_20_007,Active,-4.7
CHEMBL489335_size_20_008,Active,-4.6
CHEMBL489335_size_20_009,Active,-4.2
CHEMBL489514_size_20_001,Active,-8.1
CHEMBL489514_size_20_002,Active,-7.1
CHEMBL489514_size_20_003,Active,-6.8
CHEMBL489514_size_20_004,Active,-6.4
CHEMBL489514_size_20_005,Active,-5.2
CHEMBL489514_size_20_006,Active,-5.2
CHEMBL489710_size_20_001,Active,-6.8
CHEMBL489710_size_20_002,Active,-6.4
CHEMBL489710_size_20_003,Active,-5.6
CHEMBL489710_size_20_004,Active,-5.1
CHEMBL489710_size_20_005,Active,-4
CHEMBL489711_size_20_001,Active,-7.5
CHEMBL489711_size_20_002,Active,-7.1
CHEMBL489711_size_20_003,Active,-7
CHEMBL489711_size_20_004,Active,-6.6
CHEMBL489711_size_20_005,Active,-6.3
CHEMBL490961_size_20_001,Active,-6.9
CHEMBL490961_size_20_002,Active,-5.9
CHEMBL490961_size_20_003,Active,-5.8
CHEMBL490961_size_20_004,Active,-5.7
CHEMBL490961_size_20_005,Active,-5.4
CHEMBL490961_size_20_006,Active,-4.7
CHEMBL491121_size_20_001,Active,-6.7
CHEMBL491121_size_20_002,Active,-6.1
CHEMBL491121_size_20_003,Active,-5.7
CHEMBL491121_size_20_004,Active,-5.5
CHEMBL491121_size_20_005,Active,-5.3
CHEMBL491148_size_20_001,Active,-6.9
CHEMBL491148_size_20_002,Active,-6.6
CHEMBL491148_size_20_003,Active,-6.1
CHEMBL491148_size_20_004,Active,-5.9
CHEMBL491148_size_20_005,Active,-5.8
CHEMBL491148_size_20_006,Active,-4.9
CHEMBL491148_size_20_007,Active,-4.4
CHEMBL505096_size_20_001,Active,-8.2
CHEMBL516458_size_20_001,Active,-6.4
CHEMBL516458_size_20_002,Active,-5.9
CHEMBL516458_size_20_003,Active,-5.7
CHEMBL519273_size_20_001,Active,-5
CHEMBL519273_size_20_002,Active,-3.1
CHEMBL519273_size_20_003,Active,-2.6
CHEMBL523602_size_20_001,Active,-7.3
CHEMBL523602_size_20_002,Active,-6.8
CHEMBL523602_size_20_003,Active,-4.5
CHEMBL523602_size_20_004,Active,-4.4
CHEMBL541979_size_20_001,Active,-5.6
CHEMBL541979_size_20_002,Active,-5.5
CHEMBL541979_size_20_003,Active,-5.3
CHEMBL541979_size_20_004,Active,-5.3
CHEMBL541979_size_20_005,Active,-5
CHEMBL541979_size_20_006,Active,-4.4
CHEMBL541979_size_20_007,Active,-3.3
CHEMBL541979_size_20_008,Active,-3.1
CHEMBL549417_size_20_001,Active,-7.1
CHEMBL551445_size_20_001,Active,-7.4
CHEMBL551445_size_20_002,Active,-6.8
CHEMBL551445_size_20_003,Active,-6.5
CHEMBL551445_size_20_004,Active,-6.2
CHEMBL551445_size_20_005,Active,-6.2
CHEMBL551445_size_20_006,Active,-6.1
CHEMBL551445_size_20_007,Active,-6
CHEMBL551445_size_20_008,Active,-5.4
CHEMBL551445_size_20_009,Active,-4.8
CHEMBL551558_size_20_001,Active,-7.4
CHEMBL551558_size_20_002,Active,-6.6
CHEMBL551558_size_20_003,Active,-6.2
CHEMBL551558_size_20_004,Active,-6.2
CHEMBL551558_size_20_005,Active,-5.8
CHEMBL551558_size_20_006,Active,-5.7
CHEMBL551558_size_20_007,Active,-5.1
CHEMBL551558_size_20_008,Active,-4.7
CHEMBL551558_size_20_009,Active,-4.7
CHEMBL551558_size_20_010,Active,-4.5
CHEMBL551648_size_20_001,Active,-6.1
CHEMBL551648_size_20_002,Active,-5.7
CHEMBL551648_size_20_003,Active,-4.8
CHEMBL551648_size_20_004,Active,-4.2
CHEMBL551977_size_20_001,Active,-7.2
CHEMBL551977_size_20_002,Active,-6
CHEMBL551977_size_20_003,Active,-5.5
CHEMBL552455_size_20_001,Active,-7.5
CHEMBL552455_size_20_002,Active,-7
CHEMBL552455_size_20_003,Active,-5.8
CHEMBL552455_size_20_004,Active,-5
CHEMBL558885_size_20_001,Active,-6.4
CHEMBL558885_size_20_002,Active,-6.2
CHEMBL558885_size_20_003,Active,-6.1
CHEMBL558885_size_20_004,Active,-5.2
CHEMBL558885_size_20_005,Active,-5.1
CHEMBL558885_size_20_006,Active,-4.5
CHEMBL559057_size_20_001,Active,-8.1
CHEMBL559057_size_20_002,Active,-8
CHEMBL559057_size_20_003,Active,-7
CHEMBL559057_size_20_004,Active,-5.7
CHEMBL559975_size_20_001,Active,-7.3
CHEMBL559975_size_20_002,Active,-7.2
CHEMBL561283_size_20_001,Active,-7.8
CHEMBL561283_size_20_002,Active,-7.5
CHEMBL561283_size_20_003,Active,-6.5
CHEMBL562878_size_20_001,Active,-5.5
CHEMBL562878_size_20_002,Active,-4.2
CHEMBL562878_size_20_003,Active,-3.3
CHEMBL563986_size_20_001,Active,-6.5
CHEMBL563986_size_20_002,Active,-6.1
CHEMBL563986_size_20_003,Active,-6
CHEMBL563986_size_20_004,Active,-5.4
CHEMBL563986_size_20_005,Active,-4.6
CHEMBL564282_size_20_001,Active,-8.2
CHEMBL564282_size_20_002,Active,-8.1
CHEMBL564282_size_20_003,Active,-7.9
CHEMBL564282_size_20_004,Active,-7.4
CHEMBL564282_size_20_005,Active,-6.2
CHEMBL572840_size_20_001,Active,-7.1
CHEMBL572840_size_20_002,Active,-6.7
CHEMBL572840_size_20_003,Active,-6.5
CHEMBL572840_size_20_004,Active,-5.9
CHEMBL572840_size_20_005,Active,-5.8
CHEMBL572840_size_20_006,Active,-4.5
CHEMBL572842_size_20_001,Active,-7.4
CHEMBL572842_size_20_002,Active,-6.7
CHEMBL572842_size_20_003,Active,-6.5
CHEMBL572842_size_20_004,Active,-6.1
CHEMBL572842_size_20_005,Active,-5.3
CHEMBL572842_size_20_006,Active,-5.1
CHEMBL572842_size_20_007,Active,-4.5
CHEMBL573064_size_20_001,Active,-7.6
CHEMBL573064_size_20_002,Active,-7.4
CHEMBL573064_size_20_003,Active,-4.8
CHEMBL573065_size_20_001,Active,-8.6
CHEMBL573065_size_20_002,Active,-8.5
CHEMBL573065_size_20_003,Active,-6.5
CHEMBL573065_size_20_004,Active,-6.5
CHEMBL573749_size_20_001,Active,-9.6
CHEMBL573749_size_20_002,Active,-7.4
CHEMBL573750_size_20_001,Active,-8
CHEMBL573750_size_20_002,Active,-7.7
CHEMBL573750_size_20_003,Active,-7
CHEMBL573750_size_20_004,Active,-6.5
CHEMBL573750_size_20_005,Active,-6
CHEMBL573750_size_20_006,Active,-5.8
CHEMBL573751_size_20_001,Active,-8
CHEMBL573751_size_20_002,Active,-7.8
CHEMBL573751_size_20_003,Active,-7.1
CHEMBL573751_size_20_004,Active,-6.5
CHEMBL573751_size_20_005,Active,-6.3
CHEMBL573751_size_20_006,Active,-5.8
CHEMBL573751_size_20_007,Active,-5.7
CHEMBL573751_size_20_008,Active,-5.1
CHEMBL574879_size_20_001,Active,-7.4
CHEMBL574879_size_20_002,Active,-7.3
CHEMBL574879_size_20_003,Active,-6.6
CHEMBL574879_size_20_004,Active,-6.6
CHEMBL574879_size_20_005,Active,-6
CHEMBL574879_size_20_006,Active,-5.9
CHEMBL574879_size_20_007,Active,-5.8
CHEMBL574879_size_20_008,Active,-5.8
CHEMBL574879_size_20_009,Active,-5.3
CHEMBL574879_size_20_010,Active,-5.1
CHEMBL575087_size_20_001,Active,-7.3
CHEMBL575087_size_20_002,Active,-6.8
CHEMBL575087_size_20_003,Active,-6.4
CHEMBL575087_size_20_004,Active,-5.1
CHEMBL575087_size_20_005,Active,-4.9
CHEMBL575087_size_20_006,Active,-4.6
CHEMBL575087_size_20_007,Active,-4.5
CHEMBL575278_size_20_001,Active,-7.8
CHEMBL575278_size_20_002,Active,-7.1
CHEMBL575278_size_20_003,Active,-6.9
CHEMBL575278_size_20_004,Active,-6.4
CHEMBL575278_size_20_005,Active,-6.3
CHEMBL575298_size_20_001,Active,-7.7
CHEMBL575298_size_20_002,Active,-7
CHEMBL575298_size_20_003,Active,-6.5
CHEMBL575298_size_20_004,Active,-6.2
CHEMBL575298_size_20_005,Active,-4.9
CHEMBL575705_size_20_001,Active,-8.2
CHEMBL575705_size_20_002,Active,-6.7
CHEMBL575705_size_20_003,Active,-5.9
CHEMBL575705_size_20_004,Active,-5.3
CHEMBL575903_size_20_001,Active,-7.1
CHEMBL575903_size_20_002,Active,-6.8
CHEMBL575903_size_20_003,Active,-6.4
CHEMBL575903_size_20_004,Active,-5.9
CHEMBL575903_size_20_005,Active,-5.4
CHEMBL575903_size_20_006,Active,-4.9
CHEMBL575903_size_20_007,Active,-4.8
CHEMBL575903_size_20_008,Active,-4.5
CHEMBL575903_size_20_009,Active,-4.4
CHEMBL575904_size_20_001,Active,-8.5
CHEMBL575904_size_20_002,Active,-8.3
CHEMBL575904_size_20_003,Active,-6.3
CHEMBL575905_size_20_001,Active,-8.7
CHEMBL575905_size_20_002,Active,-8.6
CHEMBL575918_size_20_001,Active,-7.2
CHEMBL575918_size_20_002,Active,-6.6
CHEMBL575918_size_20_003,Active,-6.3
CHEMBL575918_size_20_004,Active,-6.3
CHEMBL575918_size_20_005,Active,-6.3
CHEMBL575918_size_20_006,Active,-6.2
CHEMBL575918_size_20_007,Active,-5.9
CHEMBL575918_size_20_008,Active,-5.6
CHEMBL575918_size_20_009,Active,-5.2
CHEMBL575918_size_20_010,Active,-4.6
CHEMBL576936_size_20_001,Active,-7.1
CHEMBL576936_size_20_002,Active,-6.8
CHEMBL576936_size_20_003,Active,-6.6
CHEMBL576936_size_20_004,Active,-5.9
CHEMBL576936_size_20_005,Active,-4.8
CHEMBL578022_size_20_001,Active,-7.2
CHEMBL578022_size_20_002,Active,-6.5
CHEMBL578022_size_20_003,Active,-6.5
CHEMBL578022_size_20_004,Active,-5.5
CHEMBL578638_size_20_001,Active,-6.8
CHEMBL578638_size_20_002,Active,-6.3
CHEMBL578638_size_20_003,Active,-6.2
CHEMBL578638_size_20_004,Active,-5.8
CHEMBL578638_size_20_005,Active,-4
CHEMBL584378_size_20_001,Active,-9.4
CHEMBL584378_size_20_002,Active,-8.7
CHEMBL594382_size_20_001,Active,-4.6
CHEMBL594382_size_20_002,Active,-4.2
CHEMBL594382_size_20_003,Active,-4
CHEMBL594382_size_20_004,Active,-2.9
CHEMBL594633_size_20_001,Active,-5.3
CHEMBL594634_size_20_001,Active,-6
CHEMBL594634_size_20_002,Active,-5
CHEMBL595122_size_20_001,Active,-7.6
CHEMBL595122_size_20_002,Active,-7
CHEMBL595353_size_20_001,Active,-3.3
CHEMBL595353_size_20_002,Active,-0.9
CHEMBL595362_size_20_001,Active,-6.9
CHEMBL595362_size_20_002,Active,-6.4
CHEMBL595362_size_20_003,Active,-5.4
CHEMBL595362_size_20_004,Active,-5
CHEMBL596020_size_20_001,Active,-7.8
CHEMBL596020_size_20_002,Active,-6.7
CHEMBL596020_size_20_003,Active,-6.2
CHEMBL596026_size_20_001,Active,-5.3
CHEMBL596026_size_20_002,Active,-4.3
CHEMBL596032_size_20_001,Active,-5.2
CHEMBL596032_size_20_002,Active,-4.5
CHEMBL596032_size_20_003,Active,-4.2
CHEMBL596032_size_20_004,Active,-3.8
CHEMBL596480_size_20_001,Active,-4.7
CHEMBL596480_size_20_002,Active,-4
CHEMBL596480_size_20_003,Active,-3.8
CHEMBL604065_size_20_001,Active,-3.9
CHEMBL606041_size_20_001,Active,-6.7
CHEMBL606041_size_20_002,Active,-6.1
CHEMBL606041_size_20_003,Active,-5.9
CHEMBL606041_size_20_004,Active,-4.8
CHEMBL606156_size_20_001,Active,-7.5
CHEMBL606156_size_20_002,Active,-6.9
CHEMBL606156_size_20_003,Active,-6.5
CHEMBL606156_size_20_004,Active,-6.5
CHEMBL606156_size_20_005,Active,-5.5
CHEMBL606370_size_20_001,Active,-6.7
CHEMBL606370_size_20_002,Active,-5.2
CHEMBL606370_size_20_003,Active,-5
CHEMBL608393_size_20_001,Active,-6.2
CHEMBL608393_size_20_002,Active,-5.9
CHEMBL608393_size_20_003,Active,-4.5
CHEMBL608393_size_20_004,Active,-4.1
CHEMBL608393_size_20_005,Active,-4
CHEMBL608393_size_20_006,Active,-3.5
ZINC00050648_size_20_001,Inactive,-7.2
ZINC00050648_size_20_002,Inactive,-6.3
ZINC00050648_size_20_003,Inactive,-6.1
ZINC00050648_size_20_004,Inactive,-4.7
ZINC00090576_size_20_001,Inactive,-6.7
ZINC00090576_size_20_002,Inactive,-6.6
ZINC00090576_size_20_003,Inactive,-6.5
ZINC00090576_size_20_004,Inactive,-6.1
ZINC00090576_size_20_005,Inactive,-4.9
ZINC00090576_size_20_006,Inactive,-4.5
ZINC00090576_size_20_007,Inactive,-3.8
ZINC00099277_size_20_001,Inactive,-6.8
ZINC00099277_size_20_002,Inactive,-6.6
ZINC00099277_size_20_003,Inactive,-6.3
ZINC00099277_size_20_004,Inactive,-5.7
ZINC00099277_size_20_005,Inactive,-5.7
ZINC00099277_size_20_006,Inactive,-4.7
ZINC00099277_size_20_007,Inactive,-4.4
ZINC00099277_size_20_008,Inactive,-3.9
ZINC00116286_size_20_001,Inactive,-8.4
ZINC00116286_size_20_002,Inactive,-7.1
ZINC00116286_size_20_003,Inactive,-6.8
ZINC00116286_size_20_004,Inactive,-6.3
ZINC00116286_size_20_005,Inactive,-6.2
ZINC00116286_size_20_006,Inactive,-6
ZINC00116286_size_20_007,Inactive,-5.9
ZINC00116286_size_20_008,Inactive,-5.5
ZINC00127019_size_20_001,Inactive,-6
ZINC00127019_size_20_002,Inactive,-5.9
ZINC00127019_size_20_003,Inactive,-5.9
ZINC00127708_size_20_001,Inactive,-7.8
ZINC00127708_size_20_002,Inactive,-7.5
ZINC00127708_size_20_003,Inactive,-7.1
ZINC00127708_size_20_004,Inactive,-7.1
ZINC00127708_size_20_005,Inactive,-6.7
ZINC00127708_size_20_006,Inactive,-6.7
ZINC00147845_size_20_001,Inactive,-6.6
ZINC00147845_size_20_002,Inactive,-6.3
ZINC00147845_size_20_003,Inactive,-5.6
ZINC00147845_size_20_004,Inactive,-5
ZINC00147845_size_20_005,Inactive,-4.6
ZINC00147845_size_20_006,Inactive,-4.1
ZINC00170905_size_20_001,Inactive,-7
ZINC00170905_size_20_002,Inactive,-6.9
ZINC00170905_size_20_003,Inactive,-6.6
ZINC00170905_size_20_004,Inactive,-6.1
ZINC00170905_size_20_005,Inactive,-6
ZINC00170905_size_20_006,Inactive,-5.8
ZINC00170905_size_20_007,Inactive,-4.8
ZINC00178860_size_20_001,Inactive,-6.8
ZINC00178860_size_20_002,Inactive,-6
ZINC00178860_size_20_003,Inactive,-5.8
ZINC00178860_size_20_004,Inactive,-5.7
ZINC00178860_size_20_005,Inactive,-5.4
ZINC00178860_size_20_006,Inactive,-4.9
ZINC00178860_size_20_007,Inactive,-4.6
ZINC00178860_size_20_008,Inactive,-4.4
ZINC00184456_size_20_001,Inactive,-7.4
ZINC00184456_size_20_002,Inactive,-6.6
ZINC00202270_size_20_001,Inactive,-7.2
ZINC00202270_size_20_002,Inactive,-6.6
ZINC00202270_size_20_003,Inactive,-5.9
ZINC00202270_size_20_004,Inactive,-5.9
ZINC00202270_size_20_005,Inactive,-5.6
ZINC00202270_size_20_006,Inactive,-5
ZINC00202270_size_20_007,Inactive,-5
ZINC00222396_size_20_001,Inactive,-5.9
ZINC00222396_size_20_002,Inactive,-3.9
ZINC00222400_size_20_001,Inactive,-8.3
ZINC00222400_size_20_002,Inactive,-7.7
ZINC00222400_size_20_003,Inactive,-7.2
ZINC00222400_size_20_004,Inactive,-6.8
ZINC00223828_size_20_001,Inactive,-7.2
ZINC00223828_size_20_002,Inactive,-6.9
ZINC00223828_size_20_003,Inactive,-6.7
ZINC00223828_size_20_004,Inactive,-5.8
ZINC00223828_size_20_005,Inactive,-5.3
ZINC00223828_size_20_006,Inactive,-4.9
ZINC00243731_size_20_001,Inactive,-6.7
ZINC00243731_size_20_002,Inactive,-6.5
ZINC00243731_size_20_003,Inactive,-6.2
ZINC00243731_size_20_004,Inactive,-5.5
ZINC00243731_size_20_005,Inactive,-4.9
ZINC00243731_size_20_006,Inactive,-4.8
ZINC00243731_size_20_007,Inactive,-4.5
ZINC00243731_size_20_008,Inactive,-4.2
ZINC00243731_size_20_009,Inactive,-4.1
ZINC00276184_size_20_001,Inactive,-5.8
ZINC00276184_size_20_002,Inactive,-5.7
ZINC00276184_size_20_003,Inactive,-5.4
ZINC00276184_size_20_004,Inactive,-5
ZINC00276184_size_20_005,Inactive,-4.5
ZINC00276184_size_20_006,Inactive,-4
ZINC00276184_size_20_007,Inactive,-4
ZINC00276184_size_20_008,Inactive,-3.6
ZINC00293548_size_20_001,Inactive,-6.5
ZINC00293548_size_20_002,Inactive,-4.9
ZINC00293548_size_20_003,Inactive,-4.7
ZINC00293548_size_20_004,Inactive,-4.5
ZINC00293548_size_20_005,Inactive,-4.1
ZINC00294082_size_20_001,Inactive,-9.2
ZINC00294082_size_20_002,Inactive,-8.4
ZINC00294082_size_20_003,Inactive,-7
ZINC00294082_size_20_004,Inactive,-6.8
ZINC00310066_size_20_001,Inactive,-8.5
ZINC00310066_size_20_002,Inactive,-7.1
ZINC00310066_size_20_003,Inactive,-6.5
ZINC00310066_size_20_004,Inactive,-5.7
ZINC00324835_size_20_001,Inactive,-8.8
ZINC00324835_size_20_002,Inactive,-8.5
ZINC00324835_size_20_003,Inactive,-8.2
ZINC00324835_size_20_004,Inactive,-8.1
ZINC00324835_size_20_005,Inactive,-7.3
ZINC00345515_size_20_001,Inactive,-9.7
ZINC00345515_size_20_002,Inactive,-8.8
ZINC00345515_size_20_003,Inactive,-8.1
ZINC00345515_size_20_004,Inactive,-7.9
ZINC00359622_size_20_001,Inactive,-4.1
ZINC00359622_size_20_002,Inactive,-2.2
ZINC00359627_size_20_001,Inactive,-7.4
ZINC00359627_size_20_002,Inactive,-7.3
ZINC00359627_size_20_003,Inactive,-7
ZINC00369104_size_20_001,Inactive,-7.3
ZINC00369104_size_20_002,Inactive,-5.9
ZINC00369104_size_20_003,Inactive,-5.8
ZINC00369104_size_20_004,Inactive,-5.4
ZINC00369104_size_20_005,Inactive,-5.4
ZINC00369104_size_20_006,Inactive,-5.1
ZINC00522226_size_20_001,Inactive,-7.8
ZINC00522226_size_20_002,Inactive,-7.3
ZINC00522226_size_20_003,Inactive,-7.1
