Pose,Real_Class,Average_Good_Pose_Prob
CHEMBL1164184_size_20_001,Active,0.234190657006466
CHEMBL1164184_size_20_002,Active,0.040684832517878
CHEMBL1164184_size_20_003,Active,0.012085744806951
CHEMBL1164184_size_20_004,Active,0.013170118559205
CHEMBL1164184_size_20_005,Active,0.002747063374728
CHEMBL1164184_size_20_006,Active,0.001364135161718
CHEMBL1164315_size_20_001,Active,0.024964772197404
CHEMBL1164315_size_20_002,Active,0.091790648637676
CHEMBL1164315_size_20_003,Active,0.066885184892355
CHEMBL1164315_size_20_004,Active,0.552339184407112
CHEMBL1164323_size_20_001,Active,0.053225171410146
CHEMBL1164323_size_20_002,Active,0.016076498789038
CHEMBL1164323_size_20_003,Active,0.008361681975116
CHEMBL1164323_size_20_004,Active,0.001078840926486
CHEMBL1164578_size_20_001,Active,0.032081110778008
CHEMBL1164578_size_20_002,Active,0.233861006158576
CHEMBL1164578_size_20_003,Active,0.135856541049929
CHEMBL1164578_size_20_004,Active,0.194532920810972
CHEMBL1164790_size_20_001,Active,0.199585300396606
CHEMBL1164790_size_20_002,Active,0.065747052470792
CHEMBL1164790_size_20_003,Active,0.230080424821696
CHEMBL1165042_size_20_001,Active,0.099518869244736
CHEMBL1165284_size_20_001,Active,0.27235846724789
CHEMBL1165284_size_20_002,Active,0.061441633095196
CHEMBL1165284_size_20_003,Active,0.053778772964806
CHEMBL1165284_size_20_004,Active,0.005844751483164
CHEMBL1165284_size_20_005,Active,0.017190048502582
CHEMBL1165284_size_20_006,Active,0.075904940944742
CHEMBL180172_size_20_001,Active,0.002891206031811
CHEMBL180172_size_20_002,Active,0.01012682676063
CHEMBL181943_size_20_001,Active,0.013257912937926
CHEMBL181943_size_20_002,Active,0.092225186438605
CHEMBL181943_size_20_003,Active,0.00081217488092
CHEMBL181943_size_20_004,Active,0.015764447058624
CHEMBL181943_size_20_005,Active,0.039936401824376
CHEMBL191239_size_20_001,Active,0.255665963041794
CHEMBL194102_size_20_001,Active,0.449565856646863
CHEMBL194137_size_20_001,Active,0.178557619365547
CHEMBL194499_size_20_001,Active,0.000985403488712
CHEMBL194499_size_20_002,Active,0.032686385934697
CHEMBL194499_size_20_003,Active,0.001743508169349
CHEMBL195128_size_20_001,Active,0.05822125204537
CHEMBL195128_size_20_002,Active,0.006621356704077
CHEMBL195128_size_20_003,Active,0.011189506792923
CHEMBL195431_size_20_001,Active,0.192674221516606
CHEMBL205627_size_20_001,Active,0.210819217647673
CHEMBL205627_size_20_002,Active,0.1283584338379
CHEMBL205627_size_20_003,Active,0.386388251811929
CHEMBL205816_size_20_001,Active,0.276380080562772
CHEMBL210838_size_20_001,Active,0.201498852653464
CHEMBL371462_size_20_001,Active,0.095894204611572
CHEMBL371462_size_20_002,Active,0.083978895660599
CHEMBL371462_size_20_003,Active,0.001793941333175
CHEMBL371462_size_20_004,Active,0.000234674766225
CHEMBL371462_size_20_005,Active,0.000248162593101
CHEMBL371462_size_20_006,Active,0.000899421467688
CHEMBL372860_size_20_001,Active,0.191934269976346
CHEMBL372860_size_20_002,Active,0.069332694081354
CHEMBL373339_size_20_001,Active,0.198948293568149
CHEMBL373339_size_20_002,Active,0.006045030484359
CHEMBL373364_size_20_001,Active,0.012675479453391
CHEMBL373364_size_20_002,Active,0.006750138563852
CHEMBL373364_size_20_003,Active,0.034361855631
CHEMBL379153_size_20_001,Active,0.033016695108409
CHEMBL379153_size_20_002,Active,0.007503507570011
CHEMBL379153_size_20_003,Active,0.014300700359008
CHEMBL381434_size_20_001,Active,0.024123357640549
CHEMBL381434_size_20_002,Active,0.02404226013249
CHEMBL381434_size_20_003,Active,0.132809056223507
CHEMBL381434_size_20_004,Active,0.005343460793498
CHEMBL381434_size_20_005,Active,0.011596537768923
CHEMBL381434_size_20_006,Active,0.00348752317704
CHEMBL381434_size_20_007,Active,0.002152528888463
CHEMBL439344_size_20_001,Active,0.264301634261092
CHEMBL439344_size_20_002,Active,0.124497084564907
CHEMBL451084_size_20_001,Active,0.108309861207603
CHEMBL451084_size_20_002,Active,0.002220610403646
CHEMBL475058_size_20_001,Active,0.017138894755184
CHEMBL475058_size_20_002,Active,0.031593658041429
CHEMBL475058_size_20_003,Active,0.014712943598255
CHEMBL475058_size_20_004,Active,0.018077108395566
CHEMBL475058_size_20_005,Active,0.500383160537439
CHEMBL475058_size_20_006,Active,0.047145536264704
CHEMBL480725_size_20_001,Active,0.092144964444381
CHEMBL483817_size_20_001,Active,0.062459255254246
CHEMBL483817_size_20_002,Active,0.070714434253188
CHEMBL483817_size_20_003,Active,0.039250690081459
CHEMBL483817_size_20_004,Active,0.081451846412309
CHEMBL483817_size_20_005,Active,0.066840297305866
CHEMBL483818_size_20_001,Active,0.345860020823459
CHEMBL483818_size_20_002,Active,0.185987742686386
CHEMBL483818_size_20_003,Active,0.109077062635299
CHEMBL489333_size_20_001,Active,0.112416376381889
CHEMBL489333_size_20_002,Active,0.190439566948354
CHEMBL489334_size_20_001,Active,0.265208333217102
CHEMBL489334_size_20_002,Active,0.068061156782215
CHEMBL489334_size_20_003,Active,0.017518525362451
CHEMBL489334_size_20_004,Active,0.127352690261483
CHEMBL489334_size_20_005,Active,0.025764026266884
CHEMBL489334_size_20_006,Active,0.038718037440217
CHEMBL489335_size_20_001,Active,0.182780571132123
CHEMBL489335_size_20_002,Active,0.140445987398024
CHEMBL489335_size_20_003,Active,0.030631620283468
CHEMBL489335_size_20_004,Active,0.125190553504657
CHEMBL489335_size_20_005,Active,0.003184505321801
CHEMBL489335_size_20_006,Active,0.020394733590358
CHEMBL489335_size_20_007,Active,0.018380209754197
CHEMBL489335_size_20_008,Active,0.000218116139528
CHEMBL489335_size_20_009,Active,0.000158004588068
CHEMBL489514_size_20_001,Active,0.309639578234524
CHEMBL489514_size_20_002,Active,0.021795342243385
CHEMBL489514_size_20_003,Active,0.068284498347484
CHEMBL489514_size_20_004,Active,0.046078461282421
CHEMBL489514_size_20_005,Active,0.008797512223744
CHEMBL489514_size_20_006,Active,0.007041913296072
CHEMBL489710_size_20_001,Active,0.156839515487226
CHEMBL489710_size_20_002,Active,0.061063234096527
CHEMBL489710_size_20_003,Active,0.030430510443775
CHEMBL489710_size_20_004,Active,0.018225612162638
CHEMBL489710_size_20_005,Active,0.008793897177844
CHEMBL489711_size_20_001,Active,0.121699107684219
CHEMBL489711_size_20_002,Active,0.396559211976901
CHEMBL489711_size_20_003,Active,0.060557821382982
CHEMBL489711_size_20_004,Active,0.065855241859945
CHEMBL489711_size_20_005,Active,0.286466709818656
CHEMBL490961_size_20_001,Active,0.178082146361419
CHEMBL490961_size_20_002,Active,0.046767590503735
CHEMBL490961_size_20_003,Active,0.028751517398971
CHEMBL490961_size_20_004,Active,0.001847468636703
CHEMBL490961_size_20_005,Active,0.060872014278759
CHEMBL490961_size_20_006,Active,0.026421085327416
CHEMBL491121_size_20_001,Active,0.139140289964895
CHEMBL491121_size_20_002,Active,0.048353867704014
CHEMBL491121_size_20_003,Active,0.336114206986851
CHEMBL491121_size_20_004,Active,0.046441617801886
CHEMBL491121_size_20_005,Active,0.051713419505781
CHEMBL491148_size_20_001,Active,0.216663139349718
CHEMBL491148_size_20_002,Active,0.087610361207014
CHEMBL491148_size_20_003,Active,0.07394072236789
CHEMBL491148_size_20_004,Active,0.03129759029145
CHEMBL491148_size_20_005,Active,0.02216747953335
CHEMBL491148_size_20_006,Active,0.002689409322122
CHEMBL491148_size_20_007,Active,0.001080147873841
CHEMBL505096_size_20_001,Active,0.43683238586574
CHEMBL516458_size_20_001,Active,0.009210714284118
CHEMBL516458_size_20_002,Active,0.009901821943538
CHEMBL516458_size_20_003,Active,0.007820944540858
CHEMBL519273_size_20_001,Active,0.484136362525655
CHEMBL519273_size_20_002,Active,0.41575266278821
CHEMBL519273_size_20_003,Active,0.39480832302884
CHEMBL523602_size_20_001,Active,0.155177797329959
CHEMBL523602_size_20_002,Active,0.182688771987379
CHEMBL523602_size_20_003,Active,0.007436625046361
CHEMBL523602_size_20_004,Active,0.006804347837258
CHEMBL541979_size_20_001,Active,0.000529915583409
CHEMBL541979_size_20_002,Active,0.03044722300234
CHEMBL541979_size_20_003,Active,0.021604970176909
CHEMBL541979_size_20_004,Active,0.035892777729708
CHEMBL541979_size_20_005,Active,0.036504095908719
CHEMBL541979_size_20_006,Active,0.007714585218362
CHEMBL541979_size_20_007,Active,0.000492939182784
CHEMBL541979_size_20_008,Active,0.005565351982883
CHEMBL549417_size_20_001,Active,0.429987941876331
CHEMBL551445_size_20_001,Active,0.320921742045716
CHEMBL551445_size_20_002,Active,0.082605097724356
CHEMBL551445_size_20_003,Active,0.18325463103602
CHEMBL551445_size_20_004,Active,0.020766976811468
CHEMBL551445_size_20_005,Active,0.037610539225389
CHEMBL551445_size_20_006,Active,0.015589096355205
CHEMBL551445_size_20_007,Active,0.016556684120485
CHEMBL551445_size_20_008,Active,0.119181840009986
CHEMBL551445_size_20_009,Active,0.006405085186978
CHEMBL551558_size_20_001,Active,0.157673944132228
CHEMBL551558_size_20_002,Active,0.019641232223242
CHEMBL551558_size_20_003,Active,0.073823090983363
CHEMBL551558_size_20_004,Active,0.081554839214464
CHEMBL551558_size_20_005,Active,0.004250203628907
CHEMBL551558_size_20_006,Active,0.028471458914694
CHEMBL551558_size_20_007,Active,0.002537838422923
CHEMBL551558_size_20_008,Active,0.006342076222741
CHEMBL551558_size_20_009,Active,0.000442901553225
CHEMBL551558_size_20_010,Active,0.022401406428615
CHEMBL551648_size_20_001,Active,0.045747545064256
CHEMBL551648_size_20_002,Active,0.079201866576811
CHEMBL551648_size_20_003,Active,0.355576287332801
CHEMBL551648_size_20_004,Active,0.366314474463058
CHEMBL551977_size_20_001,Active,0.178174831196587
CHEMBL551977_size_20_002,Active,0.006755526261609
CHEMBL551977_size_20_003,Active,0.038685646221961
CHEMBL552455_size_20_001,Active,0.287916730417208
CHEMBL552455_size_20_002,Active,0.062702267834454
CHEMBL552455_size_20_003,Active,0.034750022217257
CHEMBL552455_size_20_004,Active,0.005700574310747
CHEMBL558885_size_20_001,Active,0.043871336432974
CHEMBL558885_size_20_002,Active,0.046747898984896
CHEMBL558885_size_20_003,Active,0.050090843324381
CHEMBL558885_size_20_004,Active,0.035477954674901
CHEMBL558885_size_20_005,Active,0.530073153827739
CHEMBL558885_size_20_006,Active,0.302700715033719
CHEMBL559057_size_20_001,Active,0.051661376077302
CHEMBL559057_size_20_002,Active,0.189744285724334
CHEMBL559057_size_20_003,Active,0.16947790422848
CHEMBL559057_size_20_004,Active,0.034200089645481
CHEMBL559975_size_20_001,Active,0.380440873876034
CHEMBL559975_size_20_002,Active,0.041390991552546
CHEMBL561283_size_20_001,Active,0.041107469171037
CHEMBL561283_size_20_002,Active,0.033281183899928
CHEMBL561283_size_20_003,Active,0.128566645601114
CHEMBL562878_size_20_001,Active,0.004449265870899
CHEMBL562878_size_20_002,Active,0.000400403541235
CHEMBL562878_size_20_003,Active,0.000788381099256
CHEMBL563986_size_20_001,Active,0.153230622815678
CHEMBL563986_size_20_002,Active,0.067752911256388
CHEMBL563986_size_20_003,Active,0.065793675109395
CHEMBL563986_size_20_004,Active,0.064753104290042
CHEMBL563986_size_20_005,Active,0.021196091909655
CHEMBL564282_size_20_001,Active,0.35464089174397
CHEMBL564282_size_20_002,Active,0.149079408588881
CHEMBL564282_size_20_003,Active,0.047163327471435
CHEMBL564282_size_20_004,Active,0.04470778421376
CHEMBL564282_size_20_005,Active,0.017765729855755
CHEMBL572840_size_20_001,Active,0.004932393330159
CHEMBL572840_size_20_002,Active,0.001084063833733
CHEMBL572840_size_20_003,Active,0.181954758677691
CHEMBL572840_size_20_004,Active,0.321423810288355
CHEMBL572840_size_20_005,Active,0.089928916492411
CHEMBL572840_size_20_006,Active,0.153608812785977
CHEMBL572842_size_20_001,Active,0.125389613600312
CHEMBL572842_size_20_002,Active,0.002104346441842
CHEMBL572842_size_20_003,Active,0.002943366756429
CHEMBL572842_size_20_004,Active,0.000612178019908
CHEMBL572842_size_20_005,Active,0.001116347793696
CHEMBL572842_size_20_006,Active,0.019239146450075
CHEMBL572842_size_20_007,Active,0.001639051873534
CHEMBL573064_size_20_001,Active,0.248268781472476
CHEMBL573064_size_20_002,Active,0.229772903679665
CHEMBL573064_size_20_003,Active,0.000932659044009
CHEMBL573065_size_20_001,Active,0.450263620969056
CHEMBL573065_size_20_002,Active,0.292213267348525
CHEMBL573065_size_20_003,Active,0.327524316060876
CHEMBL573065_size_20_004,Active,0.44983270530228
CHEMBL573749_size_20_001,Active,0.46415077319597
CHEMBL573749_size_20_002,Active,0.379375323497725
CHEMBL573750_size_20_001,Active,0.209527244660473
CHEMBL573750_size_20_002,Active,0.045952002365764
CHEMBL573750_size_20_003,Active,0.020521694095429
CHEMBL573750_size_20_004,Active,0.025572836704229
CHEMBL573750_size_20_005,Active,0.025648476537721
CHEMBL573750_size_20_006,Active,0.01154713387149
CHEMBL573751_size_20_001,Active,0.429448519327936
CHEMBL573751_size_20_002,Active,0.153950504509994
CHEMBL573751_size_20_003,Active,0.064945896434068
CHEMBL573751_size_20_004,Active,0.013139086806559
CHEMBL573751_size_20_005,Active,0.181572060738724
CHEMBL573751_size_20_006,Active,0.038183291512163
CHEMBL573751_size_20_007,Active,0.030669600824962
CHEMBL573751_size_20_008,Active,0.060502130802862
CHEMBL574879_size_20_001,Active,0.226038189770901
CHEMBL574879_size_20_002,Active,0.070643303337359
CHEMBL574879_size_20_003,Active,0.019716607431749
CHEMBL574879_size_20_004,Active,0.103032196099688
CHEMBL574879_size_20_005,Active,0.000795940810596
CHEMBL574879_size_20_006,Active,0.044196787128507
CHEMBL574879_size_20_007,Active,0.001131993037901
CHEMBL574879_size_20_008,Active,0.026424242641829
CHEMBL574879_size_20_009,Active,0.000758422143527
CHEMBL574879_size_20_010,Active,0.001728819047362
CHEMBL575087_size_20_001,Active,0.089212666857442
CHEMBL575087_size_20_002,Active,0.085354499209683
CHEMBL575087_size_20_003,Active,0.035905451842457
CHEMBL575087_size_20_004,Active,0.022065039137039
CHEMBL575087_size_20_005,Active,0.001426204192535
CHEMBL575087_size_20_006,Active,0.032759353098153
CHEMBL575087_size_20_007,Active,0.001298174489309
CHEMBL575278_size_20_001,Active,0.44213409262223
CHEMBL575278_size_20_002,Active,0.009231878994088
CHEMBL575278_size_20_003,Active,0.030863613958583
CHEMBL575278_size_20_004,Active,0.002312145160827
CHEMBL575278_size_20_005,Active,0.006790363040664
CHEMBL575298_size_20_001,Active,0.189925777210691
CHEMBL575298_size_20_002,Active,0.000522515215151
CHEMBL575298_size_20_003,Active,0.003770004329938
CHEMBL575298_size_20_004,Active,0.000638732727095
CHEMBL575298_size_20_005,Active,0.156287057346987
CHEMBL575705_size_20_001,Active,0.264924097627588
CHEMBL575705_size_20_002,Active,0.350511850099291
CHEMBL575705_size_20_003,Active,0.185305927091354
CHEMBL575705_size_20_004,Active,0.178251729788768
CHEMBL575903_size_20_001,Active,0.232058748423157
CHEMBL575903_size_20_002,Active,0.140803331357815
CHEMBL575903_size_20_003,Active,0.005221627335069
CHEMBL575903_size_20_004,Active,0.007398668246288
CHEMBL575903_size_20_005,Active,0.004660866283336
CHEMBL575903_size_20_006,Active,0.00113651497846
CHEMBL575903_size_20_007,Active,0.002847697707741
CHEMBL575903_size_20_008,Active,0.000848997973061
CHEMBL575903_size_20_009,Active,0.001212511914512
CHEMBL575904_size_20_001,Active,0.363295121958606
CHEMBL575904_size_20_002,Active,0.216440935485609
CHEMBL575904_size_20_003,Active,0.280859176496556
CHEMBL575905_size_20_001,Active,0.509137120288214
CHEMBL575905_size_20_002,Active,0.425759940856818
CHEMBL575918_size_20_001,Active,0.0955730478025
CHEMBL575918_size_20_002,Active,0.00274484560558
CHEMBL575918_size_20_003,Active,0.072210289734971
CHEMBL575918_size_20_004,Active,0.018121925865579
CHEMBL575918_size_20_005,Active,0.099788969448391
CHEMBL575918_size_20_006,Active,0.105417294117965
CHEMBL575918_size_20_007,Active,0.101990990583317
CHEMBL575918_size_20_008,Active,0.052085430974725
CHEMBL575918_size_20_009,Active,0.009786108922994
CHEMBL575918_size_20_010,Active,0.043046973829816
CHEMBL576936_size_20_001,Active,0.067127546676885
CHEMBL576936_size_20_002,Active,0.411997638502021
CHEMBL576936_size_20_003,Active,0.00132840243246
CHEMBL576936_size_20_004,Active,0.003788574563453
CHEMBL576936_size_20_005,Active,0.00108530983612
CHEMBL578022_size_20_001,Active,0.091167274002629
CHEMBL578022_size_20_002,Active,0.477692568769195
CHEMBL578022_size_20_003,Active,0.003896949054344
CHEMBL578022_size_20_004,Active,0.257392100960793
CHEMBL578638_size_20_001,Active,0.001571450253773
CHEMBL578638_size_20_002,Active,0.006815610635822
CHEMBL578638_size_20_003,Active,0.000385003848284
CHEMBL578638_size_20_004,Active,0.000406747035826
CHEMBL578638_size_20_005,Active,6.56290739377751E-05
CHEMBL584378_size_20_001,Active,0.340697788918879
CHEMBL584378_size_20_002,Active,0.300229659822248
CHEMBL594382_size_20_001,Active,0.003396986518754
CHEMBL594382_size_20_002,Active,0.001081081629166
CHEMBL594382_size_20_003,Active,0.001243892694544
CHEMBL594382_size_20_004,Active,0.000514616785607
CHEMBL594633_size_20_001,Active,0.581823361465511
CHEMBL594634_size_20_001,Active,0.054936814550887
CHEMBL594634_size_20_002,Active,0.412347843597653
CHEMBL595122_size_20_001,Active,0.241397464990895
CHEMBL595122_size_20_002,Active,0.142295802484083
CHEMBL595353_size_20_001,Active,0.036088709203283
CHEMBL595353_size_20_002,Active,0.039251247491963
CHEMBL595362_size_20_001,Active,0.169440989017772
CHEMBL595362_size_20_002,Active,0.039205181728635
CHEMBL595362_size_20_003,Active,0.002505756557145
CHEMBL595362_size_20_004,Active,0.004863271611208
CHEMBL596020_size_20_001,Active,0.026966495928573
CHEMBL596020_size_20_002,Active,0.026460358875079
CHEMBL596020_size_20_003,Active,0.07272870390968
CHEMBL596026_size_20_001,Active,0.02573315176525
CHEMBL596026_size_20_002,Active,0.092511337382608
CHEMBL596032_size_20_001,Active,0.024039212776736
CHEMBL596032_size_20_002,Active,0.049041022902809
CHEMBL596032_size_20_003,Active,0.071666336721461
CHEMBL596032_size_20_004,Active,0.108268735371196
CHEMBL596480_size_20_001,Active,0.031852650959511
CHEMBL596480_size_20_002,Active,0.002109829593548
CHEMBL596480_size_20_003,Active,0.008671604295582
CHEMBL604065_size_20_001,Active,0.165034369112597
CHEMBL606041_size_20_001,Active,0.213156850789793
CHEMBL606041_size_20_002,Active,0.055754943659266
CHEMBL606041_size_20_003,Active,0.07991630202211
CHEMBL606041_size_20_004,Active,0.031053384151738
CHEMBL606156_size_20_001,Active,0.026111370164708
CHEMBL606156_size_20_002,Active,0.013811523776116
CHEMBL606156_size_20_003,Active,0.156940456241036
CHEMBL606156_size_20_004,Active,0.162866156773933
CHEMBL606156_size_20_005,Active,0.281795878269654
CHEMBL606370_size_20_001,Active,0.077221577729864
CHEMBL606370_size_20_002,Active,0.017210444715045
CHEMBL606370_size_20_003,Active,0.024851659504572
CHEMBL608393_size_20_001,Active,0.074978769895748
CHEMBL608393_size_20_002,Active,0.038370099121607
CHEMBL608393_size_20_003,Active,0.019035550181418
CHEMBL608393_size_20_004,Active,0.001493310224421
CHEMBL608393_size_20_005,Active,0.011092843162157
CHEMBL608393_size_20_006,Active,0.000975895321758
ZINC00050648_size_20_001,Inactive,0.191298093050594
ZINC00050648_size_20_002,Inactive,0.005942123519651
ZINC00050648_size_20_003,Inactive,0.19285820213761
ZINC00050648_size_20_004,Inactive,0.042343890185796
ZINC00090576_size_20_001,Inactive,0.059290830888642
ZINC00090576_size_20_002,Inactive,0.035243959579203
ZINC00090576_size_20_003,Inactive,0.02635557319137
ZINC00090576_size_20_004,Inactive,0.018553451028911
ZINC00090576_size_20_005,Inactive,0.005113471054401
ZINC00090576_size_20_006,Inactive,0.001121400103026
ZINC00090576_size_20_007,Inactive,0.000123895791073
ZINC00099277_size_20_001,Inactive,0.001237101714048
ZINC00099277_size_20_002,Inactive,0.001363751045695
ZINC00099277_size_20_003,Inactive,0.000521056138887
ZINC00099277_size_20_004,Inactive,0.000463785616088
ZINC00099277_size_20_005,Inactive,0.000592350503091
ZINC00099277_size_20_006,Inactive,0.000729812434766
ZINC00099277_size_20_007,Inactive,0.001461246630779
ZINC00099277_size_20_008,Inactive,7.37434934597379E-05
ZINC00116286_size_20_001,Inactive,0.011587552467595
ZINC00116286_size_20_002,Inactive,0.038125972461244
ZINC00116286_size_20_003,Inactive,0.005961508120627
ZINC00116286_size_20_004,Inactive,0.001827019443416
ZINC00116286_size_20_005,Inactive,0.005220374671558
ZINC00116286_size_20_006,Inactive,0.009565290938548
ZINC00116286_size_20_007,Inactive,0.004906137151386
ZINC00116286_size_20_008,Inactive,0.004546530791243
ZINC00127019_size_20_001,Inactive,0.017721413775591
ZINC00127019_size_20_002,Inactive,0.002843227694547
ZINC00127019_size_20_003,Inactive,0.008609136109013
ZINC00127708_size_20_001,Inactive,0.033797610071376
ZINC00127708_size_20_002,Inactive,0.046354098790589
ZINC00127708_size_20_003,Inactive,0.21380194601692
ZINC00127708_size_20_004,Inactive,0.046549215188855
ZINC00127708_size_20_005,Inactive,0.12827860842112
ZINC00127708_size_20_006,Inactive,0.139906542627939
ZINC00147845_size_20_001,Inactive,0.007846343748383
ZINC00147845_size_20_002,Inactive,0.006214354192892
ZINC00147845_size_20_003,Inactive,0.014739870577069
ZINC00147845_size_20_004,Inactive,0.00165354917815
ZINC00147845_size_20_005,Inactive,0.002264975349439
ZINC00147845_size_20_006,Inactive,0.00502338291757
ZINC00170905_size_20_001,Inactive,0.101107703706234
ZINC00170905_size_20_002,Inactive,0.02675620225094
ZINC00170905_size_20_003,Inactive,0.024177065902512
ZINC00170905_size_20_004,Inactive,0.147724634888984
ZINC00170905_size_20_005,Inactive,0.150613514316241
ZINC00170905_size_20_006,Inactive,0.235960441487693
ZINC00170905_size_20_007,Inactive,0.24683197587917
ZINC00178860_size_20_001,Inactive,0.0033218492957
ZINC00178860_size_20_002,Inactive,0.022709197628211
ZINC00178860_size_20_003,Inactive,0.004969027136351
ZINC00178860_size_20_004,Inactive,0.001215299635069
ZINC00178860_size_20_005,Inactive,0.033256160905386
ZINC00178860_size_20_006,Inactive,0.002997725974204
ZINC00178860_size_20_007,Inactive,0.004468060387179
ZINC00178860_size_20_008,Inactive,0.000634804839788
ZINC00184456_size_20_001,Inactive,0.055668706482038
ZINC00184456_size_20_002,Inactive,0.047210900523781
ZINC00202270_size_20_001,Inactive,0.349289374924147
ZINC00202270_size_20_002,Inactive,0.026620641633144
ZINC00202270_size_20_003,Inactive,0.029016796217554
ZINC00202270_size_20_004,Inactive,0.004748123950651
ZINC00202270_size_20_005,Inactive,0.161887548327304
ZINC00202270_size_20_006,Inactive,0.201133094454005
ZINC00202270_size_20_007,Inactive,0.214239411752962
ZINC00222396_size_20_001,Inactive,0.308591420432158
ZINC00222396_size_20_002,Inactive,0.001572624448355
ZINC00222400_size_20_001,Inactive,0.080891350964144
ZINC00222400_size_20_002,Inactive,0.035417679408288
