Pose,Real_Class,RF-Score-VS
CHEMBL1164184_size_20_001,Active,6.02658764731
CHEMBL1164184_size_20_002,Active,5.96347008854
CHEMBL1164184_size_20_003,Active,5.96720370533
CHEMBL1164184_size_20_004,Active,5.96110799539
CHEMBL1164184_size_20_005,Active,5.97829312162
CHEMBL1164184_size_20_006,Active,5.96278703389
CHEMBL1164315_size_20_001,Active,5.99998645246
CHEMBL1164315_size_20_002,Active,6.02568507677
CHEMBL1164315_size_20_003,Active,5.96821668975
CHEMBL1164315_size_20_004,Active,6.05594151734
CHEMBL1164323_size_20_001,Active,6.01114108233
CHEMBL1164323_size_20_002,Active,5.97004273053
CHEMBL1164323_size_20_003,Active,5.98896898473
CHEMBL1164323_size_20_004,Active,5.94928257241
CHEMBL1164578_size_20_001,Active,5.9814869867
CHEMBL1164578_size_20_002,Active,6.13710843251
CHEMBL1164578_size_20_003,Active,6.06529998557
CHEMBL1164578_size_20_004,Active,6.08506590221
CHEMBL1164790_size_20_001,Active,5.98178510043
CHEMBL1164790_size_20_002,Active,5.98370408385
CHEMBL1164790_size_20_003,Active,5.99513231737
CHEMBL1165042_size_20_001,Active,5.9880137728
CHEMBL1165284_size_20_001,Active,6.05108635565
CHEMBL1165284_size_20_002,Active,5.97809163617
CHEMBL1165284_size_20_003,Active,6.02047341859
CHEMBL1165284_size_20_004,Active,5.97178932761
CHEMBL1165284_size_20_005,Active,5.97446046559
CHEMBL1165284_size_20_006,Active,5.97706280678
CHEMBL180172_size_20_001,Active,5.95730835649
CHEMBL180172_size_20_002,Active,5.95198441579
CHEMBL181943_size_20_001,Active,5.95491643661
CHEMBL181943_size_20_002,Active,5.98050143234
CHEMBL181943_size_20_003,Active,5.96721794139
CHEMBL181943_size_20_004,Active,5.95745489227
CHEMBL181943_size_20_005,Active,5.96197487261
CHEMBL191239_size_20_001,Active,6.2717183915
CHEMBL194102_size_20_001,Active,6.02099905145
CHEMBL194137_size_20_001,Active,6.18781709206
CHEMBL194499_size_20_001,Active,5.95890879635
CHEMBL194499_size_20_002,Active,5.9535807607
CHEMBL194499_size_20_003,Active,5.95319842965
CHEMBL195128_size_20_001,Active,6.00972994806
CHEMBL195128_size_20_002,Active,5.96710638198
CHEMBL195128_size_20_003,Active,5.97716585346
CHEMBL195431_size_20_001,Active,6.16191914468
CHEMBL205627_size_20_001,Active,6.07593475292
CHEMBL205627_size_20_002,Active,6.0241926405
CHEMBL205627_size_20_003,Active,6.01930919567
CHEMBL205816_size_20_001,Active,6.27692741175
CHEMBL210838_size_20_001,Active,6.06334749477
CHEMBL371462_size_20_001,Active,5.97781519621
CHEMBL371462_size_20_002,Active,5.97364594449
CHEMBL371462_size_20_003,Active,5.97477251545
CHEMBL371462_size_20_004,Active,5.96117319223
CHEMBL371462_size_20_005,Active,5.98624968568
CHEMBL371462_size_20_006,Active,5.97519618328
CHEMBL372860_size_20_001,Active,6.16282690017
CHEMBL372860_size_20_002,Active,6.07548979703
CHEMBL373339_size_20_001,Active,6.18761229242
CHEMBL373339_size_20_002,Active,5.95397553196
CHEMBL373364_size_20_001,Active,5.96234740068
CHEMBL373364_size_20_002,Active,5.95719612461
CHEMBL373364_size_20_003,Active,5.98973322876
CHEMBL379153_size_20_001,Active,5.96040214244
CHEMBL379153_size_20_002,Active,5.97768359565
