Pose,Real_Class,CNN-Score
CHEMBL1075683_size_20_001,Active,0.16377
CHEMBL1075683_size_20_002,Active,0.12962
CHEMBL1079489_size_20_001,Active,0.69084
CHEMBL1080361_size_20_001,Active,0.22051
CHEMBL1080361_size_20_002,Active,0.25497
CHEMBL1089633_size_20_001,Active,0.34668
CHEMBL1089633_size_20_002,Active,0.2348
CHEMBL1089633_size_20_003,Active,0.32597
CHEMBL148319_size_20_001,Active,0.52805
CHEMBL148319_size_20_002,Active,0.22613
CHEMBL148797_size_20_001,Active,0.09971
CHEMBL148797_size_20_002,Active,0.07933
CHEMBL148797_size_20_003,Active,0.14622
CHEMBL148797_size_20_004,Active,0.13926
CHEMBL148797_size_20_005,Active,0.0819
CHEMBL148797_size_20_006,Active,0.14508
CHEMBL1494365_size_20_001,Active,0.33391
CHEMBL1494365_size_20_002,Active,0.23729
CHEMBL1720494_size_20_001,Active,0.68057
CHEMBL1720494_size_20_002,Active,0.42295
CHEMBL1720494_size_20_003,Active,0.33203
CHEMBL1760555_size_20_001,Active,0.75554
CHEMBL190645_size_20_001,Active,0.17325
CHEMBL190645_size_20_002,Active,0.15609
CHEMBL190645_size_20_003,Active,0.35588
CHEMBL190645_size_20_004,Active,0.14314
CHEMBL190645_size_20_005,Active,0.17736
CHEMBL190739_size_20_001,Active,0.16996
CHEMBL190739_size_20_002,Active,0.15585
CHEMBL190739_size_20_003,Active,0.12259
CHEMBL190739_size_20_004,Active,0.13293
CHEMBL192500_size_20_001,Active,0.54029
CHEMBL1927476_size_20_001,Active,0.29492
CHEMBL1927476_size_20_002,Active,0.25126
CHEMBL1927476_size_20_003,Active,0.74161
CHEMBL1927476_size_20_004,Active,0.17709
CHEMBL1927476_size_20_005,Active,0.24144
CHEMBL1934308_size_20_001,Active,0.41768
CHEMBL1934308_size_20_002,Active,0.21883
CHEMBL1934468_size_20_001,Active,0.72756
CHEMBL1934468_size_20_002,Active,0.09543
CHEMBL194698_size_20_001,Active,0.77562
CHEMBL194698_size_20_002,Active,0.56004
CHEMBL194698_size_20_003,Active,0.55663
CHEMBL194698_size_20_004,Active,0.20571
CHEMBL198579_size_20_001,Active,0.70383
CHEMBL198786_size_20_001,Active,0.33359
CHEMBL198786_size_20_002,Active,0.20209
CHEMBL198786_size_20_003,Active,0.20633
CHEMBL198929_size_20_001,Active,0.44117
CHEMBL198929_size_20_002,Active,0.3855
CHEMBL198929_size_20_003,Active,0.12181
CHEMBL202631_size_20_001,Active,0.68802
CHEMBL202631_size_20_002,Active,0.55823
CHEMBL2037008_size_20_001,Active,0.83595
CHEMBL2037008_size_20_002,Active,0.47223
CHEMBL2037182_size_20_001,Active,0.55078
CHEMBL205777_size_20_001,Active,0.66715
CHEMBL205777_size_20_002,Active,0.67484
CHEMBL205777_size_20_003,Active,0.47597
CHEMBL205777_size_20_004,Active,0.25312
CHEMBL2069935_size_20_001,Active,0.79084
CHEMBL2069935_size_20_002,Active,0.55529
CHEMBL207569_size_20_001,Active,0.33723
CHEMBL2113219_size_20_001,Active,0.71113
CHEMBL2113219_size_20_002,Active,0.64801
CHEMBL2113219_size_20_003,Active,0.27441
CHEMBL213355_size_20_001,Active,0.80224
CHEMBL213355_size_20_002,Active,0.52155
CHEMBL213355_size_20_003,Active,0.37451
CHEMBL213355_size_20_004,Active,0.2188
CHEMBL214921_size_20_001,Active,0.19704
CHEMBL214921_size_20_002,Active,0.30458
CHEMBL219156_size_20_001,Active,0.61656
CHEMBL219156_size_20_002,Active,0.40859
CHEMBL219156_size_20_003,Active,0.50626
CHEMBL219156_size_20_004,Active,0.13825
CHEMBL221044_size_20_001,Active,0.7197
CHEMBL221044_size_20_002,Active,0.30914
CHEMBL221044_size_20_003,Active,0.4415
CHEMBL221529_size_20_001,Active,0.88391
CHEMBL221529_size_20_002,Active,0.612
CHEMBL221529_size_20_003,Active,0.50199
CHEMBL2237300_size_20_001,Active,0.3423
CHEMBL2237300_size_20_002,Active,0.21857
CHEMBL242007_size_20_001,Active,0.4845
CHEMBL242007_size_20_002,Active,0.62153
CHEMBL24458_size_20_001,Active,0.388
CHEMBL24458_size_20_002,Active,0.27555
CHEMBL24458_size_20_003,Active,0.47034
CHEMBL249865_size_20_001,Active,0.49645
CHEMBL250673_size_20_001,Active,0.18363
CHEMBL250673_size_20_002,Active,0.23569
CHEMBL252995_size_20_001,Active,0.3792
CHEMBL252995_size_20_002,Active,0.60822
CHEMBL252995_size_20_003,Active,0.26316
CHEMBL255872_size_20_001,Active,0.43889
CHEMBL255872_size_20_002,Active,0.1971
CHEMBL257345_size_20_001,Active,0.33705
CHEMBL257345_size_20_002,Active,0.15663
CHEMBL257345_size_20_003,Active,0.12317
CHEMBL260627_size_20_001,Active,0.6622
CHEMBL260627_size_20_002,Active,0.65888
CHEMBL272017_size_20_001,Active,0.72006
CHEMBL272017_size_20_002,Active,0.59336
CHEMBL272017_size_20_003,Active,0.31399
CHEMBL278994_size_20_001,Active,0.78536
CHEMBL278994_size_20_002,Active,0.57241
CHEMBL278994_size_20_003,Active,0.49046
CHEMBL280065_size_20_001,Active,0.34684
CHEMBL280065_size_20_002,Active,0.34265
CHEMBL280065_size_20_003,Active,0.71616
CHEMBL280065_size_20_004,Active,0.77526
CHEMBL280065_size_20_005,Active,0.56141
CHEMBL280065_size_20_006,Active,0.26877
CHEMBL280897_size_20_001,Active,0.43193
CHEMBL280897_size_20_002,Active,0.20033
CHEMBL280897_size_20_003,Active,0.24863
CHEMBL306229_size_20_001,Active,0.54235
CHEMBL306229_size_20_002,Active,0.58133
CHEMBL306229_size_20_003,Active,0.64019
CHEMBL318696_size_20_001,Active,0.34543
CHEMBL318696_size_20_002,Active,0.44664
CHEMBL318696_size_20_003,Active,0.43003
CHEMBL318696_size_20_004,Active,0.36769
CHEMBL318696_size_20_005,Active,0.26285
CHEMBL318696_size_20_006,Active,0.38894
CHEMBL318696_size_20_007,Active,0.48259
CHEMBL3354987_size_20_001,Active,0.25671
CHEMBL3354987_size_20_002,Active,0.37088
CHEMBL3354987_size_20_003,Active,0.26927
CHEMBL3354988_size_20_001,Active,0.0619
CHEMBL3397563_size_20_001,Active,0.20144
CHEMBL3397563_size_20_002,Active,0.21266
CHEMBL3601096_size_20_001,Active,0.20273
CHEMBL3601096_size_20_002,Active,0.14632
CHEMBL3707395_size_20_001,Active,0.52541
CHEMBL3707395_size_20_002,Active,0.52217
CHEMBL3735011_size_20_001,Active,0.35073
CHEMBL3735011_size_20_002,Active,0.15653
CHEMBL374948_size_20_001,Active,0.44867
CHEMBL374948_size_20_002,Active,0.5052
CHEMBL374948_size_20_003,Active,0.18948
CHEMBL3780740_size_20_001,Active,0.56996
CHEMBL383011_size_20_001,Active,0.60785
CHEMBL383011_size_20_002,Active,0.35838
CHEMBL391084_size_20_001,Active,0.41422
CHEMBL391084_size_20_002,Active,0.29347
CHEMBL391084_size_20_003,Active,0.13298
CHEMBL391085_size_20_001,Active,0.50474
CHEMBL39687_size_20_001,Active,0.32726
CHEMBL39687_size_20_002,Active,0.38749
CHEMBL39687_size_20_003,Active,0.39768
CHEMBL39687_size_20_004,Active,0.22232
CHEMBL39687_size_20_005,Active,0.23835
CHEMBL39687_size_20_006,Active,0.16189
CHEMBL3982782_size_20_001,Active,0.32651
CHEMBL3982782_size_20_002,Active,0.11933
CHEMBL400625_size_20_001,Active,0.65491
CHEMBL400625_size_20_002,Active,0.84154
CHEMBL401562_size_20_001,Active,0.68459
CHEMBL401562_size_20_002,Active,0.69754
CHEMBL401562_size_20_003,Active,0.60425
CHEMBL401811_size_20_001,Active,0.7301
CHEMBL401811_size_20_002,Active,0.86087
CHEMBL401811_size_20_003,Active,0.675
CHEMBL4083589_size_20_001,Active,0.0982
CHEMBL4083589_size_20_002,Active,0.07219
CHEMBL4083589_size_20_003,Active,0.14132
CHEMBL4100619_size_20_001,Active,0.42187
CHEMBL4100619_size_20_002,Active,0.63259
CHEMBL4101577_size_20_001,Active,0.49936
CHEMBL4101577_size_20_002,Active,0.53703
CHEMBL4101577_size_20_003,Active,0.62834
CHEMBL4104138_size_20_001,Active,0.77298
CHEMBL4104138_size_20_002,Active,0.66412
CHEMBL4104138_size_20_003,Active,0.50502
CHEMBL4104138_size_20_004,Active,0.45138
CHEMBL4104138_size_20_005,Active,0.30718
CHEMBL410478_size_20_001,Active,0.39987
CHEMBL410478_size_20_002,Active,0.22926
CHEMBL410478_size_20_003,Active,0.17397
CHEMBL424133_size_20_001,Active,0.45862
CHEMBL424133_size_20_002,Active,0.41846
CHEMBL424133_size_20_003,Active,0.53015
CHEMBL424133_size_20_004,Active,0.51167
CHEMBL426878_size_20_001,Active,0.58695
CHEMBL426878_size_20_002,Active,0.81085
CHEMBL426878_size_20_003,Active,0.66349
CHEMBL426878_size_20_004,Active,0.34856
CHEMBL426883_size_20_001,Active,0.81751
CHEMBL438346_size_20_001,Active,0.5845
CHEMBL438346_size_20_002,Active,0.6277
CHEMBL438346_size_20_003,Active,0.53598
CHEMBL4571975_size_20_001,Active,0.22228
CHEMBL4571975_size_20_002,Active,0.40608
