Pose,Real_Class,Docking_score
CHEMBL1075683_size_20_001,Active,-2.9
CHEMBL1075683_size_20_002,Active,-2.3
CHEMBL1079489_size_20_001,Active,-10.8
CHEMBL1080361_size_20_001,Active,-4.2
CHEMBL1080361_size_20_002,Active,-2
CHEMBL1089633_size_20_001,Active,-10.4
CHEMBL1089633_size_20_002,Active,-9.3
CHEMBL1089633_size_20_003,Active,-9.1
CHEMBL148319_size_20_001,Active,-8.1
CHEMBL148319_size_20_002,Active,-5.5
CHEMBL148797_size_20_001,Active,-6.9
CHEMBL148797_size_20_002,Active,-5.8
CHEMBL148797_size_20_003,Active,-5.4
CHEMBL148797_size_20_004,Active,-4.8
CHEMBL148797_size_20_005,Active,-4.7
CHEMBL148797_size_20_006,Active,-4.2
CHEMBL1494365_size_20_001,Active,-10.4
CHEMBL1494365_size_20_002,Active,-9.2
CHEMBL1720494_size_20_001,Active,-7.8
CHEMBL1720494_size_20_002,Active,-6.6
CHEMBL1720494_size_20_003,Active,-6.5
CHEMBL1760555_size_20_001,Active,-10.5
CHEMBL190645_size_20_001,Active,-6.9
CHEMBL190645_size_20_002,Active,-6.6
CHEMBL190645_size_20_003,Active,-6.6
CHEMBL190645_size_20_004,Active,-6.5
CHEMBL190645_size_20_005,Active,-4.1
CHEMBL190739_size_20_001,Active,-7.3
CHEMBL190739_size_20_002,Active,-7.1
CHEMBL190739_size_20_003,Active,-6.4
CHEMBL190739_size_20_004,Active,-4.3
CHEMBL192500_size_20_001,Active,-7.6
CHEMBL1927476_size_20_001,Active,-7.1
CHEMBL1927476_size_20_002,Active,-6.7
CHEMBL1927476_size_20_003,Active,-6.4
CHEMBL1927476_size_20_004,Active,-4.7
CHEMBL1927476_size_20_005,Active,-4.6
CHEMBL1934308_size_20_001,Active,-9.3
CHEMBL1934308_size_20_002,Active,-8.5
CHEMBL1934468_size_20_001,Active,-10.6
CHEMBL1934468_size_20_002,Active,-7.7
CHEMBL194698_size_20_001,Active,-7.2
CHEMBL194698_size_20_002,Active,-7.2
CHEMBL194698_size_20_003,Active,-6.4
CHEMBL194698_size_20_004,Active,-5
CHEMBL198579_size_20_001,Active,-10
CHEMBL198786_size_20_001,Active,-8.2
CHEMBL198786_size_20_002,Active,-7.8
CHEMBL198786_size_20_003,Active,-5.4
CHEMBL198929_size_20_001,Active,-8.3
CHEMBL198929_size_20_002,Active,-7.3
CHEMBL198929_size_20_003,Active,-6
CHEMBL202631_size_20_001,Active,-10.6
CHEMBL202631_size_20_002,Active,-10.2
CHEMBL2037008_size_20_001,Active,-9.4
CHEMBL2037008_size_20_002,Active,-7.5
CHEMBL2037182_size_20_001,Active,-11
CHEMBL205777_size_20_001,Active,-10.6
CHEMBL205777_size_20_002,Active,-10.1
CHEMBL205777_size_20_003,Active,-8.4
CHEMBL205777_size_20_004,Active,-8
CHEMBL2069935_size_20_001,Active,-9.6
CHEMBL2069935_size_20_002,Active,-8.8
CHEMBL207569_size_20_001,Active,-5.8
CHEMBL2113219_size_20_001,Active,-10
CHEMBL2113219_size_20_002,Active,-9
CHEMBL2113219_size_20_003,Active,-8.1
CHEMBL213355_size_20_001,Active,-8.9
CHEMBL213355_size_20_002,Active,-8.2
CHEMBL213355_size_20_003,Active,-7.8
CHEMBL213355_size_20_004,Active,-6.7
CHEMBL214921_size_20_001,Active,-6.9
CHEMBL214921_size_20_002,Active,-4.6
CHEMBL219156_size_20_001,Active,-6.6
CHEMBL219156_size_20_002,Active,-6.4
CHEMBL219156_size_20_003,Active,-5.7
CHEMBL219156_size_20_004,Active,-4
CHEMBL221044_size_20_001,Active,-9.2
CHEMBL221044_size_20_002,Active,-8.7
CHEMBL221044_size_20_003,Active,-8
CHEMBL221529_size_20_001,Active,-9.5
CHEMBL221529_size_20_002,Active,-9
CHEMBL221529_size_20_003,Active,-8.3
CHEMBL2237300_size_20_001,Active,-10.2
CHEMBL2237300_size_20_002,Active,-8.5
CHEMBL242007_size_20_001,Active,-10.8
CHEMBL242007_size_20_002,Active,-10.2
CHEMBL24458_size_20_001,Active,-8.8
CHEMBL24458_size_20_002,Active,-8.7
CHEMBL24458_size_20_003,Active,-6.1
CHEMBL249865_size_20_001,Active,-8.1
CHEMBL250673_size_20_001,Active,-4.3
CHEMBL250673_size_20_002,Active,-2.3
CHEMBL252995_size_20_001,Active,-9.2
CHEMBL252995_size_20_002,Active,-7.4
CHEMBL252995_size_20_003,Active,-6.5
CHEMBL255872_size_20_001,Active,-10.8
CHEMBL255872_size_20_002,Active,-8.9
CHEMBL257345_size_20_001,Active,-8.4
CHEMBL257345_size_20_002,Active,-7.9
CHEMBL257345_size_20_003,Active,-6.8
CHEMBL260627_size_20_001,Active,-9.7
CHEMBL260627_size_20_002,Active,-9.1
CHEMBL272017_size_20_001,Active,-9
CHEMBL272017_size_20_002,Active,-8.7
CHEMBL272017_size_20_003,Active,-6.8
CHEMBL278994_size_20_001,Active,-10
CHEMBL278994_size_20_002,Active,-8.4
CHEMBL278994_size_20_003,Active,-8
CHEMBL280065_size_20_001,Active,-6.5
CHEMBL280065_size_20_002,Active,-6.3
CHEMBL280065_size_20_003,Active,-6.1
CHEMBL280065_size_20_004,Active,-5.8
CHEMBL280065_size_20_005,Active,-5.2
CHEMBL280065_size_20_006,Active,-3.7
CHEMBL280897_size_20_001,Active,-7.3
CHEMBL280897_size_20_002,Active,-6.3
CHEMBL280897_size_20_003,Active,-5.7
CHEMBL306229_size_20_001,Active,-8.9
CHEMBL306229_size_20_002,Active,-8.1
CHEMBL306229_size_20_003,Active,-6.8
CHEMBL318696_size_20_001,Active,-9.2
CHEMBL318696_size_20_002,Active,-9
CHEMBL318696_size_20_003,Active,-8.2
CHEMBL318696_size_20_004,Active,-8.1
CHEMBL318696_size_20_005,Active,-7.8
CHEMBL318696_size_20_006,Active,-7.6
CHEMBL318696_size_20_007,Active,-7.1
CHEMBL3354987_size_20_001,Active,-8.6
CHEMBL3354987_size_20_002,Active,-8.1
CHEMBL3354987_size_20_003,Active,-7.9
CHEMBL3354988_size_20_001,Active,-6
CHEMBL3397563_size_20_001,Active,-7.6
CHEMBL3397563_size_20_002,Active,-6.2
CHEMBL3601096_size_20_001,Active,-6.6
CHEMBL3601096_size_20_002,Active,-4.2
CHEMBL3707395_size_20_001,Active,-8
CHEMBL3707395_size_20_002,Active,-7.6
CHEMBL3735011_size_20_001,Active,-8.2
CHEMBL3735011_size_20_002,Active,-5.3
CHEMBL374948_size_20_001,Active,-6.6
CHEMBL374948_size_20_002,Active,-4.9
CHEMBL374948_size_20_003,Active,-4.7
CHEMBL3780740_size_20_001,Active,-9
CHEMBL383011_size_20_001,Active,-9.7
CHEMBL383011_size_20_002,Active,-7.7
CHEMBL391084_size_20_001,Active,-9.3
CHEMBL391084_size_20_002,Active,-8.3
CHEMBL391084_size_20_003,Active,-7
CHEMBL391085_size_20_001,Active,-8.2
CHEMBL39687_size_20_001,Active,-9
CHEMBL39687_size_20_002,Active,-8.8
CHEMBL39687_size_20_003,Active,-8.2
CHEMBL39687_size_20_004,Active,-8.1
CHEMBL39687_size_20_005,Active,-8
CHEMBL39687_size_20_006,Active,-7.3
CHEMBL3982782_size_20_001,Active,-8.6
CHEMBL3982782_size_20_002,Active,-7.4
CHEMBL400625_size_20_001,Active,-10.3
CHEMBL400625_size_20_002,Active,-9.9
CHEMBL401562_size_20_001,Active,-10.4
CHEMBL401562_size_20_002,Active,-10.2
CHEMBL401562_size_20_003,Active,-9.4
CHEMBL401811_size_20_001,Active,-8.6
CHEMBL401811_size_20_002,Active,-8.2
CHEMBL401811_size_20_003,Active,-7.5
CHEMBL4083589_size_20_001,Active,-4.7
CHEMBL4083589_size_20_002,Active,165.5
CHEMBL4083589_size_20_003,Active,-10.2
CHEMBL4100619_size_20_001,Active,-8.9
CHEMBL4100619_size_20_002,Active,-8.8
CHEMBL4101577_size_20_001,Active,-7.6
CHEMBL4101577_size_20_002,Active,-7.3
CHEMBL4101577_size_20_003,Active,-6.7
CHEMBL4104138_size_20_001,Active,-10.1
CHEMBL4104138_size_20_002,Active,-9.8
CHEMBL4104138_size_20_003,Active,-9
CHEMBL4104138_size_20_004,Active,-8.2
CHEMBL4104138_size_20_005,Active,-7.9
CHEMBL410478_size_20_001,Active,-10.1
CHEMBL410478_size_20_002,Active,-8.9
CHEMBL410478_size_20_003,Active,-7.9
CHEMBL424133_size_20_001,Active,-9.6
CHEMBL424133_size_20_002,Active,-9.2
CHEMBL424133_size_20_003,Active,-9.1
CHEMBL424133_size_20_004,Active,-7.7
CHEMBL426878_size_20_001,Active,-9.2
CHEMBL426878_size_20_002,Active,-9.1
CHEMBL426878_size_20_003,Active,-8.4
CHEMBL426878_size_20_004,Active,-6.9
CHEMBL426883_size_20_001,Active,-11.4
CHEMBL438346_size_20_001,Active,-10.8
CHEMBL438346_size_20_002,Active,-9.2
CHEMBL438346_size_20_003,Active,-8.9
CHEMBL4571975_size_20_001,Active,-3.8
CHEMBL4571975_size_20_002,Active,-3.6
CHEMBL4571975_size_20_003,Active,-3.6
CHEMBL4571975_size_20_004,Active,-3.3
CHEMBL4571975_size_20_005,Active,-5.6
CHEMBL472451_size_20_001,Active,-8.4
CHEMBL472451_size_20_002,Active,-7.7
CHEMBL472451_size_20_003,Active,-6.8
CHEMBL472451_size_20_004,Active,-6.5
CHEMBL491039_size_20_001,Active,-8.6
CHEMBL491039_size_20_002,Active,-7.6
CHEMBL491039_size_20_003,Active,-6.4
CHEMBL496744_size_20_001,Active,-10.8
CHEMBL496744_size_20_002,Active,-10.3
CHEMBL496744_size_20_003,Active,-10.2
CHEMBL526740_size_20_001,Active,-8.2
CHEMBL526740_size_20_002,Active,-8
CHEMBL526740_size_20_003,Active,-7.4
CHEMBL526740_size_20_004,Active,-7.1
CHEMBL526740_size_20_005,Active,-6.1
CHEMBL572795_size_20_001,Active,-9.4
CHEMBL572795_size_20_002,Active,-9.3
CHEMBL572795_size_20_003,Active,-7.8
CHEMBL584704_size_20_001,Active,-8.4
CHEMBL584704_size_20_002,Active,-6.5
CHEMBL592054_size_20_001,Active,-8.3
CHEMBL592054_size_20_002,Active,-7.7
CHEMBL593087_size_20_001,Active,-10.1
CHEMBL593087_size_20_002,Active,-8.6
CHEMBL593087_size_20_003,Active,-8.3
CHEMBL1017_size_20_001,Inactive,-5.5
CHEMBL1017_size_20_002,Inactive,-4.3
CHEMBL104246_size_20_001,Inactive,-9.2
CHEMBL104246_size_20_002,Inactive,-6.3
CHEMBL104494_size_20_001,Inactive,-10
CHEMBL104494_size_20_002,Inactive,-9.5
CHEMBL104850_size_20_001,Inactive,-9.9
CHEMBL104850_size_20_002,Inactive,-8.2
CHEMBL106666_size_20_001,Inactive,-10.7
CHEMBL106666_size_20_002,Inactive,-10.4
CHEMBL106666_size_20_003,Inactive,-9.1
CHEMBL106666_size_20_004,Inactive,-8.9
CHEMBL106666_size_20_005,Inactive,-8.1
CHEMBL106666_size_20_006,Inactive,-8
CHEMBL1071_size_20_001,Inactive,-8.4
CHEMBL1071_size_20_002,Inactive,-6.9
CHEMBL107498_size_20_001,Inactive,-5.6
CHEMBL107498_size_20_002,Inactive,-5.4
CHEMBL107498_size_20_003,Inactive,-5
CHEMBL107498_size_20_004,Inactive,-4.5
CHEMBL107498_size_20_005,Inactive,-4.5
CHEMBL107498_size_20_006,Inactive,-4
CHEMBL107498_size_20_007,Inactive,-3.8
CHEMBL107498_size_20_008,Inactive,-3.5
CHEMBL1075665_size_20_001,Inactive,-10.3
CHEMBL1075665_size_20_002,Inactive,-10.1
CHEMBL1075665_size_20_003,Inactive,-8.6
CHEMBL1075665_size_20_004,Inactive,-8.1
CHEMBL1075682_size_20_001,Inactive,-2.9
CHEMBL1075703_size_20_001,Inactive,0.4
CHEMBL1075704_size_20_001,Inactive,-2.5
CHEMBL1075705_size_20_001,Inactive,-2.8
CHEMBL1075705_size_20_002,Inactive,-2.5
CHEMBL1075706_size_20_001,Inactive,-2.7
CHEMBL1075724_size_20_001,Inactive,-6.6
CHEMBL1075724_size_20_002,Inactive,-4.2
CHEMBL1075725_size_20_001,Inactive,-1.8
CHEMBL1075725_size_20_002,Inactive,-0.7
CHEMBL1075772_size_20_001,Inactive,-8.4
CHEMBL1075772_size_20_002,Inactive,-6.4
CHEMBL1075772_size_20_003,Inactive,-6.3
CHEMBL1075835_size_20_001,Inactive,-0.9
CHEMBL1075835_size_20_002,Inactive,1.7
CHEMBL1075836_size_20_001,Inactive,-4.7
CHEMBL1075836_size_20_002,Inactive,-4
CHEMBL1075836_size_20_003,Inactive,-1.7
CHEMBL1075856_size_20_001,Inactive,-9.6
CHEMBL1075856_size_20_002,Inactive,-7.4
CHEMBL1075893_size_20_001,Inactive,0.4
CHEMBL1075893_size_20_002,Inactive,0.8
CHEMBL1075894_size_20_001,Inactive,-3.3
CHEMBL1075894_size_20_002,Inactive,-1.6
CHEMBL1075894_size_20_003,Inactive,-1.6
CHEMBL1076151_size_20_001,Inactive,-6
CHEMBL1076151_size_20_002,Inactive,-6
CHEMBL1076175_size_20_001,Inactive,-3.3
CHEMBL1076175_size_20_002,Inactive,-1
CHEMBL1079382_size_20_001,Inactive,-6.7
CHEMBL1079382_size_20_002,Inactive,-4.9
CHEMBL1079402_size_20_001,Inactive,-8.1
CHEMBL1079402_size_20_002,Inactive,-6.6
CHEMBL1079449_size_20_001,Inactive,-3.4
CHEMBL1079488_size_20_001,Inactive,-8.2
CHEMBL1079488_size_20_002,Inactive,-7.7
CHEMBL1079488_size_20_003,Inactive,-6.7
CHEMBL1079503_size_20_001,Inactive,-4.7
CHEMBL1079503_size_20_002,Inactive,-4.2
CHEMBL1079504_size_20_001,Inactive,-6.4
CHEMBL1079504_size_20_002,Inactive,-3.8
CHEMBL1079505_size_20_001,Inactive,-4.1
CHEMBL1079591_size_20_001,Inactive,-8.8
CHEMBL1079591_size_20_002,Inactive,-7.2
CHEMBL1079591_size_20_003,Inactive,-6.6
CHEMBL1079617_size_20_001,Inactive,-4.2
CHEMBL1079618_size_20_001,Inactive,-6.8
CHEMBL1079618_size_20_002,Inactive,-4.2
CHEMBL1079646_size_20_001,Inactive,-6.6
CHEMBL1079646_size_20_002,Inactive,-5.1
CHEMBL1079668_size_20_001,Inactive,-6.7
CHEMBL1079668_size_20_002,Inactive,-4.1
CHEMBL1079669_size_20_001,Inactive,-4.8
CHEMBL1079669_size_20_002,Inactive,-4.4
CHEMBL1079677_size_20_001,Inactive,-5.8
CHEMBL1079739_size_20_001,Inactive,-7.7
CHEMBL1079739_size_20_002,Inactive,-5.6
CHEMBL1079765_size_20_001,Inactive,-9.2
CHEMBL1079765_size_20_002,Inactive,-8.2
CHEMBL1079821_size_20_001,Inactive,-7.8
CHEMBL1079821_size_20_002,Inactive,-6.5
CHEMBL1079821_size_20_003,Inactive,-5.2
CHEMBL1079821_size_20_004,Inactive,-4.8
CHEMBL1079826_size_20_001,Inactive,-5.9
CHEMBL1079826_size_20_002,Inactive,-4.9
CHEMBL107991_size_20_001,Inactive,214.2
