Pose,Real_Class,Average_Good_Pose_Prob
CHEMBL1075683_size_20_001,Active,0.599687929063683
CHEMBL1075683_size_20_002,Active,0.570222296184722
CHEMBL1079489_size_20_001,Active,0.398505258933116
CHEMBL1080361_size_20_001,Active,0.645982946311458
CHEMBL1080361_size_20_002,Active,0.572782650680626
CHEMBL1089633_size_20_001,Active,0.417302472043028
CHEMBL1089633_size_20_002,Active,0.419537972335158
CHEMBL1089633_size_20_003,Active,0.472158538157414
CHEMBL148319_size_20_001,Active,0.270089304665022
CHEMBL148319_size_20_002,Active,0.223357210514549
CHEMBL148797_size_20_001,Active,0.516424905718186
CHEMBL148797_size_20_002,Active,0.465693422061682
CHEMBL148797_size_20_003,Active,0.479057483253774
CHEMBL148797_size_20_004,Active,0.541804797648426
CHEMBL148797_size_20_005,Active,0.321486885766379
CHEMBL148797_size_20_006,Active,0.348097595609182
CHEMBL1494365_size_20_001,Active,0.557233104531237
CHEMBL1494365_size_20_002,Active,0.512425733950046
CHEMBL1720494_size_20_001,Active,0.567691747211281
CHEMBL1720494_size_20_002,Active,0.258943188203244
CHEMBL1720494_size_20_003,Active,0.591712187189076
CHEMBL1760555_size_20_001,Active,0.487122292554185
CHEMBL190645_size_20_001,Active,0.312477824738859
CHEMBL190645_size_20_002,Active,0.195047547692238
CHEMBL190645_size_20_003,Active,0.512228785363132
CHEMBL190645_size_20_004,Active,0.150575851093743
CHEMBL190645_size_20_005,Active,0.479812161706445
CHEMBL190739_size_20_001,Active,0.236644079009701
CHEMBL190739_size_20_002,Active,0.258264726865004
CHEMBL190739_size_20_003,Active,0.176515720877643
CHEMBL190739_size_20_004,Active,0.18423129391507
CHEMBL192500_size_20_001,Active,0.263153339899271
CHEMBL1927476_size_20_001,Active,0.594430503176807
CHEMBL1927476_size_20_002,Active,0.58270002325734
CHEMBL1927476_size_20_003,Active,0.277875460859373
CHEMBL1927476_size_20_004,Active,0.462089747322364
CHEMBL1927476_size_20_005,Active,0.503978305502013
CHEMBL1934308_size_20_001,Active,0.58351913018352
CHEMBL1934308_size_20_002,Active,0.483140767943657
CHEMBL1934468_size_20_001,Active,0.588745928431646
CHEMBL1934468_size_20_002,Active,0.56128503649724
CHEMBL194698_size_20_001,Active,0.085945864461925
CHEMBL194698_size_20_002,Active,0.043312167834666
CHEMBL194698_size_20_003,Active,0.046932655352995
CHEMBL194698_size_20_004,Active,0.051640637782014
CHEMBL198579_size_20_001,Active,0.462702549023273
CHEMBL198786_size_20_001,Active,0.366920352422833
CHEMBL198786_size_20_002,Active,0.434449666182034
CHEMBL198786_size_20_003,Active,0.486800332025336
CHEMBL198929_size_20_001,Active,0.473660183783536
CHEMBL198929_size_20_002,Active,0.190894837728616
CHEMBL198929_size_20_003,Active,0.138332108074136
CHEMBL202631_size_20_001,Active,0.480139466491595
CHEMBL202631_size_20_002,Active,0.574971423360429
CHEMBL2037008_size_20_001,Active,0.272151103150535
CHEMBL2037008_size_20_002,Active,0.417049490448141
CHEMBL2037182_size_20_001,Active,0.39240338255535
CHEMBL205777_size_20_001,Active,0.556775341902406
CHEMBL205777_size_20_002,Active,0.394302423367961
CHEMBL205777_size_20_003,Active,0.477010644878153
CHEMBL205777_size_20_004,Active,0.534340159450809
CHEMBL2069935_size_20_001,Active,0.379325475276523
CHEMBL2069935_size_20_002,Active,0.443611395442384
CHEMBL207569_size_20_001,Active,0.630456450310789
CHEMBL2113219_size_20_001,Active,0.560308120458622
CHEMBL2113219_size_20_002,Active,0.561638799800222
CHEMBL2113219_size_20_003,Active,0.650182589153049
CHEMBL213355_size_20_001,Active,0.271002597255563
CHEMBL213355_size_20_002,Active,0.445814148188271
CHEMBL213355_size_20_003,Active,0.44422622082498
CHEMBL213355_size_20_004,Active,0.382624773747879
CHEMBL214921_size_20_001,Active,0.452138296228752
CHEMBL214921_size_20_002,Active,0.669501075007737
CHEMBL219156_size_20_001,Active,0.529419906177089
CHEMBL219156_size_20_002,Active,0.485792220110992
CHEMBL219156_size_20_003,Active,0.416944264125039
CHEMBL219156_size_20_004,Active,0.560999243100236
CHEMBL221044_size_20_001,Active,0.400620591356322
CHEMBL221044_size_20_002,Active,0.409330211247404
CHEMBL221044_size_20_003,Active,0.501246192777773
CHEMBL221529_size_20_001,Active,0.243064849406021
CHEMBL221529_size_20_002,Active,0.179747737968963
CHEMBL221529_size_20_003,Active,0.200970902353663
CHEMBL2237300_size_20_001,Active,0.28838558638381
CHEMBL2237300_size_20_002,Active,0.406519947575928
CHEMBL242007_size_20_001,Active,0.475427384440504
CHEMBL242007_size_20_002,Active,0.486958613530231
CHEMBL24458_size_20_001,Active,0.454749640445002
CHEMBL24458_size_20_002,Active,0.242211249784926
CHEMBL24458_size_20_003,Active,0.561014254773989
CHEMBL249865_size_20_001,Active,0.666270970746691
CHEMBL250673_size_20_001,Active,0.451763962793198
CHEMBL250673_size_20_002,Active,0.404621297776678
CHEMBL252995_size_20_001,Active,0.846525713121737
CHEMBL252995_size_20_002,Active,0.776587221891935
CHEMBL252995_size_20_003,Active,0.894264503071217
CHEMBL255872_size_20_001,Active,0.353737258164116
CHEMBL255872_size_20_002,Active,0.511233360910528
CHEMBL257345_size_20_001,Active,0.137183050069337
CHEMBL257345_size_20_002,Active,0.21693250876633
CHEMBL257345_size_20_003,Active,0.140013771134544
CHEMBL260627_size_20_001,Active,0.413855524403902
