Pose,Real_Class,RF-Score-VS
CHEMBL1075683_size_20_001,Active,6.32990873668
CHEMBL1075683_size_20_002,Active,6.28729381689
CHEMBL1079489_size_20_001,Active,6.06244962478
CHEMBL1080361_size_20_001,Active,6.10836247824
CHEMBL1080361_size_20_002,Active,6.30786822405
CHEMBL1089633_size_20_001,Active,6.23874805544
CHEMBL1089633_size_20_002,Active,6.52083706209
CHEMBL1089633_size_20_003,Active,6.37539145017
CHEMBL148319_size_20_001,Active,6.18708879542
CHEMBL148319_size_20_002,Active,6.11786328985
CHEMBL148797_size_20_001,Active,6.09064097014
CHEMBL148797_size_20_002,Active,6.10748308598
CHEMBL148797_size_20_003,Active,6.14650921736
CHEMBL148797_size_20_004,Active,6.19861449141
CHEMBL148797_size_20_005,Active,6.09728866288
CHEMBL148797_size_20_006,Active,6.13195991081
CHEMBL1494365_size_20_001,Active,6.13845412303
CHEMBL1494365_size_20_002,Active,6.10479839613
CHEMBL1720494_size_20_001,Active,6.03424039462
CHEMBL1720494_size_20_002,Active,6.02163606168
CHEMBL1720494_size_20_003,Active,6.02610649235
CHEMBL1760555_size_20_001,Active,6.06312445242
CHEMBL190645_size_20_001,Active,6.03337060402
CHEMBL190645_size_20_002,Active,6.01355062535
CHEMBL190645_size_20_003,Active,6.01641801148
CHEMBL190645_size_20_004,Active,6.02221412286
CHEMBL190645_size_20_005,Active,6.05641103664
CHEMBL190739_size_20_001,Active,6.00631498217
CHEMBL190739_size_20_002,Active,6.02891775236
CHEMBL190739_size_20_003,Active,6.01781825904
CHEMBL190739_size_20_004,Active,6.00283158463
CHEMBL192500_size_20_001,Active,6.22290059152
CHEMBL1927476_size_20_001,Active,6.11347908602
CHEMBL1927476_size_20_002,Active,6.12150107793
CHEMBL1927476_size_20_003,Active,6.11522428297
CHEMBL1927476_size_20_004,Active,6.12268155291
CHEMBL1927476_size_20_005,Active,6.2052297147
CHEMBL1934308_size_20_001,Active,6.06830198409
CHEMBL1934308_size_20_002,Active,6.12165464927
CHEMBL1934468_size_20_001,Active,6.04753872317
CHEMBL1934468_size_20_002,Active,6.04539406062
CHEMBL194698_size_20_001,Active,6.0575423589
CHEMBL194698_size_20_002,Active,6.05902080865
CHEMBL194698_size_20_003,Active,6.04587946127
CHEMBL194698_size_20_004,Active,6.06768593062
CHEMBL198579_size_20_001,Active,6.28026822997
CHEMBL198786_size_20_001,Active,6.19464655422
CHEMBL198786_size_20_002,Active,6.19428048356
CHEMBL198786_size_20_003,Active,6.22077859024
CHEMBL198929_size_20_001,Active,6.5516972063
CHEMBL198929_size_20_002,Active,6.42977022486
CHEMBL198929_size_20_003,Active,6.44453608782
CHEMBL202631_size_20_001,Active,6.52614589671
CHEMBL202631_size_20_002,Active,6.56372011718
CHEMBL2037008_size_20_001,Active,6.18030697131
CHEMBL2037008_size_20_002,Active,6.11137762154
CHEMBL2037182_size_20_001,Active,6.17908363888
CHEMBL205777_size_20_001,Active,6.70747398179
CHEMBL205777_size_20_002,Active,6.4857520638
CHEMBL205777_size_20_003,Active,6.43363120784
CHEMBL205777_size_20_004,Active,6.38248209947
CHEMBL2069935_size_20_001,Active,6.17242142946
CHEMBL2069935_size_20_002,Active,6.15924969395
CHEMBL207569_size_20_001,Active,6.6511273927
CHEMBL2113219_size_20_001,Active,6.51061766186
CHEMBL2113219_size_20_002,Active,6.58222997028
CHEMBL2113219_size_20_003,Active,6.69079194603
CHEMBL213355_size_20_001,Active,6.52430613424
CHEMBL213355_size_20_002,Active,6.41599711334
CHEMBL213355_size_20_003,Active,6.45321445334
CHEMBL213355_size_20_004,Active,6.49184788362
CHEMBL214921_size_20_001,Active,6.58102543018
CHEMBL214921_size_20_002,Active,6.4777867927
CHEMBL219156_size_20_001,Active,6.00514118359
CHEMBL219156_size_20_002,Active,6.01698385808
CHEMBL219156_size_20_003,Active,6.05976442969
CHEMBL219156_size_20_004,Active,6.01829583561
CHEMBL221044_size_20_001,Active,6.26428542229
CHEMBL221044_size_20_002,Active,6.20306408328
CHEMBL221044_size_20_003,Active,6.22460041943
CHEMBL221529_size_20_001,Active,6.09949308832
CHEMBL221529_size_20_002,Active,6.12417764186
CHEMBL221529_size_20_003,Active,6.06404074618
CHEMBL2237300_size_20_001,Active,6.16737291437
CHEMBL2237300_size_20_002,Active,6.30042205617
CHEMBL242007_size_20_001,Active,6.30467216808
CHEMBL242007_size_20_002,Active,6.27253647488
CHEMBL24458_size_20_001,Active,6.09771306155
CHEMBL24458_size_20_002,Active,6.06647995426
CHEMBL24458_size_20_003,Active,6.11164042352
CHEMBL249865_size_20_001,Active,6.29645574853
CHEMBL250673_size_20_001,Active,6.24940275169
CHEMBL250673_size_20_002,Active,6.15037690282
CHEMBL252995_size_20_001,Active,6.15275606414
CHEMBL252995_size_20_002,Active,6.18667858849
CHEMBL252995_size_20_003,Active,6.19196354643
CHEMBL255872_size_20_001,Active,6.44876634469
CHEMBL255872_size_20_002,Active,6.39247945706
CHEMBL257345_size_20_001,Active,6.06653923899
CHEMBL257345_size_20_002,Active,6.08436254653
CHEMBL257345_size_20_003,Active,6.10910805734
CHEMBL260627_size_20_001,Active,6.06616320126
CHEMBL260627_size_20_002,Active,6.09945992585
CHEMBL272017_size_20_001,Active,6.02137503727
CHEMBL272017_size_20_002,Active,6.07233096245
CHEMBL272017_size_20_003,Active,6.03010423822
CHEMBL278994_size_20_001,Active,6.45230381328
CHEMBL278994_size_20_002,Active,6.16437426682
CHEMBL278994_size_20_003,Active,6.28178016721
CHEMBL280065_size_20_001,Active,6.0087726182
CHEMBL280065_size_20_002,Active,6.00546037339
CHEMBL280065_size_20_003,Active,6.09817131166
CHEMBL280065_size_20_004,Active,6.15186993179
CHEMBL280065_size_20_005,Active,6.03015224425
CHEMBL280065_size_20_006,Active,6.01637330659
CHEMBL280897_size_20_001,Active,6.21635460495
CHEMBL280897_size_20_002,Active,6.23642079497
CHEMBL280897_size_20_003,Active,6.18119207431
CHEMBL306229_size_20_001,Active,6.10134990862
CHEMBL306229_size_20_002,Active,6.09474310864
CHEMBL306229_size_20_003,Active,6.11932296546
CHEMBL318696_size_20_001,Active,6.50980358786
CHEMBL318696_size_20_002,Active,6.5735956131
CHEMBL318696_size_20_003,Active,6.57880258344
CHEMBL318696_size_20_004,Active,6.57275203355
CHEMBL318696_size_20_005,Active,6.61239930334
CHEMBL318696_size_20_006,Active,6.53092158457
CHEMBL318696_size_20_007,Active,6.49285496319
CHEMBL3354987_size_20_001,Active,6.19097509678
CHEMBL3354987_size_20_002,Active,6.10179383876
CHEMBL3354987_size_20_003,Active,6.08479386275
CHEMBL3354988_size_20_001,Active,6.11129938356
CHEMBL3397563_size_20_001,Active,6.00953696579
CHEMBL3397563_size_20_002,Active,6.11900343613
CHEMBL3601096_size_20_001,Active,6.26079705111
CHEMBL3601096_size_20_002,Active,6.2475884371
CHEMBL3707395_size_20_001,Active,6.10170781275
CHEMBL3707395_size_20_002,Active,6.1174526572
CHEMBL3735011_size_20_001,Active,6.04951801184
CHEMBL3735011_size_20_002,Active,6.03257013026
CHEMBL374948_size_20_001,Active,6.00987537789
CHEMBL374948_size_20_002,Active,6.03571657376
CHEMBL374948_size_20_003,Active,6.00164175082
CHEMBL3780740_size_20_001,Active,6.05298886174
CHEMBL383011_size_20_001,Active,6.23300876632
CHEMBL383011_size_20_002,Active,6.21095999855
CHEMBL391084_size_20_001,Active,6.28254573366
CHEMBL391084_size_20_002,Active,6.25115359631
CHEMBL391084_size_20_003,Active,6.20782163744
CHEMBL391085_size_20_001,Active,6.12514802603
CHEMBL39687_size_20_001,Active,6.07635854418
CHEMBL39687_size_20_002,Active,6.11935078733
CHEMBL39687_size_20_003,Active,6.09272438101
CHEMBL39687_size_20_004,Active,6.07831542434
CHEMBL39687_size_20_005,Active,6.0582964571
CHEMBL39687_size_20_006,Active,6.07581940164
CHEMBL3982782_size_20_001,Active,6.09789626787
CHEMBL3982782_size_20_002,Active,6.01524964204
CHEMBL400625_size_20_001,Active,6.23788187888
CHEMBL400625_size_20_002,Active,6.22166299492
CHEMBL401562_size_20_001,Active,6.19509329202
CHEMBL401562_size_20_002,Active,6.09522132022
CHEMBL401562_size_20_003,Active,6.18051827237
CHEMBL401811_size_20_001,Active,6.05153796465
CHEMBL401811_size_20_002,Active,6.01648061874
CHEMBL401811_size_20_003,Active,6.07645597344
CHEMBL4083589_size_20_001,Active,5.99560968091
CHEMBL4083589_size_20_002,Active,6.0104618885
CHEMBL4083589_size_20_003,Active,6.03286694862
CHEMBL4100619_size_20_001,Active,6.16747389934
CHEMBL4100619_size_20_002,Active,6.17999297758
CHEMBL4101577_size_20_001,Active,6.1996979673
CHEMBL4101577_size_20_002,Active,6.14949484843
CHEMBL4101577_size_20_003,Active,6.20215277177
CHEMBL4104138_size_20_001,Active,6.06103140916
CHEMBL4104138_size_20_002,Active,6.13148028685
CHEMBL4104138_size_20_003,Active,6.1242302669
CHEMBL4104138_size_20_004,Active,6.06024212437
CHEMBL4104138_size_20_005,Active,6.08315822741
CHEMBL410478_size_20_001,Active,6.21673262251
CHEMBL410478_size_20_002,Active,6.14338397572
CHEMBL410478_size_20_003,Active,6.21309734054
CHEMBL424133_size_20_001,Active,6.06889514138
CHEMBL424133_size_20_002,Active,6.16778487824
CHEMBL424133_size_20_003,Active,6.14993217259
CHEMBL424133_size_20_004,Active,6.10678264088
CHEMBL426878_size_20_001,Active,6.07463555221
CHEMBL426878_size_20_002,Active,6.12951470015
CHEMBL426878_size_20_003,Active,6.10485100553
CHEMBL426878_size_20_004,Active,6.07248026327
CHEMBL426883_size_20_001,Active,6.4148864007
CHEMBL438346_size_20_001,Active,6.16047560068
CHEMBL438346_size_20_002,Active,6.11105298548
CHEMBL438346_size_20_003,Active,6.0362420562
CHEMBL4571975_size_20_001,Active,6.30164006754
CHEMBL4571975_size_20_002,Active,6.22155110977
CHEMBL4571975_size_20_003,Active,6.28064058024
CHEMBL4571975_size_20_004,Active,6.25977329425
CHEMBL4571975_size_20_005,Active,6.34331014829
CHEMBL472451_size_20_001,Active,6.23012633014
CHEMBL472451_size_20_002,Active,6.0628769023
CHEMBL472451_size_20_003,Active,6.06737191079
CHEMBL472451_size_20_004,Active,6.06403012897
CHEMBL491039_size_20_001,Active,6.13398546569
CHEMBL491039_size_20_002,Active,6.13000754984
CHEMBL491039_size_20_003,Active,6.15479866165
CHEMBL496744_size_20_001,Active,6.16491651239
CHEMBL496744_size_20_002,Active,6.14180292786
CHEMBL496744_size_20_003,Active,6.09590893381
CHEMBL526740_size_20_001,Active,6.09422120688
CHEMBL526740_size_20_002,Active,6.03052018752
CHEMBL526740_size_20_003,Active,6.00365102559
CHEMBL526740_size_20_004,Active,6.06309483933
CHEMBL526740_size_20_005,Active,6.02057981746
CHEMBL572795_size_20_001,Active,6.13968386551
CHEMBL572795_size_20_002,Active,6.11216693377
CHEMBL572795_size_20_003,Active,6.03516128332
CHEMBL584704_size_20_001,Active,6.23505359408
CHEMBL584704_size_20_002,Active,6.24367786921
CHEMBL592054_size_20_001,Active,6.04468191765
CHEMBL592054_size_20_002,Active,6.04389483582
CHEMBL593087_size_20_001,Active,6.15444627821
CHEMBL593087_size_20_002,Active,6.05999231662
CHEMBL593087_size_20_003,Active,6.07115543987
CHEMBL1017_size_20_001,Inactive,6.21516976792
CHEMBL1017_size_20_002,Inactive,6.15828006437
CHEMBL104246_size_20_001,Inactive,6.15146686137
CHEMBL104246_size_20_002,Inactive,6.13826388362
CHEMBL104494_size_20_001,Inactive,6.17148623979
CHEMBL104494_size_20_002,Inactive,6.1972425782
CHEMBL104850_size_20_001,Inactive,6.08005163737
CHEMBL104850_size_20_002,Inactive,6.0971027146
CHEMBL106666_size_20_001,Inactive,6.18131611837
CHEMBL106666_size_20_002,Inactive,6.14157879593
CHEMBL106666_size_20_003,Inactive,6.16208744227
CHEMBL106666_size_20_004,Inactive,6.18590725846
CHEMBL106666_size_20_005,Inactive,6.13906703825
CHEMBL106666_size_20_006,Inactive,6.13418427501
CHEMBL1071_size_20_001,Inactive,5.99040734825
CHEMBL1071_size_20_002,Inactive,6.00203877367
CHEMBL107498_size_20_001,Inactive,6.00832891571
CHEMBL107498_size_20_002,Inactive,5.9992478512
CHEMBL107498_size_20_003,Inactive,6.00080498117
CHEMBL107498_size_20_004,Inactive,5.98336038767
CHEMBL107498_size_20_005,Inactive,5.95625795236
CHEMBL107498_size_20_006,Inactive,5.97671465143
CHEMBL107498_size_20_007,Inactive,5.95839503274
CHEMBL107498_size_20_008,Inactive,5.99789341425
CHEMBL1075665_size_20_001,Inactive,6.12474672291
CHEMBL1075665_size_20_002,Inactive,6.12321902619
CHEMBL1075665_size_20_003,Inactive,6.06739296248
CHEMBL1075665_size_20_004,Inactive,6.11886447517
CHEMBL1075682_size_20_001,Inactive,6.38457142838
CHEMBL1075703_size_20_001,Inactive,6.61305277968
CHEMBL1075704_size_20_001,Inactive,6.23963977347
CHEMBL1075705_size_20_001,Inactive,6.29927560893
CHEMBL1075705_size_20_002,Inactive,6.29850996886
CHEMBL1075706_size_20_001,Inactive,6.45415244396
CHEMBL1075724_size_20_001,Inactive,6.48094495098
CHEMBL1075724_size_20_002,Inactive,6.46176140081
CHEMBL1075725_size_20_001,Inactive,6.48072724714
CHEMBL1075725_size_20_002,Inactive,6.50616564112
CHEMBL1075772_size_20_001,Inactive,6.02134840743
CHEMBL1075772_size_20_002,Inactive,6.01377133001
CHEMBL1075772_size_20_003,Inactive,6.0190589819
CHEMBL1075835_size_20_001,Inactive,6.39963068504
CHEMBL1075835_size_20_002,Inactive,6.49177836413
CHEMBL1075836_size_20_001,Inactive,6.4853626839
CHEMBL1075836_size_20_002,Inactive,6.36895276461
CHEMBL1075836_size_20_003,Inactive,6.26410669815
CHEMBL1075856_size_20_001,Inactive,6.00660639271
CHEMBL1075856_size_20_002,Inactive,6.0291935557
CHEMBL1075893_size_20_001,Inactive,6.49379927031
CHEMBL1075893_size_20_002,Inactive,6.42371593951
CHEMBL1075894_size_20_001,Inactive,6.366126896
CHEMBL1075894_size_20_002,Inactive,6.30439681054
CHEMBL1075894_size_20_003,Inactive,6.3896541681
CHEMBL1076151_size_20_001,Inactive,6.52655662493
CHEMBL1076151_size_20_002,Inactive,6.56189673877
CHEMBL1076175_size_20_001,Inactive,6.29566854049
CHEMBL1076175_size_20_002,Inactive,6.47197642646
CHEMBL1079382_size_20_001,Inactive,6.21004846908
CHEMBL1079382_size_20_002,Inactive,6.11993288986
CHEMBL1079402_size_20_001,Inactive,6.42226054928
CHEMBL1079402_size_20_002,Inactive,6.41930535686
CHEMBL1079449_size_20_001,Inactive,6.13105041635
CHEMBL1079488_size_20_001,Inactive,6.04161999414
CHEMBL1079488_size_20_002,Inactive,6.03297794709
CHEMBL1079488_size_20_003,Inactive,6.01409202719
CHEMBL1079503_size_20_001,Inactive,6.50691297651
CHEMBL1079503_size_20_002,Inactive,6.49117846967
CHEMBL1079504_size_20_001,Inactive,6.12271684382
CHEMBL1079504_size_20_002,Inactive,6.15637223816
CHEMBL1079505_size_20_001,Inactive,6.32398842601
CHEMBL1079591_size_20_001,Inactive,6.51495282102
CHEMBL1079591_size_20_002,Inactive,6.4176949213
CHEMBL1079591_size_20_003,Inactive,6.55754552369
CHEMBL1079617_size_20_001,Inactive,6.17017284082
CHEMBL1079618_size_20_001,Inactive,6.15658601049
CHEMBL1079618_size_20_002,Inactive,6.16504124278
CHEMBL1079646_size_20_001,Inactive,6.18292313669
CHEMBL1079646_size_20_002,Inactive,6.12350262213
CHEMBL1079668_size_20_001,Inactive,6.17585045743
CHEMBL1079668_size_20_002,Inactive,6.14905692131
CHEMBL1079669_size_20_001,Inactive,6.21820284132
CHEMBL1079669_size_20_002,Inactive,6.31092645867
CHEMBL1079677_size_20_001,Inactive,6.31461760292
CHEMBL1079739_size_20_001,Inactive,6.15525226772
CHEMBL1079739_size_20_002,Inactive,6.18252379223
CHEMBL1079765_size_20_001,Inactive,6.16243482985
CHEMBL1079765_size_20_002,Inactive,6.28284338415
CHEMBL1079821_size_20_001,Inactive,6.18664762655
CHEMBL1079821_size_20_002,Inactive,6.14237096433
CHEMBL1079821_size_20_003,Inactive,6.36560053653
CHEMBL1079821_size_20_004,Inactive,6.30496372212
CHEMBL1079826_size_20_001,Inactive,6.46545569791
CHEMBL1079826_size_20_002,Inactive,6.49266723253
CHEMBL107991_size_20_001,Inactive,6.17433634672
CHEMBL1079910_size_20_001,Inactive,6.11694159273
CHEMBL1079910_size_20_002,Inactive,6.09434399859
CHEMBL1079910_size_20_003,Inactive,6.22507231188
CHEMBL1079910_size_20_004,Inactive,6.2146301585
CHEMBL1079911_size_20_001,Inactive,6.17805244222
CHEMBL1079911_size_20_002,Inactive,6.17547774311
CHEMBL1079925_size_20_001,Inactive,6.44516967089
CHEMBL1079944_size_20_001,Inactive,6.42472068216
CHEMBL1079944_size_20_002,Inactive,6.52712866117
CHEMBL1079965_size_20_001,Inactive,6.6301368603
CHEMBL1079965_size_20_002,Inactive,6.41817707606
CHEMBL1079981_size_20_001,Inactive,6.4074624915
CHEMBL1079981_size_20_002,Inactive,6.48282521415
CHEMBL1079982_size_20_001,Inactive,6.48871797533
CHEMBL1079982_size_20_002,Inactive,6.38964518477
CHEMBL1079983_size_20_001,Inactive,6.20614795955
CHEMBL1079984_size_20_001,Inactive,6.38866015438
CHEMBL1080013_size_20_001,Inactive,6.54770472806
CHEMBL1080013_size_20_002,Inactive,6.50726521334
CHEMBL1080013_size_20_003,Inactive,6.44416330049
CHEMBL1080013_size_20_004,Inactive,6.61216044781
CHEMBL1080013_size_20_005,Inactive,6.52333178702
CHEMBL1080025_size_20_001,Inactive,6.04353166847
CHEMBL1080025_size_20_002,Inactive,6.00671150749
CHEMBL1080025_size_20_003,Inactive,6.03696425618
CHEMBL1080026_size_20_001,Inactive,6.21024248264
CHEMBL1080026_size_20_002,Inactive,6.09352112873
CHEMBL1080026_size_20_003,Inactive,6.12490656194
CHEMBL1080032_size_20_001,Inactive,6.47150792717
CHEMBL1080032_size_20_002,Inactive,6.51681214424
CHEMBL1080033_size_20_001,Inactive,6.41231017808
CHEMBL1080033_size_20_002,Inactive,6.45309672053
CHEMBL1080108_size_20_001,Inactive,6.4210498335
CHEMBL1080108_size_20_002,Inactive,6.27765546276
CHEMBL1080140_size_20_001,Inactive,6.16009105535
CHEMBL1080140_size_20_002,Inactive,6.14115295664
CHEMBL1080143_size_20_001,Inactive,6.11112229659
CHEMBL1080168_size_20_001,Inactive,6.40965845625
CHEMBL1080168_size_20_002,Inactive,6.43498776177
CHEMBL1080172_size_20_001,Inactive,6.50290336843
CHEMBL1080173_size_20_001,Inactive,6.16505174399
CHEMBL1080173_size_20_002,Inactive,6.32942845457
CHEMBL1080173_size_20_003,Inactive,6.23044757806
CHEMBL1080184_size_20_001,Inactive,6.46547585481
CHEMBL1080184_size_20_002,Inactive,6.60018786635
CHEMBL1080187_size_20_001,Inactive,6.155770857
CHEMBL1080188_size_20_001,Inactive,6.31966591102
CHEMBL1080312_size_20_001,Inactive,6.1642166995
CHEMBL1080312_size_20_002,Inactive,6.156605313
CHEMBL1080349_size_20_001,Inactive,6.42788875451
CHEMBL1080349_size_20_002,Inactive,6.50900629641
CHEMBL1080355_size_20_001,Inactive,6.24362756701
CHEMBL1080356_size_20_001,Inactive,6.20926550735
CHEMBL1080356_size_20_002,Inactive,6.17938293981
CHEMBL1080363_size_20_001,Inactive,6.07281750292
CHEMBL1080363_size_20_002,Inactive,6.13347111716
CHEMBL1080366_size_20_001,Inactive,6.15701235598
CHEMBL1080368_size_20_001,Inactive,6.53787320932
CHEMBL1080369_size_20_001,Inactive,6.46712886715
CHEMBL1080369_size_20_002,Inactive,6.53364180722
CHEMBL1080469_size_20_001,Inactive,6.31256200427
CHEMBL1080532_size_20_001,Inactive,6.10787283658
CHEMBL1080533_size_20_001,Inactive,6.03833606922
CHEMBL1080533_size_20_002,Inactive,6.09684015672
CHEMBL1080534_size_20_001,Inactive,6.08058538443
CHEMBL1080535_size_20_001,Inactive,6.47698589285
CHEMBL1080540_size_20_001,Inactive,6.45623394936
CHEMBL1080540_size_20_002,Inactive,6.38954636698
CHEMBL1080708_size_20_001,Inactive,6.22230042521
CHEMBL1080708_size_20_002,Inactive,6.22523838099
CHEMBL1080708_size_20_003,Inactive,6.14481179745
CHEMBL1080708_size_20_004,Inactive,6.15979878748
CHEMBL1080821_size_20_001,Inactive,6.37568960614
CHEMBL1080873_size_20_001,Inactive,6.67271020573
CHEMBL1081003_size_20_001,Inactive,6.16492449154
CHEMBL1081003_size_20_002,Inactive,6.14249728059
CHEMBL1081003_size_20_003,Inactive,6.19659629132
CHEMBL1081004_size_20_001,Inactive,6.24143189173
CHEMBL1081004_size_20_002,Inactive,6.25234706631
CHEMBL1081004_size_20_003,Inactive,6.3130839323
CHEMBL1081004_size_20_004,Inactive,6.56437604137
CHEMBL1081044_size_20_001,Inactive,6.0811246854
CHEMBL1081045_size_20_001,Inactive,6.15959173469
CHEMBL1081046_size_20_001,Inactive,6.152403319
CHEMBL1081073_size_20_001,Inactive,5.98485899039
CHEMBL1081073_size_20_002,Inactive,5.98390482577
CHEMBL1081073_size_20_003,Inactive,5.97894940585
CHEMBL1081073_size_20_004,Inactive,5.96361042975
CHEMBL1081073_size_20_005,Inactive,5.9636234316
CHEMBL1081206_size_20_001,Inactive,6.36229641811
CHEMBL1081207_size_20_001,Inactive,6.28856628235
CHEMBL1081223_size_20_001,Inactive,6.46476645538
CHEMBL1081224_size_20_001,Inactive,6.28168803811
CHEMBL1081224_size_20_002,Inactive,6.34403126537
CHEMBL1081241_size_20_001,Inactive,6.17920683464
CHEMBL1081241_size_20_002,Inactive,6.16396156195
CHEMBL1081353_size_20_001,Inactive,6.19187042071
CHEMBL1081353_size_20_002,Inactive,6.15706518303
CHEMBL1081353_size_20_003,Inactive,6.49888364063
CHEMBL1081380_size_20_001,Inactive,6.38016240627
CHEMBL1081380_size_20_002,Inactive,6.32475643009
CHEMBL1081387_size_20_001,Inactive,6.25348615457
CHEMBL1081387_size_20_002,Inactive,6.21207525798
CHEMBL1081387_size_20_003,Inactive,6.23926967195
CHEMBL1081391_size_20_001,Inactive,6.15272143086
CHEMBL1081391_size_20_002,Inactive,6.43030372415
CHEMBL1081410_size_20_001,Inactive,6.38408506644
CHEMBL1081424_size_20_001,Inactive,6.24655641939
CHEMBL1081424_size_20_002,Inactive,6.20510564389
CHEMBL1081591_size_20_001,Inactive,6.16741122569
CHEMBL1081591_size_20_002,Inactive,6.27803594054
CHEMBL1081591_size_20_003,Inactive,6.24688861619
CHEMBL1081600_size_20_001,Inactive,6.13621101518
CHEMBL1081600_size_20_002,Inactive,6.11194542872
CHEMBL1081601_size_20_001,Inactive,6.28664341185
CHEMBL1081601_size_20_002,Inactive,6.4094779809
CHEMBL1081602_size_20_001,Inactive,6.10992034105
CHEMBL1081602_size_20_002,Inactive,6.09400154273
CHEMBL1081603_size_20_001,Inactive,6.02454590308
CHEMBL1081603_size_20_002,Inactive,6.04612385274
CHEMBL1081729_size_20_001,Inactive,6.13240577277
CHEMBL1081729_size_20_002,Inactive,6.09660690939
CHEMBL1081730_size_20_001,Inactive,6.45877769639
CHEMBL1081749_size_20_001,Inactive,6.30863647173
CHEMBL1081750_size_20_001,Inactive,6.39426248684
CHEMBL1081750_size_20_002,Inactive,6.32559077971
CHEMBL1081751_size_20_001,Inactive,6.36639613253
CHEMBL1081756_size_20_001,Inactive,6.03912822029
CHEMBL1081756_size_20_002,Inactive,6.02749471439
CHEMBL1081763_size_20_001,Inactive,6.45078349384
CHEMBL1081764_size_20_001,Inactive,6.22772871781
CHEMBL1081764_size_20_002,Inactive,6.2219837749
