Pose,Real_Class,CNN-Score
CHEMBL1078426_size_20_001,Active,0.64987
CHEMBL1078426_size_20_002,Active,0.49404
CHEMBL1078426_size_20_003,Active,0.85799
CHEMBL1078426_size_20_004,Active,0.08331
CHEMBL1078426_size_20_005,Active,0.03282
CHEMBL1078820_size_20_001,Active,0.56232
CHEMBL1078820_size_20_002,Active,0.07468
CHEMBL1078820_size_20_003,Active,0.0488
CHEMBL1078820_size_20_004,Active,0.0292
CHEMBL1078820_size_20_005,Active,0.0578
CHEMBL1078820_size_20_006,Active,0.05768
CHEMBL1078820_size_20_007,Active,0.12015
CHEMBL1078929_size_20_001,Active,0.6379
CHEMBL1078929_size_20_002,Active,0.13955
CHEMBL1078929_size_20_003,Active,0.05832
CHEMBL1078929_size_20_004,Active,0.0281
CHEMBL1078930_size_20_001,Active,0.48919
CHEMBL1078930_size_20_002,Active,0.16054
CHEMBL1078930_size_20_003,Active,0.07608
CHEMBL1078930_size_20_004,Active,0.05469
CHEMBL1078930_size_20_005,Active,0.0558
CHEMBL1078930_size_20_006,Active,0.05407
CHEMBL1078930_size_20_007,Active,0.03074
CHEMBL1078930_size_20_008,Active,0.01925
CHEMBL1079293_size_20_001,Active,0.50428
CHEMBL1079293_size_20_002,Active,0.10569
CHEMBL1079293_size_20_003,Active,0.03788
CHEMBL1079293_size_20_004,Active,0.06477
CHEMBL1079293_size_20_005,Active,0.06501
CHEMBL1079293_size_20_006,Active,0.08258
CHEMBL1079293_size_20_007,Active,0.05391
CHEMBL1079293_size_20_008,Active,0.02743
CHEMBL1079295_size_20_001,Active,0.53048
CHEMBL1079295_size_20_002,Active,0.82885
CHEMBL1079295_size_20_003,Active,0.17819
CHEMBL1079295_size_20_004,Active,0.09387
CHEMBL1079295_size_20_005,Active,0.14843
CHEMBL1079295_size_20_006,Active,0.09417
CHEMBL1079921_size_20_001,Active,0.04873
CHEMBL1079921_size_20_002,Active,0.04748
CHEMBL1079921_size_20_003,Active,0.0301
CHEMBL1079921_size_20_004,Active,0.10313
CHEMBL1079921_size_20_005,Active,0.06544
CHEMBL1079921_size_20_006,Active,0.16031
CHEMBL1080071_size_20_001,Active,0.648
CHEMBL1080071_size_20_002,Active,0.08321
CHEMBL1080071_size_20_003,Active,0.01592
CHEMBL1080071_size_20_004,Active,0.09526
CHEMBL1080071_size_20_005,Active,0.02173
CHEMBL1080071_size_20_006,Active,0.02086
CHEMBL1080279_size_20_001,Active,0.16715
CHEMBL1080279_size_20_002,Active,0.35516
CHEMBL1080279_size_20_003,Active,0.16153
CHEMBL1080279_size_20_004,Active,0.04752
CHEMBL1080279_size_20_005,Active,0.02752
CHEMBL1080279_size_20_006,Active,0.07696
CHEMBL1080279_size_20_007,Active,0.02047
CHEMBL1083072_size_20_001,Active,0.72197
CHEMBL1083072_size_20_002,Active,0.04803
CHEMBL1083072_size_20_003,Active,0.0782
CHEMBL1083072_size_20_004,Active,0.40172
CHEMBL1083072_size_20_005,Active,0.06145
CHEMBL1083072_size_20_006,Active,0.01659
CHEMBL1083072_size_20_007,Active,0.01859
