Pose,Real_Class,Docking_score
CHEMBL1078426_size_20_001,Active,-8.7
CHEMBL1078426_size_20_002,Active,-8.3
CHEMBL1078426_size_20_003,Active,-7.6
CHEMBL1078426_size_20_004,Active,-7.2
CHEMBL1078426_size_20_005,Active,-6.3
CHEMBL1078820_size_20_001,Active,-8.3
CHEMBL1078820_size_20_002,Active,-7.1
CHEMBL1078820_size_20_003,Active,-7
CHEMBL1078820_size_20_004,Active,-6.6
CHEMBL1078820_size_20_005,Active,-6.3
CHEMBL1078820_size_20_006,Active,-6.2
CHEMBL1078820_size_20_007,Active,-5.5
CHEMBL1078929_size_20_001,Active,-8.7
CHEMBL1078929_size_20_002,Active,-7.2
CHEMBL1078929_size_20_003,Active,-6.9
CHEMBL1078929_size_20_004,Active,-5.8
CHEMBL1078930_size_20_001,Active,-7.9
CHEMBL1078930_size_20_002,Active,-7.1
CHEMBL1078930_size_20_003,Active,-6.4
CHEMBL1078930_size_20_004,Active,-6.1
CHEMBL1078930_size_20_005,Active,-5.8
CHEMBL1078930_size_20_006,Active,-5.7
CHEMBL1078930_size_20_007,Active,-5.4
CHEMBL1078930_size_20_008,Active,-5.1
CHEMBL1079293_size_20_001,Active,-7.8
CHEMBL1079293_size_20_002,Active,-6.5
CHEMBL1079293_size_20_003,Active,-6.4
CHEMBL1079293_size_20_004,Active,-6.2
CHEMBL1079293_size_20_005,Active,-5.9
CHEMBL1079293_size_20_006,Active,-5.7
CHEMBL1079293_size_20_007,Active,-5.5
CHEMBL1079293_size_20_008,Active,-5.2
CHEMBL1079295_size_20_001,Active,-8.3
CHEMBL1079295_size_20_002,Active,-7.7
CHEMBL1079295_size_20_003,Active,-6.1
CHEMBL1079295_size_20_004,Active,-6
CHEMBL1079295_size_20_005,Active,-5.5
CHEMBL1079295_size_20_006,Active,-5.4
CHEMBL1079921_size_20_001,Active,-7.3
CHEMBL1079921_size_20_002,Active,-7.1
CHEMBL1079921_size_20_003,Active,-6.6
CHEMBL1079921_size_20_004,Active,-6.1
CHEMBL1079921_size_20_005,Active,-6
CHEMBL1079921_size_20_006,Active,-5.3
CHEMBL1080071_size_20_001,Active,-8.2
CHEMBL1080071_size_20_002,Active,-7.4
CHEMBL1080071_size_20_003,Active,-6.7
CHEMBL1080071_size_20_004,Active,-6.7
CHEMBL1080071_size_20_005,Active,-6.4
CHEMBL1080071_size_20_006,Active,-6.2
CHEMBL1080279_size_20_001,Active,-8.5
CHEMBL1080279_size_20_002,Active,-7.9
CHEMBL1080279_size_20_003,Active,-7.9
CHEMBL1080279_size_20_004,Active,-7.1
CHEMBL1080279_size_20_005,Active,-6.6
CHEMBL1080279_size_20_006,Active,-6.3
CHEMBL1080279_size_20_007,Active,-6.2
CHEMBL1083072_size_20_001,Active,-9.6
CHEMBL1083072_size_20_002,Active,-9
CHEMBL1083072_size_20_003,Active,-8.7
CHEMBL1083072_size_20_004,Active,-8.3
CHEMBL1083072_size_20_005,Active,-7.8
CHEMBL1083072_size_20_006,Active,-7.6
CHEMBL1083072_size_20_007,Active,-7.5
CHEMBL1083072_size_20_008,Active,-7.4
CHEMBL1083072_size_20_009,Active,-7.1
CHEMBL1083072_size_20_010,Active,-6.9
CHEMBL1083072_size_20_011,Active,-6.8
CHEMBL1083074_size_20_001,Active,-9.9
CHEMBL1083074_size_20_002,Active,-8.7
CHEMBL1083074_size_20_003,Active,-8.4
CHEMBL1083074_size_20_004,Active,-8.2
CHEMBL1083074_size_20_005,Active,-7
CHEMBL1083967_size_20_001,Active,-8
