Pose,Real_Class,Average_Good_Pose_Prob
CHEMBL1078426_size_20_001,Active,0.009275241362464
CHEMBL1078426_size_20_002,Active,0.011668211015864
CHEMBL1078426_size_20_003,Active,0.080399696252241
CHEMBL1078426_size_20_004,Active,0.00133101374366
CHEMBL1078426_size_20_005,Active,0.001029305958968
CHEMBL1078820_size_20_001,Active,0.009945755879892
CHEMBL1078820_size_20_002,Active,0.002916435904237
CHEMBL1078820_size_20_003,Active,0.000896892550981
CHEMBL1078820_size_20_004,Active,0.002616102444256
CHEMBL1078820_size_20_005,Active,0.000750666332764
CHEMBL1078820_size_20_006,Active,0.020963886873493
CHEMBL1078820_size_20_007,Active,0.005414505447433
CHEMBL1078929_size_20_001,Active,0.009543538508257
CHEMBL1078929_size_20_002,Active,0.003066190053307
CHEMBL1078929_size_20_003,Active,0.002067183972772
CHEMBL1078929_size_20_004,Active,0.00168219659972
CHEMBL1078930_size_20_001,Active,0.010083441168792
CHEMBL1078930_size_20_002,Active,0.035703069630629
CHEMBL1078930_size_20_003,Active,0.001190781129867
CHEMBL1078930_size_20_004,Active,0.000191067242717
CHEMBL1078930_size_20_005,Active,0.002067776482511
CHEMBL1078930_size_20_006,Active,0.001313989036582
CHEMBL1078930_size_20_007,Active,0.001080726205695
CHEMBL1078930_size_20_008,Active,0.001038338411704
CHEMBL1079293_size_20_001,Active,0.004844246975682
CHEMBL1079293_size_20_002,Active,0.00228658280745
CHEMBL1079293_size_20_003,Active,0.000849734888749
CHEMBL1079293_size_20_004,Active,0.03703851811134
CHEMBL1079293_size_20_005,Active,0.003565633452983
CHEMBL1079293_size_20_006,Active,0.035285546925684
CHEMBL1079293_size_20_007,Active,0.004975784983672
CHEMBL1079293_size_20_008,Active,0.001081612735621
CHEMBL1079295_size_20_001,Active,0.010215549145163
CHEMBL1079295_size_20_002,Active,0.027862110964057
CHEMBL1079295_size_20_003,Active,0.003596967924878
CHEMBL1079295_size_20_004,Active,0.002283921185227
CHEMBL1079295_size_20_005,Active,0.002517412556834
CHEMBL1079295_size_20_006,Active,0.003928287115642
CHEMBL1079921_size_20_001,Active,0.002940242712272
CHEMBL1079921_size_20_002,Active,0.000787503714615
CHEMBL1079921_size_20_003,Active,0.000371005243086
CHEMBL1079921_size_20_004,Active,0.003538297954558
CHEMBL1079921_size_20_005,Active,0.000227315751299
CHEMBL1079921_size_20_006,Active,0.00176123522114
CHEMBL1080071_size_20_001,Active,0.03866187184611
CHEMBL1080071_size_20_002,Active,0.009850218508588
CHEMBL1080071_size_20_003,Active,0.003624910441316
CHEMBL1080071_size_20_004,Active,0.004906492996337
CHEMBL1080071_size_20_005,Active,0.010873881196516
CHEMBL1080071_size_20_006,Active,0.018681125238934
CHEMBL1080279_size_20_001,Active,0.090521705297527
CHEMBL1080279_size_20_002,Active,0.037868260222162
CHEMBL1080279_size_20_003,Active,0.022698454800386
CHEMBL1080279_size_20_004,Active,0.046034335283157
CHEMBL1080279_size_20_005,Active,0.036884188201988
CHEMBL1080279_size_20_006,Active,0.079669147570192
CHEMBL1080279_size_20_007,Active,0.027506957551632
CHEMBL1083072_size_20_001,Active,0.326190296970192
CHEMBL1083072_size_20_002,Active,0.040593717090759
CHEMBL1083072_size_20_003,Active,0.013006586370949
CHEMBL1083072_size_20_004,Active,0.096781412474745
CHEMBL1083072_size_20_005,Active,0.00684379395667
CHEMBL1083072_size_20_006,Active,0.002080562468547
CHEMBL1083072_size_20_007,Active,0.014730686130699
CHEMBL1083072_size_20_008,Active,0.004504240086034
CHEMBL1083072_size_20_009,Active,0.003731418597753
CHEMBL1083072_size_20_010,Active,0.006810897915695
CHEMBL1083072_size_20_011,Active,0.002591553319182
CHEMBL1083074_size_20_001,Active,0.211483720260182
CHEMBL1083074_size_20_002,Active,0.070754680054765
CHEMBL1083074_size_20_003,Active,0.039469619953437
CHEMBL1083074_size_20_004,Active,0.032139426544661
CHEMBL1083074_size_20_005,Active,0.014194221092082
CHEMBL1083967_size_20_001,Active,0.003495108502758
CHEMBL1083967_size_20_002,Active,0.006068252941081
CHEMBL1083967_size_20_003,Active,0.172575143303839
CHEMBL1083967_size_20_004,Active,0.028326882919888
CHEMBL1083967_size_20_005,Active,0.01149476951031
CHEMBL1083967_size_20_006,Active,0.003019472105323
