Pose,Real_Class,RF-Score-VS
CHEMBL1078426_size_20_001,Active,6.14554805437
CHEMBL1078426_size_20_002,Active,6.00876361958
CHEMBL1078426_size_20_003,Active,6.07486623374
CHEMBL1078426_size_20_004,Active,5.97802453585
CHEMBL1078426_size_20_005,Active,5.98927474064
CHEMBL1078820_size_20_001,Active,6.07698778606
CHEMBL1078820_size_20_002,Active,5.98920811532
CHEMBL1078820_size_20_003,Active,5.9587962531
CHEMBL1078820_size_20_004,Active,5.95237733963
CHEMBL1078820_size_20_005,Active,5.96758150112
CHEMBL1078820_size_20_006,Active,5.95969904228
CHEMBL1078820_size_20_007,Active,5.97337337733
CHEMBL1078929_size_20_001,Active,6.09890289103
CHEMBL1078929_size_20_002,Active,5.96359498765
CHEMBL1078929_size_20_003,Active,5.98147186506
CHEMBL1078929_size_20_004,Active,5.96984388907
CHEMBL1078930_size_20_001,Active,6.18436644623
CHEMBL1078930_size_20_002,Active,5.99514403533
CHEMBL1078930_size_20_003,Active,5.95392054703
CHEMBL1078930_size_20_004,Active,5.95870091822
CHEMBL1078930_size_20_005,Active,5.95463153969
CHEMBL1078930_size_20_006,Active,5.96747853469
CHEMBL1078930_size_20_007,Active,5.96277682366
CHEMBL1078930_size_20_008,Active,5.95606331622
CHEMBL1079293_size_20_001,Active,6.02015150725
CHEMBL1079293_size_20_002,Active,5.9584780101
CHEMBL1079293_size_20_003,Active,5.95527839549
CHEMBL1079293_size_20_004,Active,6.00305267764
CHEMBL1079293_size_20_005,Active,5.956679705
CHEMBL1079293_size_20_006,Active,5.97831429631
CHEMBL1079293_size_20_007,Active,5.95726665938
CHEMBL1079293_size_20_008,Active,5.96529491605
CHEMBL1079295_size_20_001,Active,6.12559886486
CHEMBL1079295_size_20_002,Active,6.07036592654
CHEMBL1079295_size_20_003,Active,5.95628228232
CHEMBL1079295_size_20_004,Active,5.95155387425
CHEMBL1079295_size_20_005,Active,5.95571603795
CHEMBL1079295_size_20_006,Active,5.96834458309
CHEMBL1079921_size_20_001,Active,5.98024992142
CHEMBL1079921_size_20_002,Active,5.97592617204
CHEMBL1079921_size_20_003,Active,6.00455594829
CHEMBL1079921_size_20_004,Active,5.98175810705
CHEMBL1079921_size_20_005,Active,5.95885382177
CHEMBL1079921_size_20_006,Active,5.97809011991
CHEMBL1080071_size_20_001,Active,6.41323425789
CHEMBL1080071_size_20_002,Active,5.99158901929
CHEMBL1080071_size_20_003,Active,5.97429204292
CHEMBL1080071_size_20_004,Active,6.027358212
CHEMBL1080071_size_20_005,Active,5.96578752667
CHEMBL1080071_size_20_006,Active,5.98014364507
CHEMBL1080279_size_20_001,Active,6.76282027571
CHEMBL1080279_size_20_002,Active,6.03771709647
CHEMBL1080279_size_20_003,Active,5.95821123411
CHEMBL1080279_size_20_004,Active,6.01338131376
CHEMBL1080279_size_20_005,Active,6.01753748717
CHEMBL1080279_size_20_006,Active,6.03239622335
CHEMBL1080279_size_20_007,Active,5.98117604575
CHEMBL1083072_size_20_001,Active,6.4622590419
CHEMBL1083072_size_20_002,Active,5.976004602
CHEMBL1083072_size_20_003,Active,5.95519842965
CHEMBL1083072_size_20_004,Active,5.99621167424
CHEMBL1083072_size_20_005,Active,5.9564974833
CHEMBL1083072_size_20_006,Active,5.99310894869
CHEMBL1083072_size_20_007,Active,5.98251975691
CHEMBL1083072_size_20_008,Active,5.95835934871
CHEMBL1083072_size_20_009,Active,5.95490327998
CHEMBL1083072_size_20_010,Active,5.97503432642
CHEMBL1083072_size_20_011,Active,5.95730337889
CHEMBL1083074_size_20_001,Active,6.21217806075
CHEMBL1083074_size_20_002,Active,6.18181253435
CHEMBL1083074_size_20_003,Active,6.11278252055
CHEMBL1083074_size_20_004,Active,6.09565214732
CHEMBL1083074_size_20_005,Active,5.98215393864
CHEMBL1083967_size_20_001,Active,5.98729511809
CHEMBL1083967_size_20_002,Active,5.97788700825
CHEMBL1083967_size_20_003,Active,6.08325390794
CHEMBL1083967_size_20_004,Active,5.96115956815
CHEMBL1083967_size_20_005,Active,5.96524866415
CHEMBL1083967_size_20_006,Active,5.95418632364
CHEMBL1083967_size_20_007,Active,5.95556422908
CHEMBL1084106_size_20_001,Active,6.03124188666
CHEMBL1084106_size_20_002,Active,5.99028154043
CHEMBL1084106_size_20_003,Active,6.02835292181
CHEMBL1084106_size_20_004,Active,5.97172325711
CHEMBL1084106_size_20_005,Active,5.95207432555
CHEMBL1084106_size_20_006,Active,5.99464597684
CHEMBL1084106_size_20_007,Active,5.95349794001
CHEMBL1084106_size_20_008,Active,5.95028302996
CHEMBL1084106_size_20_009,Active,5.97171903306
CHEMBL1084106_size_20_010,Active,5.96297109905
CHEMBL1084106_size_20_011,Active,5.96626863522
CHEMBL1084892_size_20_001,Active,6.12990022907
CHEMBL1084892_size_20_002,Active,6.03137979386
CHEMBL1084892_size_20_003,Active,5.9545436975
CHEMBL1084892_size_20_004,Active,5.95461465642
CHEMBL1084892_size_20_005,Active,5.95399307676
CHEMBL1084892_size_20_006,Active,5.96772015835
CHEMBL1084892_size_20_007,Active,5.96109501186
CHEMBL1084892_size_20_008,Active,5.96352234592
CHEMBL1084892_size_20_009,Active,5.97377890405
CHEMBL1084900_size_20_001,Active,5.95635144143
CHEMBL1084900_size_20_002,Active,6.03509810984
CHEMBL1084900_size_20_003,Active,5.99757252646
CHEMBL1084900_size_20_004,Active,5.99194406666
CHEMBL1084900_size_20_005,Active,6.00879326437
CHEMBL1084900_size_20_006,Active,5.95462083858
CHEMBL1084900_size_20_007,Active,5.9556378746
CHEMBL1084900_size_20_008,Active,5.95956983952
CHEMBL1084947_size_20_001,Active,6.15703895949
CHEMBL1084947_size_20_002,Active,5.95868780095
CHEMBL1084947_size_20_003,Active,5.95441581079
CHEMBL1084947_size_20_004,Active,5.95
CHEMBL1084947_size_20_005,Active,5.99491307824
CHEMBL1084947_size_20_006,Active,5.98235809396
CHEMBL1084947_size_20_007,Active,6.00153986737
CHEMBL1084947_size_20_008,Active,5.99182196055
CHEMBL1084947_size_20_009,Active,5.96596109293
CHEMBL1089116_size_20_001,Active,6.21882385723
CHEMBL1089116_size_20_002,Active,6.06715235783
CHEMBL1089116_size_20_003,Active,6.18904752585
CHEMBL1089116_size_20_004,Active,6.04983328143
CHEMBL1089116_size_20_005,Active,6.04444694768
CHEMBL1089116_size_20_006,Active,6.02728716153
CHEMBL1089116_size_20_007,Active,6.0283513799
CHEMBL1089116_size_20_008,Active,6.04408514928
CHEMBL1089116_size_20_009,Active,6.0856102558
CHEMBL1215304_size_20_001,Active,6.58846384832
CHEMBL1215304_size_20_002,Active,6.1053950873
CHEMBL1215304_size_20_003,Active,6.28947429107
CHEMBL1215304_size_20_004,Active,6.08613205951
CHEMBL1215304_size_20_005,Active,6.04690650938
CHEMBL1215526_size_20_001,Active,6.65260163619
CHEMBL1215526_size_20_002,Active,6.16294776705
CHEMBL1215526_size_20_003,Active,6.06439282436
CHEMBL1215526_size_20_004,Active,6.03909852192
CHEMBL1215526_size_20_005,Active,5.99870208441
CHEMBL1215526_size_20_006,Active,6.10226820184
CHEMBL1215526_size_20_007,Active,5.98619224798
CHEMBL1215526_size_20_008,Active,5.99796367839
CHEMBL1215526_size_20_009,Active,5.98285301967
CHEMBL162_size_20_001,Active,5.97155462088
CHEMBL162_size_20_002,Active,5.97277600039
CHEMBL162_size_20_003,Active,6.01228604832
CHEMBL162_size_20_004,Active,6.02520720269
CHEMBL162_size_20_005,Active,5.95689703327
CHEMBL162_size_20_006,Active,5.97072021594
CHEMBL162_size_20_007,Active,5.99747047785
CHEMBL162_size_20_008,Active,5.98759818347
CHEMBL162_size_20_009,Active,6.01824167028
CHEMBL188434_size_20_001,Active,6.68413099357
CHEMBL188434_size_20_002,Active,6.00957207022
CHEMBL188434_size_20_003,Active,6.03044939767
CHEMBL188434_size_20_004,Active,6.80542699827
CHEMBL188434_size_20_005,Active,6.00484844727
CHEMBL188434_size_20_006,Active,6.07766724522
CHEMBL188434_size_20_007,Active,6.44431965117
CHEMBL188434_size_20_008,Active,6.06843016946
CHEMBL218257_size_20_001,Active,6.11345745373
CHEMBL218257_size_20_002,Active,5.99395061439
CHEMBL218257_size_20_003,Active,5.9674422895
CHEMBL218257_size_20_004,Active,5.97167296444
CHEMBL218257_size_20_005,Active,5.95496516051
CHEMBL218257_size_20_006,Active,5.96729216152
CHEMBL218719_size_20_001,Active,6.75956523814
CHEMBL218719_size_20_002,Active,6.09759309288
CHEMBL218719_size_20_003,Active,6.04157929557
CHEMBL218719_size_20_004,Active,6.07767802648
CHEMBL218868_size_20_001,Active,7.12961422098
CHEMBL218868_size_20_002,Active,6.07770183537
CHEMBL218868_size_20_003,Active,6.29418818821
CHEMBL218868_size_20_004,Active,5.96434233331
CHEMBL218868_size_20_005,Active,5.97855901832
CHEMBL218868_size_20_006,Active,6.04829927825
CHEMBL220241_size_20_001,Active,6.08369968336
CHEMBL220241_size_20_002,Active,6.16284227634
CHEMBL220241_size_20_003,Active,6.04913087404
